Starting job 316302 on b[1205-1211,1218-1235,1287-1289,2162,2188-2194,2196,2259-2261,2269-2272,4350-4354,4356-4358,4360,4380,4382,5149,5153-5155,5161,5173-5176] at Thu Mar 24 13:58:06 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j1p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
316302             0.5+       8192                                             00:02:44      0:0 
316302.batch      batch        128        1   00:00:00          0   00:00:00   00:02:44      0:0 
316302.exte+     extern       8192       64   00:00:00         62   00:00:00   00:02:44      0:0 
316302.0     hydra_bst+       2048       16   08:44:48          4   10:29:44   00:02:41      0:0 
316302.1     hydra_bst+        384        3   08:37:43          1   10:03:15   00:02:41      0:0 
316302.2     hydra_bst+        384        3   08:43:14          1   10:05:06   00:02:41      0:0 
316302.3     hydra_bst+        384        3   10:45:04          0   10:45:33   00:02:41      0:0 
316302.4     hydra_bst+        384        3   08:45:19          2   10:05:52   00:02:41      0:0 
316302.5     hydra_bst+        384        3   10:44:17          2   10:45:22   00:02:41      0:0 
316302.6     hydra_bst+        384        3   10:19:03          0   10:37:06   00:02:41      0:0 
316302.7     hydra_bst+        384        3   08:42:29          0   10:04:37   00:02:41      0:0 
316302.8     hydra_bst+        384        3   08:40:05          1   10:03:37   00:02:41      0:0 
316302.9     hydra_bst+        384        3   10:46:37          2   10:46:44   00:02:41      0:0 
316302.10    hydra_bst+        384        3   08:36:29          1   10:02:53   00:02:41      0:0 
316302.11    hydra_bst+        384        3   10:44:33          2   10:45:30   00:02:41      0:0 
316302.12    hydra_bst+        384        3   10:45:33          1   10:46:06   00:02:41      0:0 
316302.13    hydra_bst+        384        3   10:46:16          1   10:46:31   00:02:41      0:0 
316302.14    hydra_bst+        384        3   08:43:56          1   10:05:13   00:02:41      0:0 
316302.15    hydra_bst+        384        3   08:35:04          1   10:02:30   00:02:40      0:0 
316302.16    hydra_bst+        384        3   10:45:41          0   10:46:16   00:02:40      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
316302                                                                           
316302.batch      8636K          0      8636K        9              0          9 
316302.exte+       855K         52     838288        3             62          1 
316302.0       2235221K         15 2281128512       63             15         53 
316302.1       2221971K          0 2272254293       53              0         50 
316302.2       2733412K          1 2633820842       54              1         53 
316302.3       2547764K          1 2598200661       45              0         41 
316302.4       2853340K          0 2737861973       45              1         42 
316302.5       2677668K          2 2644665685       52              2         47 
316302.6       2939612K          0   2667748K       48              0         45 
316302.7       2847820K          2 2775220565       46              0         44 
316302.8       2792468K          2   2519752K       42              1         41 
316302.9       2947781K          2 2752239274       44              1         43 
316302.10      2800476K          2   2677276K       46              0         41 
316302.11      2875632K          0 2766598485       47              0         45 
316302.12      2617660K          2   2500905K       44              0         44 
316302.13      2684872K          0 2685763925       54              2         51 
316302.14      2676408K          1   2520960K       57              0         49 
316302.15      2553920K          2   2445788K       48              0         44 
316302.16      2779429K          0 2689068714       50              1         42 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
316302                                                                                                
316302.batch       12.94M               0         12.94M       19.22M                0         19.22M 
316302.exte+        0.00M              62          0.00M            0               62              0 
316302.0           49.11M               0         47.06M      109.36M                4        102.69M 
316302.1           45.36M               0         45.36M      101.77M                2        101.33M 
316302.2           45.36M               0         45.36M      101.80M                2        101.23M 
316302.3           45.36M               0         45.36M      103.86M                0        102.55M 
316302.4           45.36M               0         45.36M      102.77M                0        101.35M 
316302.5           45.36M               0         45.36M      101.18M                2        101.06M 
316302.6           45.36M               1         45.36M      104.19M                0        102.28M 
316302.7           45.37M               0         45.36M      104.39M                2        102.83M 
316302.8           45.36M               1         45.36M      104.38M                2        102.65M 
316302.9           45.36M               1         45.36M       66.72M                2         66.72M 
316302.10          45.37M               1         45.36M      101.83M                0        101.14M 
316302.11          45.37M               1         45.37M      102.82M                2        101.86M 
316302.12          45.36M               2         45.36M      104.14M                1        103.56M 
316302.13          45.36M               1         45.36M      103.28M                2        102.45M 
316302.14          45.37M               0         45.37M      106.83M                1        105.23M 
316302.15          45.36M               2         45.36M      104.68M                2        103.02M 
316302.16          45.37M               1         45.37M      103.17M                0        102.33M 

Job 316302 completed at Thu Mar 24 14:00:50 CET 2022
