Starting job 317790 on b[1165-1166,1170-1172,1177-1185,1349-1352,1357,1379-1384,3307-3316,3318,3321-3324,3332-3334,3346-3348,4101-4106,4121-4122,4146-4148,5152-5155,5169-5171] at Fri Mar 25 21:15:40 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j5p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317790       Sc45_GCLS+       8192                                             00:02:41      0:0 
317790.batch      batch        128        1   00:00:00          0   00:00:00   00:02:41      0:0 
317790.exte+     extern       8192       64   00:00:00         60   00:00:00   00:02:41      0:0 
317790.0     hydra_bst+       2048       16   07:58:09          9   09:21:13   00:02:38      0:0 
317790.1     hydra_bst+        384        3   08:05:38          1   08:09:27   00:02:37      0:0 
317790.2     hydra_bst+        384        3   10:08:46          0   10:08:58   00:02:37      0:0 
317790.3     hydra_bst+        384        3   10:08:29          0   10:08:35   00:02:37      0:0 
317790.4     hydra_bst+        384        3   10:07:47          0   10:08:24   00:02:37      0:0 
317790.5     hydra_bst+        384        3   08:03:40          1   09:26:54   00:02:37      0:0 
317790.6     hydra_bst+        384        3   07:59:15          1   08:45:49   00:02:37      0:0 
317790.7     hydra_bst+        384        3   07:59:52          2   09:25:49   00:02:37      0:0 
317790.8     hydra_bst+        384        3   08:01:43          2   09:26:19   00:02:37      0:0 
317790.9     hydra_bst+        384        3   07:34:13          0   09:17:10   00:02:37      0:0 
317790.10    hydra_bst+        384        3   09:40:58          1   09:59:12   00:02:37      0:0 
317790.11    hydra_bst+        384        3   10:08:14          2   10:08:29   00:02:37      0:0 
317790.12    hydra_bst+        384        3   10:08:08          1   10:08:31   00:02:37      0:0 
317790.13    hydra_bst+        384        3   08:07:26          0   09:28:18   00:02:37      0:0 
317790.14    hydra_bst+        384        3   10:08:24          1   10:08:40   00:02:37      0:0 
317790.15    hydra_bst+        384        3   08:04:45          0   09:27:19   00:02:37      0:0 
317790.16    hydra_bst+        384        3   10:08:15          0   10:08:28   00:02:37      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317790                                                                           
317790.batch      8650K          0      8650K        9              0          9 
317790.exte+       846K          0     857568        3             62          1 
317790.0       2510064K          8 2367252672       68             10         59 
317790.1       2479861K          1 2533395114       51              0         48 
317790.2       2490287K          1 2403047765       58              1         51 
317790.3       2654397K          1   2319719K       53              1         49 
317790.4       2393260K          1 2318746965       55              2         51 
317790.5       2395533K          2 2290226858       49              0         45 
317790.6       2490628K          0 2321459882       57              0         55 
317790.7       2477184K          0 2430266026       52              0         48 
317790.8       2246752K          1 2239609514       53              1         50 
317790.9       2722793K          2 2485334357       57              1         46 
317790.10      2222768K          2 2240725333       51              1         50 
317790.11      2485612K          2   2376280K       57              0         53 
317790.12      2486088K          2 2425174357       59              2         50 
317790.13      2496269K          1   2323355K       51              0         45 
317790.14      2696020K          2 2413179221       58              0         51 
317790.15      2396429K          1 2432495957       54              1         48 
317790.16      2495336K          1 2372922026       54              1         48 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317790                                                                                                
317790.batch       13.31M               0         13.31M       19.59M                0         19.59M 
317790.exte+        0.00M              60          0.00M            0               60              0 
317790.0           49.49M               0         47.08M       83.08M                0         77.83M 
317790.1           45.36M               0         45.36M       75.84M                1         75.68M 
317790.2           45.36M               1         45.36M       66.72M                2         66.72M 
317790.3           45.37M               0         45.37M       76.12M                2         75.78M 
317790.4           45.37M               0         45.37M       76.30M                0         75.81M 
317790.5           45.36M               1         45.36M       76.17M                2         76.03M 
317790.6           45.37M               0         45.37M       75.81M                2         75.69M 
317790.7           45.37M               2         45.37M       75.98M                1         75.83M 
317790.8           45.36M               0         45.36M       76.22M                1         75.94M 
317790.9           45.37M               2         45.37M       76.75M                2         76.38M 
317790.10          45.37M               1         45.37M       77.83M                2         77.02M 
317790.11          45.36M               1         45.36M       75.71M                0         75.10M 
317790.12          45.37M               0         45.37M       75.95M                0         75.67M 
317790.13          45.37M               0         45.37M       76.54M                0         75.99M 
317790.14          45.37M               2         45.37M       76.05M                2         75.82M 
317790.15          45.36M               1         45.36M       76.71M                1         76.40M 
317790.16          45.37M               2         45.37M       76.00M                1         75.73M 

Job 317790 completed at Fri Mar 25 21:18:21 CET 2022
