Starting job 317850 on b[1165-1166,1170-1172,1177-1182,1184-1185,1349-1352,1357,1379-1384,3307-3316,3318,3321-3324,3332-3334,3346-3348,4101-4106,4121-4122,4146-4148,5152-5155,5169-5172] at Fri Mar 25 21:52:13 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j3n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317850         Sc451.5-       8192                                             00:29:26      0:0 
317850.batch      batch        128        1   00:00:01          0   00:00:01   00:29:26      0:0 
317850.exte+     extern       8192       64   00:00:00         63   00:00:00   00:29:27      0:0 
317850.0     hydra_bst+       2048       16 3-21:24:26          2 5-01:03:21   00:29:23      0:0 
317850.1     hydra_bst+        384        3 5-02:56:29          2 5-02:56:52   00:29:22      0:0 
317850.2     hydra_bst+        384        3 5-02:56:42          1 5-02:58:16   00:29:22      0:0 
317850.3     hydra_bst+        384        3 5-02:56:09          1 5-02:56:36   00:29:22      0:0 
317850.4     hydra_bst+        384        3 5-02:56:17          2 5-02:56:39   00:29:22      0:0 
317850.5     hydra_bst+        384        3 3-19:35:19          2 4-16:29:57   00:29:22      0:0 
317850.6     hydra_bst+        384        3 4-23:58:42          0 5-01:56:41   00:29:22      0:0 
317850.7     hydra_bst+        384        3 5-02:56:50          0 5-02:57:03   00:29:22      0:0 
317850.8     hydra_bst+        384        3 5-02:56:38          2 5-02:56:48   00:29:22      0:0 
317850.9     hydra_bst+        384        3 5-02:55:25          2 5-02:56:02   00:29:22      0:0 
317850.10    hydra_bst+        384        3 3-19:45:44          0 4-16:32:51   00:29:22      0:0 
317850.11    hydra_bst+        384        3 5-02:56:30          2 5-02:56:47   00:29:22      0:0 
317850.12    hydra_bst+        384        3 5-02:57:02          1 5-02:57:17   00:29:22      0:0 
317850.13    hydra_bst+        384        3 5-02:57:01          1 5-02:57:20   00:29:22      0:0 
317850.14    hydra_bst+        384        3 5-02:57:06          2 5-02:57:21   00:29:22      0:0 
317850.15    hydra_bst+        384        3 5-02:56:19          1 5-02:56:50   00:29:22      0:0 
317850.16    hydra_bst+        384        3 5-02:56:37          1 5-02:56:48   00:29:22      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317850                                                                           
317850.batch      8678K          0      8678K        9              0          9 
317850.exte+       847K          6     836176        3             61          1 
317850.0      14028053K          4 142450663+       76             12         62 
317850.1      13883766K          1  13868512K       61              1         57 
317850.2      13930336K          0  13851992K       50              2         48 
317850.3      13979101K          2  13787592K       62              1         55 
317850.4      13917122K          1  13742549K       49              1         45 
317850.5      13771080K          1  13759146K       57              0         48 
317850.6      14078237K          0 142174194+       56              2         53 
317850.7      13917288K          0 140319945+       58              0         52 
317850.8      13712644K          2 137937681+       57              1         50 
317850.9      13900802K          0 139465823+       62              1         57 
317850.10     13685632K          0 139037433+       54              0         50 
317850.11     13770120K          2 139844283+       57              0         54 
317850.12     13898431K          2 140619035+       54              0         52 
317850.13     13740423K          2 139151018+       57              0         52 
317850.14     13957653K          0 141384031+       63              2         50 
317850.15     13869028K          2 141717384+       58              0         48 
317850.16     13914234K          1 140269359+       68              2         62 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317850                                                                                                
317850.batch       13.93M               0         13.93M       20.20M                0         20.20M 
317850.exte+        0.00M              63          0.00M            0               63              0 
317850.0           51.96M               0         49.03M     1954.94M                3       1903.86M 
317850.1           47.24M               1         47.23M     1941.94M                1       1924.72M 
317850.2           47.24M               2         47.24M     1897.65M                0       1414.37M 
317850.3           47.24M               1         47.24M     1910.28M                2       1902.71M 
317850.4           47.24M               2         47.24M     1915.65M                1       1911.16M 
317850.5           47.23M               1         47.23M     1973.15M                0       1952.55M 
317850.6           47.23M               1         47.23M     1920.39M                2       1906.73M 
317850.7           47.24M               0         47.24M     1904.52M                0       1900.26M 
317850.8           47.26M               1         47.26M     1913.93M                0       1901.24M 
317850.9           47.25M               2         47.25M     1909.81M                1       1905.68M 
317850.10          47.26M               2         47.26M     1949.25M                0       1927.52M 
317850.11          47.26M               2         47.26M     1902.51M                0       1899.50M 
317850.12          47.25M               2         47.25M     1905.88M                0       1903.36M 
317850.13          47.26M               1         47.26M     1906.02M                0       1899.92M 
317850.14          47.25M               1         47.25M     1930.22M                1       1915.15M 
317850.15          47.26M               0         47.26M     1916.32M                1       1907.75M 
317850.16          47.25M               2         47.25M     1928.50M                0       1920.62M 

Job 317850 completed at Fri Mar 25 22:21:40 CET 2022
