Starting job 317853 on b[1294-1295,2214-2215,2220-2222,2227-2228,2237-2239,2265,2267,2278-2281,3102-3103,3120-3132,3143-3144,3226-3230,3243-3246,3248,4202,4212,4215-4216,4219,4224-4227,5207-5208,5211-5212,5216,5219,5232-5235] at Fri Mar 25 22:56:49 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j5n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317853         Sc452.5-       8192                                             00:27:42      0:0 
317853.batch      batch        128        1   00:00:01          0   00:00:01   00:27:42      0:0 
317853.exte+     extern       8192       64   00:00:00         63   00:00:00   00:27:42      0:0 
317853.0     hydra_bst+       2048       16 4-19:00:10          0 4-19:01:19   00:27:39      0:0 
317853.1     hydra_bst+        384        3 4-19:00:29          2 4-19:01:00   00:27:38      0:0 
317853.2     hydra_bst+        384        3 4-19:00:48          1 4-19:01:23   00:27:38      0:0 
317853.3     hydra_bst+        384        3 4-19:00:56          1 4-19:02:03   00:27:38      0:0 
317853.4     hydra_bst+        384        3 4-19:01:04          2 4-19:01:14   00:27:38      0:0 
317853.5     hydra_bst+        384        3 3-22:16:39          2 4-12:06:11   00:27:38      0:0 
317853.6     hydra_bst+        384        3 4-19:00:38          1 4-19:01:10   00:27:38      0:0 
317853.7     hydra_bst+        384        3 4-19:01:48          1 4-19:02:10   00:27:38      0:0 
317853.8     hydra_bst+        384        3 4-19:01:23          0 4-19:01:55   00:27:38      0:0 
317853.9     hydra_bst+        384        3 3-14:02:02          1 4-09:22:08   00:27:38      0:0 
317853.10    hydra_bst+        384        3 4-19:01:46          0 4-19:02:34   00:27:38      0:0 
317853.11    hydra_bst+        384        3 4-19:01:43          1 4-19:02:24   00:27:38      0:0 
317853.12    hydra_bst+        384        3 4-19:00:27          0 4-19:00:57   00:27:38      0:0 
317853.13    hydra_bst+        384        3 4-19:00:49          1 4-19:01:37   00:27:38      0:0 
317853.14    hydra_bst+        384        3 4-19:00:31          1 4-19:02:03   00:27:38      0:0 
317853.15    hydra_bst+        384        3 4-19:01:06          1 4-19:01:48   00:27:38      0:0 
317853.16    hydra_bst+        384        3 4-19:01:32          1 4-19:02:03   00:27:38      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317853                                                                           
317853.batch      8810K          0      8810K        9              0          9 
317853.exte+       849K         31     859616        3             32          1 
317853.0      13158938K          8 133341623+       71              5         61 
317853.1      13200125K          0 134468089+       64              2         55 
317853.2      13061904K          2 133421008+       57              1         52 
317853.3      13115140K          1 133882914+       54              2         52 
317853.4      13132249K          0 134114577+       52              0         48 
317853.5      13109339K          0 133858034+       57              2         53 
317853.6      13123658K          1 133674410+       55              0         51 
317853.7      13073476K          2  13060738K       61              1         57 
317853.8      13050993K          1  13036802K       59              2         53 
317853.9      13044237K          0 133442727+       57              1         54 
317853.10     13107042K          2 133676701+       56              0         49 
317853.11     13041112K          0 133242965+       58              0         57 
317853.12     13083110K          2 133663648+       68              0         57 
317853.13     13094848K          2  13053345K       55              1         49 
317853.14     13073138K          0 133678093+       57              0         55 
317853.15     13048892K          0 133468521+       57              2         51 
317853.16     13077345K          2 133411160+       54              0         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317853                                                                                                
317853.batch       14.46M               0         14.46M       20.41M                0         20.41M 
317853.exte+        0.00M              63          0.00M            0               63              0 
317853.0           52.05M               0         49.02M     1620.07M                7       1586.26M 
317853.1           47.25M               2         47.25M     1600.94M                1       1586.36M 
317853.2           47.26M               2         47.25M     1574.83M                2       1571.71M 
317853.3           47.26M               1         47.26M     1577.64M                0       1192.09M 
317853.4           47.25M               0         47.25M     1597.35M                2       1586.33M 
317853.5           47.26M               0         47.26M     1573.38M                1       1570.20M 
317853.6           47.24M               0         47.24M     1580.30M                0       1576.05M 
317853.7           47.27M               2         47.27M     1581.35M                2       1575.92M 
317853.8           47.24M               1         47.23M     1590.55M                1       1577.93M 
317853.9           47.26M               0         47.26M     1598.48M                2       1584.21M 
317853.10          47.23M               0         47.23M     1573.91M                0       1570.29M 
317853.11          47.25M               0         47.25M     1598.00M                1       1584.40M 
317853.12          47.27M               0         47.27M     1617.33M                0       1605.96M 
317853.13          47.26M               1         47.25M     1603.68M                2       1586.35M 
317853.14          47.25M               0         47.24M     1623.09M                0       1595.12M 
317853.15          47.24M               0         47.24M     1588.91M                0       1578.06M 
317853.16          47.25M               1         47.25M     1595.20M                0       1583.91M 

Job 317853 completed at Fri Mar 25 23:24:31 CET 2022
