Starting job 317860 on b[1351-1352,1357,1379-1381,2214-2215,2220-2222,2227-2228,2237-2239,3125-3132,3143-3144,3149-3151,3153,3226-3230,3243-3246,3248,3301,3303-3304,3306,4105-4106,4121-4122,4146-4148,5169-5171,5207-5208,5211-5212,5216,5219,5232-5235] at Sat Mar 26 00:02:28 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j11n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317860         Sc455.5-       8192                                             00:15:36      0:0 
317860.batch      batch        128        1   00:00:01          0   00:00:01   00:15:36      0:0 
317860.exte+     extern       8192       64   00:00:00         63   00:00:00   00:15:36      0:0 
317860.0     hydra_bst+       2048       16 2-03:16:40          2 2-14:03:08   00:15:34      0:0 
317860.1     hydra_bst+        384        3 2-04:56:19          2 2-12:58:13   00:15:32      0:0 
317860.2     hydra_bst+        384        3 2-16:59:21          0 2-16:59:50   00:15:32      0:0 
317860.3     hydra_bst+        384        3 2-05:15:34          2 2-09:16:51   00:15:32      0:0 
317860.4     hydra_bst+        384        3 2-16:58:27          0 2-16:59:37   00:15:32      0:0 
317860.5     hydra_bst+        384        3 2-16:59:07          1 2-16:59:16   00:15:32      0:0 
317860.6     hydra_bst+        384        3 2-16:58:06          1 2-16:59:09   00:15:32      0:0 
317860.7     hydra_bst+        384        3 2-05:11:35          2 2-13:03:53   00:15:32      0:0 
317860.8     hydra_bst+        384        3 2-16:58:14          0 2-16:59:33   00:15:32      0:0 
317860.9     hydra_bst+        384        3 2-03:47:06          1 2-12:35:33   00:15:32      0:0 
317860.10    hydra_bst+        384        3 2-04:20:25          1 2-12:46:24   00:15:32      0:0 
317860.11    hydra_bst+        384        3 2-04:47:06          1 2-09:04:52   00:15:33      0:0 
317860.12    hydra_bst+        384        3 2-16:59:05          1 2-16:59:19   00:15:32      0:0 
317860.13    hydra_bst+        384        3 2-04:31:23          1 2-12:50:15   00:15:32      0:0 
317860.14    hydra_bst+        384        3 2-04:41:20          2 2-12:53:28   00:15:32      0:0 
317860.15    hydra_bst+        384        3 2-17:00:05          1 2-17:00:14   00:15:32      0:0 
317860.16    hydra_bst+        384        3 2-16:59:39          0 2-16:59:48   00:15:32      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317860                                                                           
317860.batch      9022K          0      9022K        9              0          9 
317860.exte+       849K         22     859312        3             22          1 
317860.0      10188095K         10 101057347+       71              8         61 
317860.1       9284452K          1 9357910357       52              2         49 
317860.2      10102423K          1   9995480K       53              0         50 
317860.3      10058293K          2  10026804K       51              2         47 
317860.4      10070394K          2 102816863+       61              1         54 
317860.5      10159688K          1  10036148K       56              2         50 
317860.6      10059194K          0 102358637+       53              1         48 
317860.7      10095765K          2 102626706+       64              0         58 
317860.8       9974705K          0   9957991K       55              2         47 
317860.9      10173405K          2 103864425+       46              2         44 
317860.10     10136412K          1 103652051+       58              0         54 
317860.11     10126236K          1 103595656+       54              2         49 
317860.12     10077593K          2 101757351+       63              1         57 
317860.13     10116917K          1 102496761+       58              0         49 
317860.14     10198941K          1 103624277+       57              1         49 
317860.15     10176086K          1 103735340+       59              0         53 
317860.16     10230576K          2 104088999+       56              2         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317860                                                                                                
317860.batch       14.62M               0         14.62M       20.28M                0         20.28M 
317860.exte+        0.00M              63          0.00M            0               63              0 
317860.0           52.07M               0         49.01M     1046.71M                1       1027.20M 
317860.1           47.26M               2         47.25M     1065.15M                1       1053.09M 
317860.2           47.26M               2         47.25M     1052.15M                2       1044.67M 
317860.3           47.24M               2         47.24M     1047.96M                2       1042.25M 
317860.4           47.24M               2         47.24M     1040.67M                1        754.40M 
317860.5           47.25M               2         47.25M     1046.81M                2       1043.71M 
317860.6           47.27M               2         47.27M     1047.51M                1       1044.03M 
317860.7           47.26M               1         47.26M     1059.78M                2       1048.52M 
317860.8           47.27M               2         47.26M     1089.44M                0       1067.98M 
317860.9           47.26M               2         47.26M     1059.53M                2       1052.12M 
317860.10          47.26M               2         47.26M     1050.56M                1       1044.81M 
317860.11          47.26M               0         47.25M     1081.01M                0       1067.52M 
317860.12          47.25M               2         47.25M     1049.42M                1       1047.08M 
317860.13          47.27M               2         47.26M     1048.53M                1       1044.59M 
317860.14          47.26M               2         47.26M     1056.05M                0       1048.18M 
317860.15          47.27M               2         47.26M     1079.67M                1       1059.80M 
317860.16          47.27M               2         47.26M     1051.31M                0       1046.29M 

Job 317860 completed at Sat Mar 26 00:18:05 CET 2022
