Starting job 317861 on b[1241-1244,1276-1278,1280,1294-1296,1313-1314,1337,1382-1384,2164,2169-2171,2265,2267,2278-2281,3191,3193-3194,3232-3234,3237,3258,3325-3328,4101-4104,4165-4166,4181-4182,4219,4224-4227,5126-5132,5152-5155,5172] at Sat Mar 26 00:17:30 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j13n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317861         Sc456.5-       8192                                             00:13:53      0:0 
317861.batch      batch        128        1   00:00:01          0   00:00:01   00:13:53      0:0 
317861.exte+     extern       8192       64   00:00:00         63   00:00:00   00:13:54      0:0 
317861.0     hydra_bst+       2048       16 1-19:23:47         15 2-06:33:54   00:13:51      0:0 
317861.1     hydra_bst+        384        3 2-09:39:14          2 2-09:39:30   00:13:50      0:0 
317861.2     hydra_bst+        384        3 1-22:02:09          0 2-05:44:43   00:13:50      0:0 
317861.3     hydra_bst+        384        3 2-09:38:47          1 2-09:38:58   00:13:50      0:0 
317861.4     hydra_bst+        384        3 1-21:14:23          0 2-05:31:25   00:13:50      0:0 
317861.5     hydra_bst+        384        3 2-09:39:32          2 2-09:39:38   00:13:50      0:0 
317861.6     hydra_bst+        384        3 1-22:01:08          0 2-05:46:32   00:13:50      0:0 
317861.7     hydra_bst+        384        3 1-22:38:17          1 2-05:59:37   00:13:50      0:0 
317861.8     hydra_bst+        384        3 2-09:38:54          1 2-09:39:20   00:13:50      0:0 
317861.9     hydra_bst+        384        3 2-09:37:29          0 2-09:38:36   00:13:50      0:0 
317861.10    hydra_bst+        384        3 1-21:06:49          1 2-05:02:22   00:13:50      0:0 
317861.11    hydra_bst+        384        3 2-09:39:14          0 2-09:39:29   00:13:50      0:0 
317861.12    hydra_bst+        384        3 2-09:38:25          0 2-09:38:47   00:13:50      0:0 
317861.13    hydra_bst+        384        3 2-09:10:27          1 2-09:29:31   00:13:50      0:0 
317861.14    hydra_bst+        384        3 1-21:11:16          2 2-05:30:21   00:13:50      0:0 
317861.15    hydra_bst+        384        3 2-08:11:45          1 2-09:10:05   00:13:50      0:0 
317861.16    hydra_bst+        384        3 1-20:34:32          0 2-05:17:58   00:13:50      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317861                                                                           
317861.batch      9378K          0      9378K        9              0          9 
317861.exte+       849K         19     846064        3             13          1 
317861.0       9203740K         13 8976672896       68              4         57 
317861.1       8514952K          1 8331085482       62              2         59 
317861.2       8690309K          2   8150308K       64              2         50 
317861.3       8722707K          2 8320750250       56              0         54 
317861.4       8814513K          1   8725558K       58              1         55 
317861.5       8681907K          0   8626530K       61              0         55 
317861.6       8830115K          0 8620855637       54              2         51 
317861.7       8770794K          2   8340830K       60              0         53 
317861.8       8766312K          0 8582715733       57              1         49 
317861.9       8723651K          2 8880078165       64              2         53 
317861.10      8883410K          2 8648948053       48              1         46 
317861.11      8849667K          1 8574761301       50              2         47 
317861.12      8593707K          2 8281603754       51              0         49 
317861.13      8800129K          2 8950738261       60              0         55 
317861.14      8255515K          0 8094457514       55              2         51 
317861.15      8920304K          1 8791975253       58              2         50 
317861.16      8901493K          0   8399461K       56              1         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317861                                                                                                
317861.batch       15.08M               0         15.08M       19.99M                0         19.99M 
317861.exte+        0.00M              63          0.00M            0               63              0 
317861.0           51.74M               0         48.92M      912.63M                3        883.93M 
317861.1           47.21M               1         47.20M      896.63M                1        882.98M 
317861.2           47.21M               2         43.45M      900.51M                1        812.82M 
317861.3           47.21M               1         47.20M      917.61M                0        909.12M 
317861.4           47.21M               1         47.20M      882.49M                0        879.44M 
317861.5           47.21M               2         47.20M      885.67M                0        878.67M 
317861.6           47.22M               1         47.21M      884.93M                1        877.27M 
317861.7           47.21M               0         47.21M      882.79M                0        611.42M 
317861.8           47.21M               1         47.21M      885.10M                2        877.90M 
317861.9           47.22M               1         47.22M      876.81M                2        874.13M 
317861.10          47.20M               1         47.20M      884.42M                0        876.62M 
317861.11          47.21M               1         47.20M      899.15M                2        887.94M 
317861.12          47.22M               2         47.22M      876.03M                1        873.42M 
317861.13          47.22M               0         47.21M      875.87M                0        798.65M 
317861.14          47.23M               1         47.23M      897.93M                2        887.04M 
317861.15          47.21M               0         47.21M      884.14M                2        878.09M 
317861.16          47.21M               1         47.21M      926.04M                0        900.96M 

Job 317861 completed at Sat Mar 26 00:31:24 CET 2022
