Starting job 317862 on b[1351-1352,1357,1379-1381,2214-2215,2220-2222,2227-2228,2237-2239,3125-3132,3143-3144,3149-3151,3153,3226-3230,3243-3246,3248,3301,3303-3304,3306,4105-4106,4121-4122,4146-4148,5169-5171,5207-5208,5211-5212,5216,5219,5232-5235] at Sat Mar 26 00:18:30 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j15n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317862         Sc457.5-       8192                                             00:08:32      0:0 
317862.batch      batch        128        1   00:00:00          0   00:00:00   00:08:32      0:0 
317862.exte+     extern       8192       64   00:00:00         63   00:00:00   00:08:32      0:0 
317862.0     hydra_bst+       2048       16 1-05:47:59         14 1-10:44:37   00:08:29      0:0 
317862.1     hydra_bst+        384        3 1-05:47:59          1 1-09:19:53   00:08:28      0:0 
317862.2     hydra_bst+        384        3 1-11:04:31          2 1-11:04:59   00:08:28      0:0 
317862.3     hydra_bst+        384        3 1-05:41:44          0 1-09:17:32   00:08:28      0:0 
317862.4     hydra_bst+        384        3 1-11:05:13          2 1-11:05:32   00:08:28      0:0 
317862.5     hydra_bst+        384        3 1-11:04:41          0 1-11:05:17   00:08:28      0:0 
317862.6     hydra_bst+        384        3 1-05:47:43          2 1-09:19:27   00:08:28      0:0 
317862.7     hydra_bst+        384        3 1-11:04:52          1 1-11:05:21   00:08:28      0:0 
317862.8     hydra_bst+        384        3 1-11:04:26          0 1-11:05:07   00:08:28      0:0 
317862.9     hydra_bst+        384        3 1-11:04:47          1 1-11:05:22   00:08:28      0:0 
317862.10    hydra_bst+        384        3 1-06:13:12          2 1-07:50:47   00:08:28      0:0 
317862.11    hydra_bst+        384        3 1-11:04:54          1 1-11:05:11   00:08:28      0:0 
317862.12    hydra_bst+        384        3 1-06:04:48          2 1-07:51:48   00:08:28      0:0 
317862.13    hydra_bst+        384        3 1-11:05:02          1 1-11:05:27   00:08:28      0:0 
317862.14    hydra_bst+        384        3 1-06:22:28          0 1-09:30:45   00:08:28      0:0 
317862.15    hydra_bst+        384        3 1-11:04:57          0 1-11:05:15   00:08:28      0:0 
317862.16    hydra_bst+        384        3 1-05:56:21          1 1-09:22:18   00:08:28      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317862                                                                           
317862.batch      9056K          0      9056K        9              0          9 
317862.exte+       849K         22     859008        3             22          1 
317862.0       8060107K          5 7890598784       71              9         58 
317862.1       5945773K          0 6052708693       53              2         49 
317862.2       5682976K          1 5792983381       49              0         48 
317862.3       5685123K          1 5735441066       53              2         49 
317862.4       5638149K          2 5732063914       52              1         51 
317862.5       5892616K          1   5681714K       58              0         52 
317862.6       5623390K          2 5734958762       52              2         49 
317862.7       5829593K          0 5910326954       50              2         46 
317862.8       5657004K          0 5751033514       49              0         46 
317862.9       5767889K          1   5667092K       51              2         48 
317862.10      5985397K          1 5866908330       51              2         48 
317862.11      5951228K          0 5959380309       54              1         51 
317862.12      5796536K          0 5779658069       54              0         49 
317862.13      5847612K          1 5820608853       53              0         49 
317862.14      5873718K          1 5886666410       49              1         45 
317862.15      5815292K          1 5919862442       58              0         54 
317862.16      6195844K          0 6059092309       54              0         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317862                                                                                                
317862.batch       14.09M               0         14.09M       19.75M                0         19.75M 
317862.exte+        0.00M              63          0.00M            0               63              0 
317862.0           51.49M               0         48.93M      448.06M                2        442.27M 
317862.1           47.20M               2         47.20M      449.83M                2        446.94M 
317862.2           47.19M               0         47.19M      447.90M                2        445.87M 
317862.3           47.20M               1         47.20M      464.18M                0        451.21M 
317862.4           47.20M               1         47.20M      443.69M                1        442.81M 
317862.5           47.20M               2         47.19M      445.89M                2        444.10M 
317862.6           47.19M               1         47.19M      447.27M                0        309.59M 
317862.7           47.20M               1         47.20M      464.51M                0        451.40M 
317862.8           47.20M               2         47.20M      454.66M                0        450.68M 
317862.9           47.21M               1         47.20M      447.42M                0        444.55M 
317862.10          47.21M               1         47.20M      449.88M                1        445.56M 
317862.11          47.20M               2         47.19M      463.99M                0        457.76M 
317862.12          47.20M               1         47.20M      453.53M                1        449.48M 
317862.13          47.20M               1         47.20M      450.73M                0        446.05M 
317862.14          47.20M               2         47.20M      446.89M                1        444.77M 
317862.15          47.20M               1         47.20M      444.33M                0        443.94M 
317862.16          47.21M               0         47.20M      451.84M                2        449.42M 

Job 317862 completed at Sat Mar 26 00:27:02 CET 2022
