Starting job 317863 on b[1351-1352,1357,1379-1381,2214-2215,2220-2222,2227-2228,2237-2239,3125-3132,3143-3144,3149-3151,3153,3226-3230,3243-3246,3248,3301,3303-3304,3306,4105-4106,4121-4122,4146-4148,5169-5171,5207-5208,5211-5212,5216,5219,5232-5235] at Sat Mar 26 00:27:31 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j17n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317863         Sc458.5-       8192                                             00:06:51      0:0 
317863.batch      batch        128        1   00:00:00          0   00:00:00   00:06:51      0:0 
317863.exte+     extern       8192       64   00:00:00         62   00:00:00   00:06:52      0:0 
317863.0     hydra_bst+       2048       16   22:28:04          9 1-02:24:33   00:06:49      0:0 
317863.1     hydra_bst+        384        3 1-02:42:11          1 1-02:42:23   00:06:48      0:0 
317863.2     hydra_bst+        384        3 1-02:42:16          0 1-02:42:41   00:06:48      0:0 
317863.3     hydra_bst+        384        3 1-02:41:52          0 1-02:42:10   00:06:48      0:0 
317863.4     hydra_bst+        384        3 1-02:42:17          0 1-02:42:25   00:06:48      0:0 
317863.5     hydra_bst+        384        3 1-02:42:07          0 1-02:42:37   00:06:48      0:0 
317863.6     hydra_bst+        384        3   21:24:27          0   23:22:56   00:06:48      0:0 
317863.7     hydra_bst+        384        3 1-02:41:46          1 1-02:42:19   00:06:48      0:0 
317863.8     hydra_bst+        384        3 1-02:41:48          2 1-02:42:11   00:06:48      0:0 
317863.9     hydra_bst+        384        3   20:48:26          1 1-00:44:53   00:06:48      0:0 
317863.10    hydra_bst+        384        3   21:24:39          0 1-00:56:41   00:06:48      0:0 
317863.11    hydra_bst+        384        3   22:42:26          2 1-01:21:45   00:06:48      0:0 
317863.12    hydra_bst+        384        3 1-02:42:19          1 1-02:42:33   00:06:48      0:0 
317863.13    hydra_bst+        384        3 1-02:42:09          0 1-02:42:25   00:06:48      0:0 
317863.14    hydra_bst+        384        3 1-02:41:42          1 1-02:42:04   00:06:48      0:0 
317863.15    hydra_bst+        384        3 1-02:41:47          2 1-02:41:55   00:06:48      0:0 
317863.16    hydra_bst+        384        3   22:27:26          1   23:54:21   00:06:48      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317863                                                                           
317863.batch      9326K          0      9326K        9              0          9 
317863.exte+       849K         22     859264        3             46          1 
317863.0       6356105K          8   5916393K       66              1         57 
317863.1       6950275K          0 6700290730       51              1         49 
317863.2       6177582K          0 6240140629       46              0         43 
317863.3       6548947K          1   6284151K       52              1         45 
317863.4       6330695K          0 6217753258       53              2         49 
317863.5       6723668K          1 6739078485       57              1         49 
317863.6       6728532K          1   6342820K       52              2         47 
317863.7       6792045K          0 6537927338       47              0         45 
317863.8       6618487K          2 6502598997       58              1         48 
317863.9       6732765K          2 6522757802       51              1         46 
317863.10      6415812K          2   6172505K       57              0         51 
317863.11      6910283K          0 6746031445       52              0         49 
317863.12      7110563K          1 6860193450       54              2         50 
317863.13      6934847K          2   6751199K       54              2         44 
317863.14      7160175K          0   6838883K       52              2         46 
317863.15      6640444K          0 6572650154       51              0         45 
317863.16      6150827K          2 6171869866       53              1         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317863                                                                                                
317863.batch       13.68M               0         13.68M       19.35M                0         19.35M 
317863.exte+        0.00M              62          0.00M            0               62              0 
317863.0           51.10M               0         48.91M      322.52M                3        312.01M 
317863.1           47.20M               1         47.20M      329.60M                1        324.32M 
317863.2           47.21M               0         47.20M      325.62M                2        323.90M 
317863.3           47.21M               1         47.21M      333.79M                2        325.95M 
317863.4           47.20M               1         47.20M      323.62M                2        321.54M 
317863.5           47.22M               1         47.21M      332.75M                1        329.17M 
317863.6           47.21M               2         47.21M      324.56M                1        322.16M 
317863.7           47.21M               1         47.21M      324.21M                1        322.26M 
317863.8           47.21M               1         47.21M      323.14M                2        321.37M 
317863.9           47.20M               2         47.20M      320.89M                0        213.43M 
317863.10          47.22M               2         47.21M      331.85M                0        325.35M 
317863.11          47.21M               1         47.21M      338.33M                1        331.35M 
317863.12          47.21M               1         47.21M      327.05M                1        323.82M 
317863.13          47.21M               0         47.21M      323.50M                1        322.72M 
317863.14          47.21M               1         47.20M      322.37M                2        321.29M 
317863.15          47.21M               2         47.21M      326.14M                0        324.21M 
317863.16          47.22M               1         47.21M      329.19M                1        326.32M 

Job 317863 completed at Sat Mar 26 00:34:23 CET 2022
