Starting job 322647 on b[3358-3360,3362-3368,3373-3377,3379-3380,3382-3387,3389,3395-3396,5105-5108,5110-5111] at Mon Mar 28 17:55:50 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j1p_j1n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
322647       Sc45_GCLS+       4096                                             00:16:39      0:0 
322647.batch      batch        128        1   00:00:00          0   00:00:00   00:16:39      0:0 
322647.exte+     extern       4096       32   00:00:00         12   00:00:00   00:16:39      0:0 
322647.0     hydra_bst+       2048       16 2-20:39:08         15 2-20:46:47   00:16:35      0:0 
322647.1     hydra_bst+        128        1 2-20:47:27          0 2-20:47:27   00:16:34      0:0 
322647.2     hydra_bst+        128        1 2-20:51:35          0 2-20:51:35   00:16:34      0:0 
322647.3     hydra_bst+        128        1 2-20:44:54          0 2-20:44:54   00:16:34      0:0 
322647.4     hydra_bst+        128        1 2-20:44:35          0 2-20:44:35   00:16:34      0:0 
322647.5     hydra_bst+        128        1 2-20:48:32          0 2-20:48:32   00:16:34      0:0 
322647.6     hydra_bst+        128        1 2-14:24:59          0 2-14:24:59   00:16:34      0:0 
322647.7     hydra_bst+        128        1 2-07:25:18          0 2-07:25:18   00:16:34      0:0 
322647.8     hydra_bst+        128        1 2-20:41:10          0 2-20:41:10   00:16:34      0:0 
322647.9     hydra_bst+        128        1 2-20:49:17          0 2-20:49:17   00:16:34      0:0 
322647.10    hydra_bst+        128        1 2-20:54:47          0 2-20:54:47   00:16:34      0:0 
322647.11    hydra_bst+        128        1 2-20:44:59          0 2-20:44:59   00:16:34      0:0 
322647.12    hydra_bst+        128        1 2-20:50:36          0 2-20:50:36   00:16:34      0:0 
322647.13    hydra_bst+        128        1 2-20:49:24          0 2-20:49:24   00:16:34      0:0 
322647.14    hydra_bst+        128        1 2-11:22:56          0 2-11:22:56   00:16:33      0:0 
322647.15    hydra_bst+        128        1 2-20:52:24          0 2-20:52:24   00:16:33      0:0 
322647.16    hydra_bst+        128        1 2-20:53:35          0 2-20:53:35   00:16:33      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
322647                                                                           
322647.batch      8426K          0      8426K        9              0          9 
322647.exte+       847K         27     860864        3             10          1 
322647.0       7055908K          3 7158181568       69              2         60 
322647.1       6956455K          0   6956455K       44              0         44 
322647.2       7007754K          0   7007754K       43              0         43 
322647.3       6985484K          0   6985484K       49              0         49 
322647.4       6940552K          0   6940552K       51              0         51 
322647.5       7007987K          0   7007987K       50              0         50 
322647.6       7042667K          0   7042667K       53              0         53 
322647.7       7038251K          0   7038251K       49              0         49 
322647.8       6948788K          0   6948788K       56              0         56 
322647.9       6999386K          0   6999386K       61              0         61 
322647.10      6921397K          0   6921397K       56              0         56 
322647.11      6946515K          0   6946515K       52              0         52 
322647.12      6972670K          0   6972670K       53              0         53 
322647.13      7013899K          0   7013899K       56              0         56 
322647.14      7086889K          0   7086889K       61              0         61 
322647.15      6964666K          0   6964666K       54              0         54 
322647.16      7016701K          0   7016701K       53              0         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
322647                                                                                                
322647.batch        9.73M               0          9.73M        8.76M                0          8.76M 
322647.exte+        0.00M              12          0.00M            0               12              0 
322647.0         4082.85M               2       4034.89M       66.77M                0         66.76M 
322647.1         4068.44M               0       4068.44M       66.20M                0         66.20M 
322647.2         4022.46M               0       4022.46M       66.20M                0         66.20M 
322647.3         4019.19M               0       4019.19M       66.20M                0         66.20M 
322647.4         3213.63M               0       3213.63M       66.20M                0         66.20M 
322647.5         4023.06M               0       4023.06M       66.20M                0         66.20M 
322647.6         4033.12M               0       4033.12M       66.20M                0         66.20M 
322647.7         4055.56M               0       4055.56M       66.20M                0         66.20M 
322647.8         4038.65M               0       4038.65M       66.20M                0         66.20M 
322647.9         4076.47M               0       4076.47M       66.20M                0         66.20M 
322647.10        4022.64M               0       4022.64M       66.20M                0         66.20M 
322647.11        4025.33M               0       4025.33M       66.20M                0         66.20M 
322647.12        4025.85M               0       4025.85M       66.20M                0         66.20M 
322647.13        4058.14M               0       4058.14M       66.20M                0         66.20M 
322647.14        4037.35M               0       4037.35M       66.20M                0         66.20M 
322647.15        4027.24M               0       4027.24M       66.20M                0         66.20M 
322647.16        4039.24M               0       4039.24M       66.20M                0         66.20M 

Job 322647 completed at Mon Mar 28 18:12:29 CEST 2022
