Starting job 323291 on b[3155-3157,3159-3163,3169,3176-3178,3186-3196,3326-3334] at Tue Mar 29 12:42:12 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j1p_j3n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323291             1p3n       4096                                             00:16:33      0:0 
323291.batch      batch        128        1   00:00:00          0   00:00:00   00:16:33      0:0 
323291.exte+     extern       4096       32   00:00:00         31   00:00:00   00:16:33      0:0 
323291.0     hydra_bst+       2048       16 2-14:12:36          6 2-19:09:12   00:16:30      0:0 
323291.1     hydra_bst+        128        1 2-19:34:30          0 2-19:34:30   00:16:28      0:0 
323291.2     hydra_bst+        128        1 2-19:33:04          0 2-19:33:04   00:16:28      0:0 
323291.3     hydra_bst+        128        1 2-19:35:08          0 2-19:35:08   00:16:28      0:0 
323291.4     hydra_bst+        128        1 2-19:25:25          0 2-19:25:25   00:16:28      0:0 
323291.5     hydra_bst+        128        1 2-19:31:46          0 2-19:31:46   00:16:28      0:0 
323291.6     hydra_bst+        128        1 2-19:30:47          0 2-19:30:47   00:16:28      0:0 
323291.7     hydra_bst+        128        1 2-19:34:03          0 2-19:34:03   00:16:28      0:0 
323291.8     hydra_bst+        128        1 2-19:34:44          0 2-19:34:44   00:16:28      0:0 
323291.9     hydra_bst+        128        1 2-19:34:07          0 2-19:34:07   00:16:28      0:0 
323291.10    hydra_bst+        128        1 2-14:17:22          0 2-14:17:22   00:16:28      0:0 
323291.11    hydra_bst+        128        1 2-19:34:25          0 2-19:34:25   00:16:28      0:0 
323291.12    hydra_bst+        128        1 2-19:35:04          0 2-19:35:04   00:16:28      0:0 
323291.13    hydra_bst+        128        1 2-19:35:56          0 2-19:35:56   00:16:28      0:0 
323291.14    hydra_bst+        128        1 2-08:07:22          0 2-08:07:22   00:16:28      0:0 
323291.15    hydra_bst+        128        1 2-19:32:27          0 2-19:32:27   00:16:28      0:0 
323291.16    hydra_bst+        128        1 2-19:35:31          0 2-19:35:31   00:16:28      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323291                                                                           
323291.batch      8382K          0      8382K        9              0          9 
323291.exte+       841K         22     834624        3             10          1 
323291.0       6928922K         15 6890854272       75             14         61 
323291.1       6769301K          0   6769301K       44              0         44 
323291.2       6708658K          0   6708658K       47              0         47 
323291.3       6734464K          0   6734464K       53              0         53 
323291.4       6829647K          0   6829647K       58              0         58 
323291.5       6723803K          0   6723803K       60              0         60 
323291.6       6777678K          0   6777678K       60              0         60 
323291.7       6743159K          0   6743159K       49              0         49 
323291.8       6724769K          0   6724769K       48              0         48 
323291.9       6704007K          0   6704007K       45              0         45 
323291.10      6660982K          0   6660982K       45              0         45 
323291.11      6745195K          0   6745195K       61              0         61 
323291.12      6633456K          0   6633456K       45              0         45 
323291.13      6779303K          0   6779303K       55              0         55 
323291.14      6667253K          0   6667253K       54              0         54 
323291.15      6713765K          0   6713765K       56              0         56 
323291.16      6779076K          0   6779076K       62              0         62 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323291                                                                                                
323291.batch        9.72M               0          9.72M        8.76M                0          8.76M 
323291.exte+        0.00M              31          0.00M            0               31              0 
323291.0         3949.85M               2       3880.75M       66.77M                0         66.76M 
323291.1         3888.11M               0       3888.11M       66.20M                0         66.20M 
323291.2         3861.70M               0       3861.70M       66.20M                0         66.20M 
323291.3         3860.79M               0       3860.79M       66.20M                0         66.20M 
323291.4         3114.86M               0       3114.86M       66.20M                0         66.20M 
323291.5         3861.99M               0       3861.99M       66.20M                0         66.20M 
323291.6         3867.88M               0       3867.88M       66.20M                0         66.20M 
323291.7         3868.98M               0       3868.98M       66.20M                0         66.20M 
323291.8         3876.83M               0       3876.83M       66.20M                0         66.20M 
323291.9         3886.05M               0       3886.05M       66.20M                0         66.20M 
323291.10        3861.67M               0       3861.67M       66.20M                0         66.20M 
323291.11        3867.75M               0       3867.75M       66.20M                0         66.20M 
323291.12        3861.72M               0       3861.72M       66.20M                0         66.20M 
323291.13        3872.51M               0       3872.51M       66.20M                0         66.20M 
323291.14        3873.49M               0       3873.49M       66.20M                0         66.20M 
323291.15        3875.22M               0       3875.22M       66.20M                0         66.20M 
323291.16        3884.94M               0       3884.94M       66.20M                0         66.20M 

Job 323291 completed at Tue Mar 29 12:58:46 CEST 2022
