Starting job 323294 on b[3130-3131,3372-3377,3379-3380,3382-3387,3389-3393,3395-3396,4216-4217,4219-4222,4224-4225,4231-4242,4248,5272-5277,5280-5285,5287-5290,5292,5294-5296] at Tue Mar 29 12:48:16 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j1n_j1n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323294             1n1n       8192                                             00:32:35      0:0 
323294.batch      batch        128        1   00:00:00          0   00:00:00   00:32:35      0:0 
323294.exte+     extern       8192       64   00:00:00         61   00:00:00   00:32:35      0:0 
323294.0     hydra_bst+       2048       16 4-20:39:04         14 5-12:19:40   00:32:33      0:0 
323294.1     hydra_bst+        384        3 5-07:16:11          1 5-12:53:29   00:32:31      0:0 
323294.2     hydra_bst+        384        3 5-15:35:12          1 5-15:36:02   00:32:31      0:0 
323294.3     hydra_bst+        384        3 5-06:16:31          0 5-12:36:09   00:32:31      0:0 
323294.4     hydra_bst+        384        3 5-15:37:03          2 5-15:40:28   00:32:31      0:0 
323294.5     hydra_bst+        384        3 5-15:34:23          1 5-15:40:28   00:32:31      0:0 
323294.6     hydra_bst+        384        3 5-15:32:48          2 5-15:39:58   00:32:31      0:0 
323294.7     hydra_bst+        384        3 5-15:35:27          1 5-15:37:39   00:32:31      0:0 
323294.8     hydra_bst+        384        3 5-15:31:45          0 5-15:39:52   00:32:31      0:0 
323294.9     hydra_bst+        384        3 5-15:30:47          1 5-15:38:42   00:32:31      0:0 
323294.10    hydra_bst+        384        3 4-23:54:26          1 5-10:03:33   00:32:31      0:0 
323294.11    hydra_bst+        384        3 5-15:34:48          0 5-15:41:09   00:32:31      0:0 
323294.12    hydra_bst+        384        3 5-15:31:02          1 5-15:38:06   00:32:31      0:0 
323294.13    hydra_bst+        384        3 5-15:38:56          1 5-15:42:46   00:32:31      0:0 
323294.14    hydra_bst+        384        3 5-15:34:33          1 5-15:37:35   00:32:31      0:0 
323294.15    hydra_bst+        384        3 5-15:37:30          1 5-15:40:36   00:32:31      0:0 
323294.16    hydra_bst+        384        3 5-15:37:31          2 5-15:41:06   00:32:31      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323294                                                                           
323294.batch      8570K          0      8570K        9              0          9 
323294.exte+       849K         17     835232        3              3          1 
323294.0       7023077K         10   6964855K       77             11         67 
323294.1       6964926K          2 7120569002       58              2         51 
323294.2       6950824K          1   6948340K       62              0         55 
323294.3       6998310K          0 7148600661       60              1         54 
323294.4       6945572K          2 7097838933       65              2         57 
323294.5       6976783K          0 7118481749       62              2         61 
323294.6       7005381K          0   6957600K       61              2         55 
323294.7       6985654K          2 7141161642       69              0         61 
323294.8       6965684K          2 7107213653       63              1         57 
323294.9       7007017K          2 7151146666       65              2         61 
323294.10      6957311K          1 7115421354       70              1         63 
323294.11      6969022K          0 7105999189       56              1         54 
323294.12      6983803K          0 7128987989       71              0         61 
323294.13      6966188K          0 7125958997       63              2         58 
323294.14      6958863K          0 7104370346       62              0         58 
323294.15      6971046K          0 7106422442       67              0         58 
323294.16      6969997K          0 7089876650       66              0         62 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323294                                                                                                
323294.batch       10.55M               0         10.55M       16.95M                0         16.95M 
323294.exte+        0.00M              61          0.00M            0               61              0 
323294.0         4118.43M               3       4003.55M       69.94M                0         69.93M 
323294.1         4028.67M               2       4007.23M       66.72M                2         66.72M 
323294.2         3964.95M               0       3960.77M       66.72M                1         66.72M 
323294.3         3999.64M               0       3975.91M       66.72M                2         66.72M 
323294.4         4001.30M               1       3984.40M       66.72M                0         66.72M 
323294.5         3993.99M               2       3972.51M       66.72M                1         66.72M 
323294.6         3991.15M               0       3966.14M       66.72M                1         66.72M 
323294.7         4038.50M               0       4007.72M       66.72M                0         66.72M 
323294.8         3994.48M               0       3980.63M       66.72M                0         66.72M 
323294.9         3980.02M               2       3968.99M       66.72M                2         66.72M 
323294.10        3984.15M               0       2988.78M       66.72M                2         66.72M 
323294.11        3982.08M               1       3971.69M       66.72M                2         66.72M 
323294.12        4024.94M               2       3985.79M       66.72M                0         66.72M 
323294.13        4083.31M               0       4042.34M       66.72M                0         66.72M 
323294.14        3989.19M               2       3974.06M       66.72M                0         66.72M 
323294.15        4031.55M               0       4017.17M       66.72M                2         66.72M 
323294.16        4030.72M               1       3990.11M       66.72M                2         66.72M 

Job 323294 completed at Tue Mar 29 13:20:50 CEST 2022
