Starting job 323318 on b[1134-1135,1137-1148,1211-1212,1236,3334-3348] at Tue Mar 29 13:10:50 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j3p_j1n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323318             3p1n       4096                                             00:16:37      0:0 
323318.batch      batch        128        1   00:00:00          0   00:00:00   00:16:37      0:0 
323318.exte+     extern       4096       32   00:00:00         23   00:00:00   00:16:38      0:0 
323318.0     hydra_bst+       2048       16 2-12:20:45          6 2-20:10:29   00:16:35      0:0 
323318.1     hydra_bst+        128        1 2-20:45:31          0 2-20:45:31   00:16:34      0:0 
323318.2     hydra_bst+        128        1 2-20:37:21          0 2-20:37:21   00:16:34      0:0 
323318.3     hydra_bst+        128        1 2-20:46:11          0 2-20:46:11   00:16:34      0:0 
323318.4     hydra_bst+        128        1 2-20:43:53          0 2-20:43:53   00:16:34      0:0 
323318.5     hydra_bst+        128        1 2-20:50:39          0 2-20:50:39   00:16:34      0:0 
323318.6     hydra_bst+        128        1 2-20:35:25          0 2-20:35:25   00:16:34      0:0 
323318.7     hydra_bst+        128        1 2-20:35:44          0 2-20:35:44   00:16:34      0:0 
323318.8     hydra_bst+        128        1 2-20:41:32          0 2-20:41:32   00:16:34      0:0 
323318.9     hydra_bst+        128        1 2-20:43:56          0 2-20:43:56   00:16:34      0:0 
323318.10    hydra_bst+        128        1 2-20:51:35          0 2-20:51:35   00:16:34      0:0 
323318.11    hydra_bst+        128        1 2-20:38:36          0 2-20:38:36   00:16:34      0:0 
323318.12    hydra_bst+        128        1 2-20:37:24          0 2-20:37:24   00:16:34      0:0 
323318.13    hydra_bst+        128        1 2-20:42:51          0 2-20:42:51   00:16:34      0:0 
323318.14    hydra_bst+        128        1 2-20:46:41          0 2-20:46:41   00:16:34      0:0 
323318.15    hydra_bst+        128        1 2-20:51:08          0 2-20:51:08   00:16:34      0:0 
323318.16    hydra_bst+        128        1 2-15:42:41          0 2-15:42:41   00:16:34      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323318                                                                           
323318.batch      8451K          0      8451K        9              0          9 
323318.exte+       843K         25     835392        3             24          1 
323318.0       6885753K          5 6981758784       71             11         60 
323318.1       6781511K          0   6781511K       58              0         58 
323318.2       6830855K          0   6830855K       52              0         52 
323318.3       6786500K          0   6786500K       59              0         59 
323318.4       6880212K          0   6880212K       51              0         51 
323318.5       6791707K          0   6791707K       52              0         52 
323318.6       6849698K          0   6849698K       48              0         48 
323318.7       6845264K          0   6845264K       57              0         57 
323318.8       6799521K          0   6799521K       53              0         53 
323318.9       6825780K          0   6825780K       52              0         52 
323318.10      6820041K          0   6820041K       55              0         55 
323318.11      6838726K          0   6838726K       63              0         63 
323318.12      6822099K          0   6822099K       63              0         63 
323318.13      6812504K          0   6812504K       53              0         53 
323318.14      6825878K          0   6825878K       61              0         61 
323318.15      6866736K          0   6866736K       51              0         51 
323318.16      6858419K          0   6858419K       50              0         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323318                                                                                                
323318.batch        9.74M               0          9.74M        8.76M                0          8.76M 
323318.exte+        0.00M              23          0.00M            0               23              0 
323318.0         4079.68M               2       4031.49M       66.77M                0         66.76M 
323318.1         4064.12M               0       4064.12M       66.20M                0         66.20M 
323318.2         4021.84M               0       4021.84M       66.20M                0         66.20M 
323318.3         4023.48M               0       4023.48M       66.20M                0         66.20M 
323318.4         4053.58M               0       4053.58M       66.20M                0         66.20M 
323318.5         4023.36M               0       4023.36M       66.20M                0         66.20M 
323318.6         3210.09M               0       3210.09M       66.20M                0         66.20M 
323318.7         4036.46M               0       4036.46M       66.20M                0         66.20M 
323318.8         4072.43M               0       4072.43M       66.20M                0         66.20M 
323318.9         4018.63M               0       4018.63M       66.20M                0         66.20M 
323318.10        4029.27M               0       4029.27M       66.20M                0         66.20M 
323318.11        4016.90M               0       4016.90M       66.20M                0         66.20M 
323318.12        4019.97M               0       4019.97M       66.20M                0         66.20M 
323318.13        4035.54M               0       4035.54M       66.20M                0         66.20M 
323318.14        4056.01M               0       4056.01M       66.20M                0         66.20M 
323318.15        4019.79M               0       4019.79M       66.20M                0         66.20M 
323318.16        4034.34M               0       4034.34M       66.20M                0         66.20M 

Job 323318 completed at Tue Mar 29 13:27:29 CEST 2022
