Starting job 323594 on b[1211-1212,1236-1241,1243-1244,2183-2188,3208,3213-3215,3235-3246] at Tue Mar 29 14:53:30 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j3p_j3n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323594             3p3n       4096                                             00:16:43      0:0 
323594.batch      batch        128        1   00:00:00          0   00:00:00   00:16:43      0:0 
323594.exte+     extern       4096       32   00:00:00         26   00:00:00   00:16:43      0:0 
323594.0     hydra_bst+       2048       16 2-10:07:13         12 2-18:06:56   00:16:41      0:0 
323594.1     hydra_bst+        128        1 2-19:31:10          0 2-19:31:10   00:16:40      0:0 
323594.2     hydra_bst+        128        1 2-08:51:49          0 2-08:51:49   00:16:40      0:0 
323594.3     hydra_bst+        128        1 2-19:27:31          0 2-19:27:31   00:16:40      0:0 
323594.4     hydra_bst+        128        1 2-19:27:42          0 2-19:27:42   00:16:40      0:0 
323594.5     hydra_bst+        128        1 2-08:33:31          0 2-08:33:31   00:16:40      0:0 
323594.6     hydra_bst+        128        1 2-19:28:32          0 2-19:28:32   00:16:40      0:0 
323594.7     hydra_bst+        128        1 2-19:28:16          0 2-19:28:16   00:16:40      0:0 
323594.8     hydra_bst+        128        1 2-19:33:26          0 2-19:33:26   00:16:40      0:0 
323594.9     hydra_bst+        128        1 2-10:12:43          0 2-10:12:43   00:16:40      0:0 
323594.10    hydra_bst+        128        1 2-19:27:38          0 2-19:27:38   00:16:40      0:0 
323594.11    hydra_bst+        128        1 2-19:27:17          0 2-19:27:17   00:16:40      0:0 
323594.12    hydra_bst+        128        1 2-19:26:05          0 2-19:26:05   00:16:40      0:0 
323594.13    hydra_bst+        128        1 2-19:27:15          0 2-19:27:15   00:16:40      0:0 
323594.14    hydra_bst+        128        1 2-19:26:39          0 2-19:26:39   00:16:40      0:0 
323594.15    hydra_bst+        128        1 2-19:28:40          0 2-19:28:40   00:16:40      0:0 
323594.16    hydra_bst+        128        1 2-19:30:17          0 2-19:30:17   00:16:39      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323594                                                                           
323594.batch      8500K          0      8500K        9              0          9 
323594.exte+       856K         18     839424        3             30          1 
323594.0       6933441K         15 6970363328       65             12          8 
323594.1       6982292K          0   6982292K       50              0         50 
323594.2       6798802K          0   6798802K       52              0         52 
323594.3       6753239K          0   6753239K       44              0         44 
323594.4       6776194K          0   6776194K       56              0         56 
323594.5       6919898K          0   6919898K       59              0         59 
323594.6       6771689K          0   6771689K       48              0         48 
323594.7       6718940K          0   6718940K       49              0         49 
323594.8       6779566K          0   6779566K       50              0         50 
323594.9       6829898K          0   6829898K       49              0         49 
323594.10      6774521K          0   6774521K       50              0         50 
323594.11      6741277K          0   6741277K       44              0         44 
323594.12      6839375K          0   6839375K       43              0         43 
323594.13      6723161K          0   6723161K       46              0         46 
323594.14      6765579K          0   6765579K       49              0         49 
323594.15      6936430K          0   6936430K       47              0         47 
323594.16      6814761K          0   6814761K       52              0         52 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323594                                                                                                
323594.batch        9.75M               0          9.75M        8.76M                0          8.76M 
323594.exte+        0.00M              26          0.00M            0               26              0 
323594.0         3946.70M               2       3877.67M       76.23M                0         67.35M 
323594.1         3883.78M               0       3883.78M       66.20M                0         66.20M 
323594.2         3881.05M               0       3881.05M       66.20M                0         66.20M 
323594.3         3883.04M               0       3883.04M       66.20M                0         66.20M 
323594.4         3857.97M               0       3857.97M       66.20M                0         66.20M 
323594.5         3111.31M               0       3111.31M       66.20M                0         66.20M 
323594.6         3871.51M               0       3871.51M       66.20M                0         66.20M 
323594.7         3872.78M               0       3872.78M       66.20M                0         66.20M 
323594.8         3870.36M               0       3870.36M       66.20M                0         66.20M 
323594.9         3858.88M               0       3858.88M       66.20M                0         66.20M 
323594.10        3864.65M               0       3864.65M       66.20M                0         66.20M 
323594.11        3857.87M               0       3857.87M       66.20M                0         66.20M 
323594.12        3873.04M               0       3873.04M       66.20M                0         66.20M 
323594.13        3865.59M               0       3865.59M       66.20M                0         66.20M 
323594.14        3859.62M               0       3859.62M       66.20M                0         66.20M 
323594.15        3856.94M               0       3856.94M       66.20M                0         66.20M 
323594.16        3865.50M               0       3865.50M       66.20M                0         66.20M 

Job 323594 completed at Tue Mar 29 15:10:14 CEST 2022
