Starting job 323602 on b[1114,1117,1134-1135,1137-1142,1236-1237,2139-2148,3155-3157,3159,3177-3178,3186-3189] at Tue Mar 29 15:10:32 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j5p_j3n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323602             5p3n       4096                                             00:16:35      0:0 
323602.batch      batch        128        1   00:00:00          0   00:00:00   00:16:35      0:0 
323602.exte+     extern       4096       32   00:00:00         31   00:00:00   00:16:35      0:0 
323602.0     hydra_bst+       2048       16 1-11:58:26          7 2-12:29:17   00:16:32      0:0 
323602.1     hydra_bst+        128        1 2-20:00:17          0 2-20:00:17   00:16:31      0:0 
323602.2     hydra_bst+        128        1 2-20:00:07          0 2-20:00:07   00:16:31      0:0 
323602.3     hydra_bst+        128        1 2-20:04:50          0 2-20:04:50   00:16:31      0:0 
323602.4     hydra_bst+        128        1 2-11:46:00          0 2-11:46:00   00:16:31      0:0 
323602.5     hydra_bst+        128        1 2-20:03:44          0 2-20:03:44   00:16:31      0:0 
323602.6     hydra_bst+        128        1 2-20:02:25          0 2-20:02:25   00:16:31      0:0 
323602.7     hydra_bst+        128        1 2-20:03:17          0 2-20:03:17   00:16:31      0:0 
323602.8     hydra_bst+        128        1 2-19:58:18          0 2-19:58:18   00:16:31      0:0 
323602.9     hydra_bst+        128        1 2-20:05:12          0 2-20:05:12   00:16:31      0:0 
323602.10    hydra_bst+        128        1 2-20:05:36          0 2-20:05:36   00:16:31      0:0 
323602.11    hydra_bst+        128        1 2-03:37:52          0 2-03:37:52   00:16:31      0:0 
323602.12    hydra_bst+        128        1 2-20:02:51          0 2-20:02:51   00:16:30      0:0 
323602.13    hydra_bst+        128        1 2-20:02:42          0 2-20:02:42   00:16:30      0:0 
323602.14    hydra_bst+        128        1 2-20:03:28          0 2-20:03:28   00:16:30      0:0 
323602.15    hydra_bst+        128        1 2-20:01:02          0 2-20:01:02   00:16:30      0:0 
323602.16    hydra_bst+        128        1 2-19:40:42          0 2-19:40:42   00:16:30      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323602                                                                           
323602.batch      8523K          0      8523K        9              0          9 
323602.exte+       843K         24     834464        3             26          1 
323602.0       6903653K         12 6970513152       67              9         56 
323602.1       6930515K          0   6930515K       45              0         45 
323602.2       6702817K          0   6702817K       46              0         46 
323602.3       6761865K          0   6761865K       48              0         48 
323602.4       6850874K          0   6850874K       45              0         45 
323602.5       6943724K          0   6943724K       48              0         48 
323602.6       6908412K          0   6908412K       53              0         53 
323602.7       6902335K          0   6902335K       54              0         54 
323602.8       6970574K          0   6970574K       52              0         52 
323602.9       6853807K          0   6853807K       49              0         49 
323602.10      6829952K          0   6829952K       49              0         49 
323602.11      6805744K          0   6805744K       54              0         54 
323602.12      6882825K          0   6882825K       49              0         49 
323602.13      6828873K          0   6828873K       58              0         58 
323602.14      6787493K          0   6787493K       58              0         58 
323602.15      6781937K          0   6781937K       52              0         52 
323602.16      6874206K          0   6874206K       51              0         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323602                                                                                                
323602.batch        9.89M               0          9.89M        8.76M                0          8.76M 
323602.exte+        0.00M              31          0.00M            0               31              0 
323602.0         3939.88M               2       3871.10M       66.77M                0         66.76M 
323602.1         3877.40M               0       3877.40M       66.20M                0         66.20M 
323602.2         3864.25M               0       3864.25M       66.20M                0         66.20M 
323602.3         3851.23M               0       3851.23M       66.20M                0         66.20M 
323602.4         3867.56M               0       3867.56M       66.20M                0         66.20M 
323602.5         3858.55M               0       3858.55M       66.20M                0         66.20M 
323602.6         3875.84M               0       3875.84M       66.20M                0         66.20M 
323602.7         3863.73M               0       3863.73M       66.20M                0         66.20M 
323602.8         3852.47M               0       3852.47M       66.20M                0         66.20M 
323602.9         3858.58M               0       3858.58M       66.20M                0         66.20M 
323602.10        3853.73M               0       3853.73M       66.20M                0         66.20M 
323602.11        3876.89M               0       3876.89M       66.20M                0         66.20M 
323602.12        3859.76M               0       3859.76M       66.20M                0         66.20M 
323602.13        3866.51M               0       3866.51M       66.20M                0         66.20M 
323602.14        3850.87M               0       3850.87M       66.20M                0         66.20M 
323602.15        3853.08M               0       3853.08M       66.20M                0         66.20M 
323602.16        3110.91M               0       3110.91M       66.20M                0         66.20M 

Job 323602 completed at Tue Mar 29 15:27:07 CEST 2022
