Starting job 323605 on b[1143-1145,1147,1157-1162,1193,1306,1315,1319,2135-2138,2189-2192,3323-3325,3334-3336,5269,5290,5292,5296] at Tue Mar 29 15:18:33 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j5p_j5n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323605             5p5n       4096                                             00:15:14      0:0 
323605.batch      batch        128        1   00:00:00          0   00:00:00   00:15:14      0:0 
323605.exte+     extern       4096       32   00:00:00         31   00:00:00   00:15:14      0:0 
323605.0     hydra_bst+       2048       16 2-07:42:33          6 2-14:19:16   00:15:12      0:0 
323605.1     hydra_bst+        128        1 2-14:42:36          0 2-14:42:36   00:15:10      0:0 
323605.2     hydra_bst+        128        1 2-14:45:51          0 2-14:45:51   00:15:10      0:0 
323605.3     hydra_bst+        128        1 2-14:44:53          0 2-14:44:53   00:15:10      0:0 
323605.4     hydra_bst+        128        1 2-14:44:29          0 2-14:44:29   00:15:10      0:0 
323605.5     hydra_bst+        128        1 2-14:32:10          0 2-14:32:10   00:15:10      0:0 
323605.6     hydra_bst+        128        1 2-14:48:32          0 2-14:48:32   00:15:11      0:0 
323605.7     hydra_bst+        128        1 2-14:46:09          0 2-14:46:09   00:15:11      0:0 
323605.8     hydra_bst+        128        1 2-09:47:05          0 2-09:47:05   00:15:11      0:0 
323605.9     hydra_bst+        128        1 2-14:49:00          0 2-14:49:00   00:15:10      0:0 
323605.10    hydra_bst+        128        1 2-14:06:27          0 2-14:06:27   00:15:10      0:0 
323605.11    hydra_bst+        128        1 2-14:04:14          0 2-14:04:14   00:15:10      0:0 
323605.12    hydra_bst+        128        1 2-14:44:44          0 2-14:44:44   00:15:10      0:0 
323605.13    hydra_bst+        128        1 2-14:50:08          0 2-14:50:08   00:15:11      0:0 
323605.14    hydra_bst+        128        1 2-14:47:12          0 2-14:47:12   00:15:10      0:0 
323605.15    hydra_bst+        128        1 2-14:51:14          0 2-14:51:14   00:15:10      0:0 
323605.16    hydra_bst+        128        1 2-14:08:34          0 2-14:08:34   00:15:10      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323605                                                                           
323605.batch      8767K          0      8767K        9              0          9 
323605.exte+       845K         20     837952        3              1          1 
323605.0       6540198K         13 6557131648       75              3         61 
323605.1       6274904K          0   6274904K       53              0         53 
323605.2       6397465K          0   6397465K       57              0         57 
323605.3       6389299K          0   6389299K       48              0         48 
323605.4       6323987K          0   6323987K       46              0         46 
323605.5       6241052K          0   6241052K       53              0         53 
323605.6       6452740K          0   6452740K       57              0         57 
323605.7       6435528K          0   6435528K       45              0         45 
323605.8       6338111K          0   6338111K       46              0         46 
323605.9       6362873K          0   6362873K       54              0         54 
323605.10      6377299K          0   6377299K       47              0         47 
323605.11      6388998K          0   6388998K       56              0         56 
323605.12      6401870K          0   6401870K       48              0         48 
323605.13      6382081K          0   6382081K       50              0         50 
323605.14      6446399K          0   6446399K       51              0         51 
323605.15      6375944K          0   6375944K       58              0         58 
323605.16      6274596K          0   6274596K       51              0         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323605                                                                                                
323605.batch       10.36M               0         10.36M        8.76M                0          8.76M 
323605.exte+        0.00M              31          0.00M            0               31              0 
323605.0         3618.15M               2       3565.98M       66.77M                0         66.76M 
323605.1         3577.31M               0       3577.31M       66.20M                0         66.20M 
323605.2         3556.43M               0       3556.43M       66.20M                0         66.20M 
323605.3         3560.16M               0       3560.16M       66.20M                0         66.20M 
323605.4         3552.44M               0       3552.44M       66.20M                0         66.20M 
323605.5         2867.37M               0       2867.37M       66.20M                0         66.20M 
323605.6         3556.82M               0       3556.82M       66.20M                0         66.20M 
323605.7         3583.35M               0       3583.35M       66.20M                0         66.20M 
323605.8         3556.41M               0       3556.41M       66.20M                0         66.20M 
323605.9         3590.70M               0       3590.70M       66.20M                0         66.20M 
323605.10        3553.93M               0       3553.93M       66.20M                0         66.20M 
323605.11        3600.13M               0       3600.13M       66.20M                0         66.20M 
323605.12        3562.60M               0       3562.60M       66.20M                0         66.20M 
323605.13        3555.11M               0       3555.11M       66.20M                0         66.20M 
323605.14        3571.55M               0       3571.55M       66.20M                0         66.20M 
323605.15        3561.23M               0       3561.23M       66.20M                0         66.20M 
323605.16        3567.04M               0       3567.04M       66.20M                0         66.20M 

Job 323605 completed at Tue Mar 29 15:33:47 CEST 2022
