Starting job 323607 on b[2183-2188,2193-2196,3235-3246,5150-5151,5155-5158,5160-5161,5165-5166] at Tue Mar 29 15:26:33 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j5p_j7n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323607             5p7n       4096                                             00:13:28      0:0 
323607.batch      batch        128        1   00:00:00          0   00:00:00   00:13:28      0:0 
323607.exte+     extern       4096       32   00:00:00         11   00:00:00   00:13:28      0:0 
323607.0     hydra_bst+       2048       16 1-20:38:41         12 2-05:36:25   00:13:24      0:0 
323607.1     hydra_bst+        128        1 2-07:05:02          0 2-07:05:02   00:13:24      0:0 
323607.2     hydra_bst+        128        1 2-07:07:40          0 2-07:07:40   00:13:24      0:0 
323607.3     hydra_bst+        128        1 2-07:09:40          0 2-07:09:40   00:13:24      0:0 
323607.4     hydra_bst+        128        1 1-21:51:27          0 1-21:51:27   00:13:24      0:0 
323607.5     hydra_bst+        128        1 2-07:08:57          0 2-07:08:57   00:13:24      0:0 
323607.6     hydra_bst+        128        1 2-07:06:16          0 2-07:06:16   00:13:24      0:0 
323607.7     hydra_bst+        128        1 2-03:20:47          0 2-03:20:47   00:13:24      0:0 
323607.8     hydra_bst+        128        1 2-07:10:40          0 2-07:10:40   00:13:24      0:0 
323607.9     hydra_bst+        128        1 2-07:01:33          0 2-07:01:33   00:13:24      0:0 
323607.10    hydra_bst+        128        1 2-07:07:15          0 2-07:07:15   00:13:24      0:0 
323607.11    hydra_bst+        128        1 2-07:06:58          0 2-07:06:58   00:13:24      0:0 
323607.12    hydra_bst+        128        1 2-07:08:29          0 2-07:08:29   00:13:24      0:0 
323607.13    hydra_bst+        128        1 1-21:21:27          0 1-21:21:27   00:13:24      0:0 
323607.14    hydra_bst+        128        1 2-03:08:20          0 2-03:08:20   00:13:24      0:0 
323607.15    hydra_bst+        128        1 2-07:10:41          0 2-07:10:41   00:13:24      0:0 
323607.16    hydra_bst+        128        1 2-07:08:03          0 2-07:08:03   00:13:24      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323607                                                                           
323607.batch      8463K          0      8463K        9              0          9 
323607.exte+       846K          9     857536        3              9          1 
323607.0       5903917K          3 5899922048       68              8         59 
323607.1       5719695K          0   5719695K       59              0         59 
323607.2       5815084K          0   5815084K       51              0         51 
323607.3       5742474K          0   5742474K       55              0         55 
323607.4       5767308K          0   5767308K       53              0         53 
323607.5       5723733K          0   5723733K       45              0         45 
323607.6       5756708K          0   5756708K       48              0         48 
323607.7       5764982K          0   5764982K       38              0         38 
323607.8       5757403K          0   5757403K       48              0         48 
323607.9       5785086K          0   5785086K       49              0         49 
323607.10      5754988K          0   5754988K       54              0         54 
323607.11      5702134K          0   5702134K       54              0         54 
323607.12      5789673K          0   5789673K       56              0         56 
323607.13      5772417K          0   5772417K       56              0         56 
323607.14      5784808K          0   5784808K       41              0         41 
323607.15      5773843K          0   5773843K       49              0         49 
323607.16      5775162K          0   5775162K       48              0         48 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323607                                                                                                
323607.batch        9.81M               0          9.81M        8.76M                0          8.76M 
323607.exte+        0.00M              11          0.00M            0               11              0 
323607.0         3197.97M               3       3161.20M       66.77M                0         66.76M 
323607.1         3157.08M               0       3157.08M       66.20M                0         66.20M 
323607.2         3154.37M               0       3154.37M       66.20M                0         66.20M 
323607.3         3168.81M               0       3168.81M       66.20M                0         66.20M 
323607.4         3148.51M               0       3148.51M       66.20M                0         66.20M 
323607.5         3150.38M               0       3150.38M       66.20M                0         66.20M 
323607.6         3160.33M               0       3160.33M       66.20M                0         66.20M 
323607.7         3154.35M               0       3154.35M       66.20M                0         66.20M 
323607.8         3186.48M               0       3186.48M       66.20M                0         66.20M 
323607.9         2513.29M               0       2513.29M       66.20M                0         66.20M 
323607.10        3151.36M               0       3151.36M       66.20M                0         66.20M 
323607.11        3144.48M               0       3144.48M       66.20M                0         66.20M 
323607.12        3158.90M               0       3158.90M       66.20M                0         66.20M 
323607.13        3155.36M               0       3155.36M       66.20M                0         66.20M 
323607.14        3171.74M               0       3171.74M       66.20M                0         66.20M 
323607.15        3149.60M               0       3149.60M       66.20M                0         66.20M 
323607.16        3153.27M               0       3153.27M       66.20M                0         66.20M 

Job 323607 completed at Tue Mar 29 15:40:02 CEST 2022
