Starting job 323617 on b[2183-2188,2193-2196,3235-3246,5150-5151,5155-5158,5160-5161,5165-5166] at Tue Mar 29 15:40:05 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j7p_j9n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323617             7p9n       4096                                             00:12:18      0:0 
323617.batch      batch        128        1   00:00:00          0   00:00:00   00:12:18      0:0 
323617.exte+     extern       4096       32   00:00:00         14   00:00:00   00:12:18      0:0 
323617.0     hydra_bst+       2048       16 1-20:05:31          1 2-00:06:54   00:12:15      0:0 
323617.1     hydra_bst+        128        1 2-01:33:11          0 2-01:33:11   00:12:13      0:0 
323617.2     hydra_bst+        128        1 2-01:30:27          0 2-01:30:27   00:12:13      0:0 
323617.3     hydra_bst+        128        1 2-01:29:05          0 2-01:29:05   00:12:13      0:0 
323617.4     hydra_bst+        128        1 2-01:26:30          0 2-01:26:30   00:12:13      0:0 
323617.5     hydra_bst+        128        1 2-01:29:13          0 2-01:29:13   00:12:13      0:0 
323617.6     hydra_bst+        128        1 2-01:28:04          0 2-01:28:04   00:12:13      0:0 
323617.7     hydra_bst+        128        1 2-01:32:13          0 2-01:32:13   00:12:13      0:0 
323617.8     hydra_bst+        128        1 2-01:27:55          0 2-01:27:55   00:12:13      0:0 
323617.9     hydra_bst+        128        1 2-01:33:46          0 2-01:33:46   00:12:13      0:0 
323617.10    hydra_bst+        128        1 2-01:29:05          0 2-01:29:05   00:12:13      0:0 
323617.11    hydra_bst+        128        1 2-01:25:37          0 2-01:25:37   00:12:13      0:0 
323617.12    hydra_bst+        128        1 2-01:27:47          0 2-01:27:47   00:12:13      0:0 
323617.13    hydra_bst+        128        1 2-01:31:59          0 2-01:31:59   00:12:13      0:0 
323617.14    hydra_bst+        128        1 2-01:32:37          0 2-01:32:37   00:12:13      0:0 
323617.15    hydra_bst+        128        1 2-01:28:12          0 2-01:28:12   00:12:13      0:0 
323617.16    hydra_bst+        128        1 2-01:32:07          0 2-01:32:07   00:12:13      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323617                                                                           
323617.batch      8459K          0      8459K        9              0          9 
323617.exte+       843K          7     835872        3              9          1 
323617.0       5432026K         15   5393857K       70             15         60 
323617.1       5356346K          0   5356346K       61              0         61 
323617.2       5321107K          0   5321107K       54              0         54 
323617.3       5354426K          0   5354426K       43              0         43 
323617.4       5381465K          0   5381465K       52              0         52 
323617.5       5375868K          0   5375868K       52              0         52 
323617.6       5400863K          0   5400863K       48              0         48 
323617.7       5371067K          0   5371067K       59              0         59 
323617.8       5341820K          0   5341820K       51              0         51 
323617.9       5315884K          0   5315884K       51              0         51 
323617.10      5388305K          0   5388305K       46              0         46 
323617.11      5313345K          0   5313345K       48              0         48 
323617.12      5348867K          0   5348867K       52              0         52 
323617.13      5355714K          0   5355714K       49              0         49 
323617.14      5394046K          0   5394046K       57              0         57 
323617.15      5350369K          0   5350369K       51              0         51 
323617.16      5394558K          0   5394558K       57              0         57 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323617                                                                                                
323617.batch        9.81M               0          9.81M        8.76M                0          8.76M 
323617.exte+        0.00M              14          0.00M            0               14              0 
323617.0         2723.80M               3       2682.38M       66.77M                0         66.76M 
323617.1         2687.39M               0       2687.39M       66.20M                0         66.20M 
323617.2         2672.26M               0       2672.26M       66.20M                0         66.20M 
323617.3         2680.63M               0       2680.63M       66.20M                0         66.20M 
323617.4         2697.98M               0       2697.98M       66.20M                0         66.20M 
323617.5         2671.69M               0       2671.69M       66.20M                0         66.20M 
323617.6         2672.86M               0       2672.86M       66.20M                0         66.20M 
323617.7         2708.30M               0       2708.30M       66.20M                0         66.20M 
323617.8         2669.85M               0       2669.85M       66.20M                0         66.20M 
323617.9         2672.95M               0       2672.95M       66.20M                0         66.20M 
323617.10        2671.63M               0       2671.63M       66.20M                0         66.20M 
323617.11        2070.92M               0       2070.92M       66.20M                0         66.20M 
323617.12        2671.83M               0       2671.83M       66.20M                0         66.20M 
323617.13        2671.93M               0       2671.93M       66.20M                0         66.20M 
323617.14        2680.90M               0       2680.90M       66.20M                0         66.20M 
323617.15        2675.25M               0       2675.25M       66.20M                0         66.20M 
323617.16        2666.46M               0       2666.46M       66.20M                0         66.20M 

Job 323617 completed at Tue Mar 29 15:52:23 CEST 2022
