Starting job 323622 on b[1143-1145,1147,1157-1162,1193,2135-2138,2189-2192,3323-3325,3334-3336,3344-3347,5269,5290,5292] at Tue Mar 29 15:48:06 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j9p_j9n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323622             9p9n       4096                                             00:12:36      0:0 
323622.batch      batch        128        1   00:00:00          0   00:00:00   00:12:36      0:0 
323622.exte+     extern       4096       32   00:00:00         19   00:00:00   00:12:37      0:0 
323622.0     hydra_bst+       2048       16 1-20:01:19          9 2-00:30:35   00:12:34      0:0 
323622.1     hydra_bst+        128        1 2-00:52:24          0 2-00:52:24   00:12:34      0:0 
323622.2     hydra_bst+        128        1 2-00:46:08          0 2-00:46:08   00:12:33      0:0 
323622.3     hydra_bst+        128        1 1-20:10:45          0 1-20:10:45   00:12:33      0:0 
323622.4     hydra_bst+        128        1 2-00:50:07          0 2-00:50:07   00:12:33      0:0 
323622.5     hydra_bst+        128        1 2-00:52:40          0 2-00:52:40   00:12:33      0:0 
323622.6     hydra_bst+        128        1 2-00:54:58          0 2-00:54:58   00:12:33      0:0 
323622.7     hydra_bst+        128        1 2-00:47:48          0 2-00:47:48   00:12:33      0:0 
323622.8     hydra_bst+        128        1 1-20:08:59          0 1-20:08:59   00:12:33      0:0 
323622.9     hydra_bst+        128        1 2-00:45:36          0 2-00:45:36   00:12:33      0:0 
323622.10    hydra_bst+        128        1 2-00:48:24          0 2-00:48:24   00:12:33      0:0 
323622.11    hydra_bst+        128        1 2-00:48:52          0 2-00:48:52   00:12:33      0:0 
323622.12    hydra_bst+        128        1 1-20:18:46          0 1-20:18:46   00:12:33      0:0 
323622.13    hydra_bst+        128        1 2-00:50:19          0 2-00:50:19   00:12:33      0:0 
323622.14    hydra_bst+        128        1 2-00:48:18          0 2-00:48:18   00:12:33      0:0 
323622.15    hydra_bst+        128        1 1-20:23:12          0 1-20:23:12   00:12:33      0:0 
323622.16    hydra_bst+        128        1 1-20:08:28          0 1-20:08:28   00:12:33      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323622                                                                           
323622.batch      8672K          0      8672K        9              0          9 
323622.exte+       843K         18     858688        3             18          1 
323622.0       5435355K         14 5528104256       68              2         59 
323622.1       5392835K          0   5392835K       51              0         51 
323622.2       5415851K          0   5415851K       42              0         42 
323622.3       5411858K          0   5411858K       62              0         62 
323622.4       5365016K          0   5365016K       51              0         51 
323622.5       5400741K          0   5400741K       50              0         50 
323622.6       5429448K          0   5429448K       49              0         49 
323622.7       5351711K          0   5351711K       47              0         47 
323622.8       5357030K          0   5357030K       59              0         59 
323622.9       5394428K          0   5394428K       59              0         59 
323622.10      5380201K          0   5380201K       55              0         55 
323622.11      5405073K          0   5405073K       55              0         55 
323622.12      5369844K          0   5369844K       55              0         55 
323622.13      5372403K          0   5372403K       52              0         52 
323622.14      5361537K          0   5361537K       54              0         54 
323622.15      5432561K          0   5432561K       59              0         59 
323622.16      5375447K          0   5375447K       57              0         57 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323622                                                                                                
323622.batch       10.21M               0         10.21M        8.76M                0          8.76M 
323622.exte+        0.00M              19          0.00M            0               19              0 
323622.0         2714.37M               3       2673.13M       66.77M                0         66.76M 
323622.1         2677.47M               0       2677.47M       66.20M                0         66.20M 
323622.2         2070.93M               0       2070.93M       66.20M                0         66.20M 
323622.3         2672.33M               0       2672.33M       66.20M                0         66.20M 
323622.4         2663.40M               0       2663.40M       66.20M                0         66.20M 
323622.5         2697.89M               0       2697.89M       66.20M                0         66.20M 
323622.6         2662.23M               0       2662.23M       66.20M                0         66.20M 
323622.7         2659.46M               0       2659.46M       66.20M                0         66.20M 
323622.8         2665.95M               0       2665.95M       66.20M                0         66.20M 
323622.9         2662.41M               0       2662.41M       66.20M                0         66.20M 
323622.10        2688.17M               0       2688.17M       66.20M                0         66.20M 
323622.11        2672.09M               0       2672.09M       66.20M                0         66.20M 
323622.12        2663.31M               0       2663.31M       66.20M                0         66.20M 
323622.13        2663.17M               0       2663.17M       66.20M                0         66.20M 
323622.14        2656.79M               0       2656.79M       66.20M                0         66.20M 
323622.15        2661.59M               0       2661.59M       66.20M                0         66.20M 
323622.16        2662.09M               0       2662.09M       66.20M                0         66.20M 

Job 323622 completed at Tue Mar 29 16:00:43 CEST 2022
