Starting job 323623 on b[2183-2188,2193-2194,3235-3247,5150-5151,5155-5158,5160-5161,5165-5167] at Tue Mar 29 15:52:37 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j9p_j11n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323623            9p11n       4096                                             00:09:48      0:0 
323623.batch      batch        128        1   00:00:00          0   00:00:00   00:09:48      0:0 
323623.exte+     extern       4096       32   00:00:00         13   00:00:00   00:09:48      0:0 
323623.0     hydra_bst+       2048       16 1-12:05:16          7 1-15:12:45   00:09:44      0:0 
323623.1     hydra_bst+        128        1 1-15:40:40          0 1-15:40:40   00:09:44      0:0 
323623.2     hydra_bst+        128        1 1-12:10:58          0 1-12:10:58   00:09:44      0:0 
323623.3     hydra_bst+        128        1 1-15:41:10          0 1-15:41:10   00:09:44      0:0 
323623.4     hydra_bst+        128        1 1-15:41:11          0 1-15:41:11   00:09:44      0:0 
323623.5     hydra_bst+        128        1 1-15:41:05          0 1-15:41:05   00:09:44      0:0 
323623.6     hydra_bst+        128        1 1-11:44:51          0 1-11:44:51   00:09:44      0:0 
323623.7     hydra_bst+        128        1 1-15:39:12          0 1-15:39:12   00:09:44      0:0 
323623.8     hydra_bst+        128        1 1-15:40:32          0 1-15:40:32   00:09:44      0:0 
323623.9     hydra_bst+        128        1 1-15:42:26          0 1-15:42:26   00:09:44      0:0 
323623.10    hydra_bst+        128        1 1-15:40:43          0 1-15:40:43   00:09:44      0:0 
323623.11    hydra_bst+        128        1 1-15:41:10          0 1-15:41:10   00:09:44      0:0 
323623.12    hydra_bst+        128        1 1-15:42:55          0 1-15:42:55   00:09:44      0:0 
323623.13    hydra_bst+        128        1 1-15:39:57          0 1-15:39:57   00:09:44      0:0 
323623.14    hydra_bst+        128        1 1-15:41:28          0 1-15:41:28   00:09:44      0:0 
323623.15    hydra_bst+        128        1 1-15:41:09          0 1-15:41:09   00:09:44      0:0 
323623.16    hydra_bst+        128        1 1-15:41:09          0 1-15:41:09   00:09:44      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323623                                                                           
323623.batch      8451K          0      8451K        9              0          9 
323623.exte+       845K          7     834176        3             16          1 
323623.0       4875255K          0 4921744576       71             14         56 
323623.1       4787521K          0   4787521K       54              0         54 
323623.2       4820885K          0   4820885K       42              0         42 
323623.3       4776218K          0   4776218K       44              0         44 
323623.4       4781469K          0   4781469K       50              0         50 
323623.5       4801390K          0   4801390K       44              0         44 
323623.6       4774830K          0   4774830K       58              0         58 
323623.7       4822434K          0   4822434K       52              0         52 
323623.8       4850963K          0   4850963K       50              0         50 
323623.9       4792806K          0   4792806K       46              0         46 
323623.10      4836372K          0   4836372K       47              0         47 
323623.11      4799780K          0   4799780K       55              0         55 
323623.12      4793821K          0   4793821K       49              0         49 
323623.13      4816856K          0   4816856K       55              0         55 
323623.14      4812385K          0   4812385K       53              0         53 
323623.15      4799133K          0   4799133K       43              0         43 
323623.16      4798874K          0   4798874K       49              0         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323623                                                                                                
323623.batch        9.81M               0          9.81M        8.76M                0          8.76M 
323623.exte+        0.00M              13          0.00M            0               13              0 
323623.0         2207.55M               2       2177.87M       66.77M                0         66.76M 
323623.1         2175.37M               0       2175.37M       66.20M                0         66.20M 
323623.2         2185.34M               0       2185.34M       66.20M                0         66.20M 
323623.3         2170.51M               0       2170.51M       66.20M                0         66.20M 
323623.4         2170.18M               0       2170.18M       66.20M                0         66.20M 
323623.5         2176.65M               0       2176.65M       66.20M                0         66.20M 
323623.6         1699.92M               0       1699.92M       66.20M                0         66.20M 
323623.7         2169.39M               0       2169.39M       66.20M                0         66.20M 
323623.8         2201.11M               0       2201.11M       66.20M                0         66.20M 
323623.9         2171.02M               0       2171.02M       66.20M                0         66.20M 
323623.10        2175.98M               0       2175.98M       66.20M                0         66.20M 
323623.11        2166.00M               0       2166.00M       66.20M                0         66.20M 
323623.12        2191.42M               0       2191.42M       66.20M                0         66.20M 
323623.13        2175.86M               0       2175.86M       66.20M                0         66.20M 
323623.14        2170.24M               0       2170.24M       66.20M                0         66.20M 
323623.15        2170.09M               0       2170.09M       66.20M                0         66.20M 
323623.16        2168.68M               0       2168.68M       66.20M                0         66.20M 

Job 323623 completed at Tue Mar 29 16:02:25 CEST 2022
