Starting job 323629 on b[1114,1117,1134-1135,1137-1142,2139,3159,3177-3178,3186-3193,3216-3219,3222-3227] at Tue Mar 29 15:56:37 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j11p_j9n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323629            11p9n       4096                                             00:12:25      0:0 
323629.batch      batch        128        1   00:00:00          0   00:00:00   00:12:25      0:0 
323629.exte+     extern       4096       32   00:00:00         31   00:00:00   00:12:25      0:0 
323629.0     hydra_bst+       2048       16 1-19:41:37          1 2-00:11:50   00:12:23      0:0 
323629.1     hydra_bst+        128        1 2-01:16:33          0 2-01:16:33   00:12:21      0:0 
323629.2     hydra_bst+        128        1 2-01:17:55          0 2-01:17:55   00:12:22      0:0 
323629.3     hydra_bst+        128        1 2-01:17:22          0 2-01:17:22   00:12:21      0:0 
323629.4     hydra_bst+        128        1 2-01:18:12          0 2-01:18:12   00:12:21      0:0 
323629.5     hydra_bst+        128        1 2-01:20:40          0 2-01:20:40   00:12:21      0:0 
323629.6     hydra_bst+        128        1 2-01:14:38          0 2-01:14:38   00:12:21      0:0 
323629.7     hydra_bst+        128        1 2-01:17:32          0 2-01:17:32   00:12:21      0:0 
323629.8     hydra_bst+        128        1 2-01:17:49          0 2-01:17:49   00:12:21      0:0 
323629.9     hydra_bst+        128        1 2-01:19:31          0 2-01:19:31   00:12:21      0:0 
323629.10    hydra_bst+        128        1 2-01:14:15          0 2-01:14:15   00:12:21      0:0 
323629.11    hydra_bst+        128        1 2-01:22:35          0 2-01:22:35   00:12:21      0:0 
323629.12    hydra_bst+        128        1 2-01:19:55          0 2-01:19:55   00:12:21      0:0 
323629.13    hydra_bst+        128        1 2-01:19:43          0 2-01:19:43   00:12:21      0:0 
323629.14    hydra_bst+        128        1 2-01:18:18          0 2-01:18:18   00:12:21      0:0 
323629.15    hydra_bst+        128        1 2-01:14:12          0 2-01:14:12   00:12:21      0:0 
323629.16    hydra_bst+        128        1 2-01:06:20          0 2-01:06:20   00:12:21      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323629                                                                           
323629.batch      8527K          0      8527K        9              0          9 
323629.exte+       842K         27     836160        3             26          1 
323629.0       5475596K          5 5515556224       69              4         59 
323629.1       5400047K          0   5400047K       61              0         61 
323629.2       5395648K          0   5395648K       56              0         56 
323629.3       5401522K          0   5401522K       59              0         59 
323629.4       5433011K          0   5433011K       51              0         51 
323629.5       5395729K          0   5395729K       58              0         58 
323629.6       5428483K          0   5428483K       48              0         48 
323629.7       5387227K          0   5387227K       56              0         56 
323629.8       5363866K          0   5363866K       51              0         51 
323629.9       5371881K          0   5371881K       50              0         50 
323629.10      5380136K          0   5380136K       57              0         57 
323629.11      5420716K          0   5420716K       47              0         47 
323629.12      5415601K          0   5415601K       54              0         54 
323629.13      5410519K          0   5410519K       44              0         44 
323629.14      5362870K          0   5362870K       53              0         53 
323629.15      5365721K          0   5365721K       45              0         45 
323629.16      5386580K          0   5386580K       49              0         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323629                                                                                                
323629.batch        9.89M               0          9.89M        8.76M                0          8.76M 
323629.exte+        0.00M              31          0.00M            0               31              0 
323629.0         2705.30M               3       2663.63M       76.30M                0         67.35M 
323629.1         2667.96M               0       2667.96M       66.20M                0         66.20M 
323629.2         2647.38M               0       2647.38M       66.20M                0         66.20M 
323629.3         2650.69M               0       2650.69M       66.20M                0         66.20M 
323629.4         2661.72M               0       2661.72M       66.20M                0         66.20M 
323629.5         2663.35M               0       2663.35M       66.20M                0         66.20M 
323629.6         2679.13M               0       2679.13M       66.20M                0         66.20M 
323629.7         2652.29M               0       2652.29M       66.20M                0         66.20M 
323629.8         2653.36M               0       2653.36M       66.20M                0         66.20M 
323629.9         2654.02M               0       2654.02M       66.20M                0         66.20M 
323629.10        2656.87M               0       2656.87M       66.20M                0         66.20M 
323629.11        2655.47M               0       2655.47M       66.20M                0         66.20M 
323629.12        2689.84M               0       2689.84M       66.20M                0         66.20M 
323629.13        2653.26M               0       2653.26M       66.20M                0         66.20M 
323629.14        2653.08M               0       2653.08M       66.20M                0         66.20M 
323629.15        2653.66M               0       2653.66M       66.20M                0         66.20M 
323629.16        2070.93M               0       2070.93M       66.20M                0         66.20M 

Job 323629 completed at Tue Mar 29 16:09:03 CEST 2022
