Starting job 323630 on b[1101-1104,1136,2165-2167,2169-2182,3314-3317,3330-3333,3340-3341] at Tue Mar 29 15:58:07 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j11p_j11n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323630           11p11n       4096                                             00:11:52      0:0 
323630.batch      batch        128        1   00:00:00          0   00:00:00   00:11:52      0:0 
323630.exte+     extern       4096       32   00:00:00         27   00:00:00   00:11:52      0:0 
323630.0     hydra_bst+       2048       16 1-23:21:39         15 1-23:27:22   00:11:50      0:0 
323630.1     hydra_bst+        128        1 1-23:28:37          0 1-23:28:37   00:11:49      0:0 
323630.2     hydra_bst+        128        1 1-23:26:28          0 1-23:26:28   00:11:49      0:0 
323630.3     hydra_bst+        128        1 1-23:33:31          0 1-23:33:31   00:11:49      0:0 
323630.4     hydra_bst+        128        1 1-23:29:32          0 1-23:29:32   00:11:49      0:0 
323630.5     hydra_bst+        128        1 1-23:26:46          0 1-23:26:46   00:11:49      0:0 
323630.6     hydra_bst+        128        1 1-23:32:09          0 1-23:32:09   00:11:49      0:0 
323630.7     hydra_bst+        128        1 1-23:30:52          0 1-23:30:52   00:11:49      0:0 
323630.8     hydra_bst+        128        1 1-23:31:11          0 1-23:31:11   00:11:49      0:0 
323630.9     hydra_bst+        128        1 1-23:30:16          0 1-23:30:16   00:11:49      0:0 
323630.10    hydra_bst+        128        1 1-23:34:26          0 1-23:34:26   00:11:49      0:0 
323630.11    hydra_bst+        128        1 1-23:34:17          0 1-23:34:17   00:11:49      0:0 
323630.12    hydra_bst+        128        1 1-23:27:52          0 1-23:27:52   00:11:49      0:0 
323630.13    hydra_bst+        128        1 1-23:12:42          0 1-23:12:42   00:11:49      0:0 
323630.14    hydra_bst+        128        1 1-23:29:57          0 1-23:29:57   00:11:49      0:0 
323630.15    hydra_bst+        128        1 1-23:28:22          0 1-23:28:22   00:11:49      0:0 
323630.16    hydra_bst+        128        1 1-22:03:33          0 1-22:03:33   00:11:49      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323630                                                                           
323630.batch      8502K          0      8502K        9              0          9 
323630.exte+       855K         26     861728        3             26          1 
323630.0       4850949K         13   4806264K       67              2         59 
323630.1       4846203K          0   4846203K       45              0         45 
323630.2       4736412K          0   4736412K       46              0         46 
323630.3       4808461K          0   4808461K       47              0         47 
323630.4       4760219K          0   4760219K       46              0         46 
323630.5       4803159K          0   4803159K       43              0         43 
323630.6       4769226K          0   4769226K       53              0         53 
323630.7       4846856K          0   4846856K       46              0         46 
323630.8       4826461K          0   4826461K       50              0         50 
323630.9       4796561K          0   4796561K       49              0         49 
323630.10      4820958K          0   4820958K       47              0         47 
323630.11      4755369K          0   4755369K       50              0         50 
323630.12      4760087K          0   4760087K       40              0         40 
323630.13      4810938K          0   4810938K       46              0         46 
323630.14      4752441K          0   4752441K       52              0         52 
323630.15      4764765K          0   4764765K       46              0         46 
323630.16      4791252K          0   4791252K       44              0         44 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323630                                                                                                
323630.batch        9.74M               0          9.74M        8.76M                0          8.76M 
323630.exte+        0.00M              27          0.00M            0               27              0 
323630.0         2198.85M               2       2168.01M       66.77M                0         66.76M 
323630.1         2165.86M               0       2165.86M       66.20M                0         66.20M 
323630.2         2160.14M               0       2160.14M       66.20M                0         66.20M 
323630.3         2176.30M               0       2176.30M       66.20M                0         66.20M 
323630.4         2182.04M               0       2182.04M       66.20M                0         66.20M 
323630.5         2159.98M               0       2159.98M       66.20M                0         66.20M 
323630.6         2166.99M               0       2166.99M       66.20M                0         66.20M 
323630.7         2162.55M               0       2162.55M       66.20M                0         66.20M 
323630.8         2167.11M               0       2167.11M       66.20M                0         66.20M 
323630.9         2166.59M               0       2166.59M       66.20M                0         66.20M 
323630.10        2193.06M               0       2193.06M       66.20M                0         66.20M 
323630.11        2159.89M               0       2159.89M       66.20M                0         66.20M 
323630.12        2161.01M               0       2161.01M       66.20M                0         66.20M 
323630.13        1699.93M               0       1699.93M       66.20M                0         66.20M 
323630.14        2161.87M               0       2161.87M       66.20M                0         66.20M 
323630.15        2160.87M               0       2160.87M       66.20M                0         66.20M 
323630.16        2157.25M               0       2157.25M       66.20M                0         66.20M 

Job 323630 completed at Tue Mar 29 16:10:00 CEST 2022
