Starting job 323631 on b[1246-1247,2222,2224-2228,2245,2384-2387,3149,3151,3153-3157,3169,3176,3221,3228,3233-3234,3375-3377,5146-5148] at Tue Mar 29 15:59:38 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j11p_j13n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323631           11p13n       4096                                             00:08:05      0:0 
323631.batch      batch        128        1   00:00:00          0   00:00:00   00:08:05      0:0 
323631.exte+     extern       4096       32   00:00:00          2   00:00:00   00:08:05      0:0 
323631.0     hydra_bst+       2048       16 1-04:40:28          4 1-08:09:54   00:08:03      0:0 
323631.1     hydra_bst+        128        1 1-08:53:42          0 1-08:53:42   00:08:01      0:0 
323631.2     hydra_bst+        128        1 1-08:54:35          0 1-08:54:35   00:08:02      0:0 
323631.3     hydra_bst+        128        1 1-08:47:20          0 1-08:47:20   00:08:01      0:0 
323631.4     hydra_bst+        128        1 1-08:55:03          0 1-08:55:03   00:08:01      0:0 
323631.5     hydra_bst+        128        1 1-08:54:46          0 1-08:54:46   00:08:01      0:0 
323631.6     hydra_bst+        128        1 1-08:53:28          0 1-08:53:28   00:08:01      0:0 
323631.7     hydra_bst+        128        1 1-05:07:42          0 1-05:07:42   00:08:01      0:0 
323631.8     hydra_bst+        128        1 1-08:55:33          0 1-08:55:33   00:08:01      0:0 
323631.9     hydra_bst+        128        1 1-08:54:39          0 1-08:54:39   00:08:01      0:0 
323631.10    hydra_bst+        128        1 1-08:57:27          0 1-08:57:27   00:08:01      0:0 
323631.11    hydra_bst+        128        1 1-05:08:55          0 1-05:08:55   00:08:01      0:0 
323631.12    hydra_bst+        128        1 1-08:57:29          0 1-08:57:29   00:08:01      0:0 
323631.13    hydra_bst+        128        1 1-05:03:18          0 1-05:03:18   00:08:01      0:0 
323631.14    hydra_bst+        128        1 1-09:00:05          0 1-09:00:05   00:08:01      0:0 
323631.15    hydra_bst+        128        1 1-08:58:19          0 1-08:58:19   00:08:01      0:0 
323631.16    hydra_bst+        128        1 1-08:57:04          0 1-08:57:04   00:08:01      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323631                                                                           
323631.batch      8750K          0      8750K        9              0          9 
323631.exte+       847K         19     860000        3              2          1 
323631.0       4075533K          5 4057949888       63             14         57 
323631.1       3910150K          0   3910150K       42              0         42 
323631.2       3952841K          0   3952841K       49              0         49 
323631.3       3899560K          0   3899560K       57              0         57 
323631.4       3918646K          0   3918646K       52              0         52 
323631.5       3937930K          0   3937930K       48              0         48 
323631.6       3883947K          0   3883947K       46              0         46 
323631.7       3976306K          0   3976306K       51              0         51 
323631.8       3941362K          0   3941362K       49              0         49 
323631.9       3933740K          0   3933740K       55              0         55 
323631.10      3921877K          0   3921877K       42              0         42 
323631.11      4070833K          0   4070833K       47              0         47 
323631.12      3877951K          0   3877951K       46              0         46 
323631.13      3936442K          0   3936442K       57              0         57 
323631.14      3959230K          0   3959230K       42              0         42 
323631.15      3905664K          0   3905664K       46              0         46 
323631.16      3947037K          0   3947037K       51              0         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323631                                                                                                
323631.batch       10.37M               0         10.37M        8.77M                0          8.77M 
323631.exte+        0.00M               2          0.00M            0                2              0 
323631.0         1722.63M               3       1695.09M       66.77M                0         66.76M 
323631.1         1694.44M               0       1694.44M       66.20M                0         66.20M 
323631.2         1706.33M               0       1706.33M       66.20M                0         66.20M 
323631.3         1276.15M               0       1276.15M       66.20M                0         66.20M 
323631.4         1687.44M               0       1687.44M       66.20M                0         66.20M 
323631.5         1696.71M               0       1696.71M       66.20M                0         66.20M 
323631.6         1696.47M               0       1696.47M       66.20M                0         66.20M 
323631.7         1688.46M               0       1688.46M       66.20M                0         66.20M 
323631.8         1697.47M               0       1697.47M       66.20M                0         66.20M 
323631.9         1690.65M               0       1690.65M       66.20M                0         66.20M 
323631.10        1698.30M               0       1698.30M       66.20M                0         66.20M 
323631.11        1699.57M               0       1699.57M       66.20M                0         66.20M 
323631.12        1718.50M               0       1718.50M       66.20M                0         66.20M 
323631.13        1688.87M               0       1688.87M       66.20M                0         66.20M 
323631.14        1687.36M               0       1687.36M       66.20M                0         66.20M 
323631.15        1691.08M               0       1691.08M       66.20M                0         66.20M 
323631.16        1691.86M               0       1691.86M       66.20M                0         66.20M 

Job 323631 completed at Tue Mar 29 16:07:43 CEST 2022
