Starting job 323639 on b[1143-1145,1147,1157-1162,1193,2135-2138,2189-2192,3323-3325,3334-3336,3344-3347,5269,5290,5292] at Tue Mar 29 16:01:08 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j13p_j11n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323639           13p11n       4096                                             00:09:36      0:0 
323639.batch      batch        128        1   00:00:00          0   00:00:00   00:09:36      0:0 
323639.exte+     extern       4096       32   00:00:00         20   00:00:00   00:09:37      0:0 
323639.0     hydra_bst+       2048       16 1-14:44:25          1 1-14:46:44   00:09:33      0:0 
323639.1     hydra_bst+        128        1 1-14:49:35          0 1-14:49:35   00:09:33      0:0 
323639.2     hydra_bst+        128        1 1-14:48:44          0 1-14:48:44   00:09:33      0:0 
323639.3     hydra_bst+        128        1 1-14:45:00          0 1-14:45:00   00:09:33      0:0 
323639.4     hydra_bst+        128        1 1-14:48:47          0 1-14:48:47   00:09:33      0:0 
323639.5     hydra_bst+        128        1 1-14:49:43          0 1-14:49:43   00:09:33      0:0 
323639.6     hydra_bst+        128        1 1-14:49:03          0 1-14:49:03   00:09:33      0:0 
323639.7     hydra_bst+        128        1 1-14:48:05          0 1-14:48:05   00:09:33      0:0 
323639.8     hydra_bst+        128        1 1-14:49:17          0 1-14:49:17   00:09:33      0:0 
323639.9     hydra_bst+        128        1 1-11:33:44          0 1-11:33:44   00:09:33      0:0 
323639.10    hydra_bst+        128        1 1-14:50:08          0 1-14:50:08   00:09:33      0:0 
323639.11    hydra_bst+        128        1 1-14:49:09          0 1-14:49:09   00:09:33      0:0 
323639.12    hydra_bst+        128        1 1-14:49:48          0 1-14:49:48   00:09:33      0:0 
323639.13    hydra_bst+        128        1 1-11:37:18          0 1-11:37:18   00:09:33      0:0 
323639.14    hydra_bst+        128        1 1-14:48:50          0 1-14:48:50   00:09:33      0:0 
323639.15    hydra_bst+        128        1 1-14:49:41          0 1-14:49:41   00:09:32      0:0 
323639.16    hydra_bst+        128        1 1-14:49:16          0 1-14:49:16   00:09:32      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323639                                                                           
323639.batch      8680K          0      8680K        9              0          9 
323639.exte+       842K         11     858304        3             18          1 
323639.0       4746170K         11 4790542976       70             11         59 
323639.1       4643449K          0   4643449K       42              0         42 
323639.2       4691861K          0   4691861K       45              0         45 
323639.3       4669100K          0   4669100K       57              0         57 
323639.4       4648879K          0   4648879K       57              0         57 
323639.5       4715855K          0   4715855K       51              0         51 
323639.6       4624629K          0   4624629K       55              0         55 
323639.7       4675016K          0   4675016K       42              0         42 
323639.8       4716378K          0   4716378K       54              0         54 
323639.9       4713675K          0   4713675K       48              0         48 
323639.10      4615426K          0   4615426K       50              0         50 
323639.11      4666519K          0   4666519K       50              0         50 
323639.12      4708500K          0   4708500K       52              0         52 
323639.13      4727732K          0   4727732K       45              0         45 
323639.14      4695944K          0   4695944K       58              0         58 
323639.15      4708627K          0   4708627K       52              0         52 
323639.16      4625537K          0   4625537K       47              0         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323639                                                                                                
323639.batch       10.21M               0         10.21M        8.76M                0          8.76M 
323639.exte+        0.00M              20          0.00M            0               20              0 
323639.0         2189.28M               2       2159.44M       66.77M                0         66.76M 
323639.1         2157.46M               0       2157.46M       66.20M                0         66.20M 
323639.2         2157.93M               0       2157.93M       66.20M                0         66.20M 
323639.3         1699.91M               0       1699.91M       66.20M                0         66.20M 
323639.4         2167.76M               0       2167.76M       66.20M                0         66.20M 
323639.5         2183.85M               0       2183.85M       66.20M                0         66.20M 
323639.6         2151.90M               0       2151.90M       66.20M                0         66.20M 
323639.7         2158.63M               0       2158.63M       66.20M                0         66.20M 
323639.8         2150.77M               0       2150.77M       66.20M                0         66.20M 
323639.9         2149.09M               0       2149.09M       66.20M                0         66.20M 
323639.10        2153.45M               0       2153.45M       66.20M                0         66.20M 
323639.11        2172.43M               0       2172.43M       66.20M                0         66.20M 
323639.12        2151.82M               0       2151.82M       66.20M                0         66.20M 
323639.13        2151.95M               0       2151.95M       66.20M                0         66.20M 
323639.14        2153.40M               0       2153.40M       66.20M                0         66.20M 
323639.15        2151.57M               0       2151.57M       66.20M                0         66.20M 
323639.16        2157.58M               0       2157.58M       66.20M                0         66.20M 

Job 323639 completed at Tue Mar 29 16:10:45 CEST 2022
