Starting job 323640 on b[2222,2224-2228,2245,2384-2387,3149,3151,3153-3157,3169,3176,3221,3228,5150-5151,5155-5158,5160-5161,5165-5166] at Tue Mar 29 16:08:09 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j13p_j13n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323640           13p13n       4096                                             00:07:49      0:0 
323640.batch      batch        128        1   00:00:00          0   00:00:00   00:07:49      0:0 
323640.exte+     extern       4096       32   00:00:00         31   00:00:00   00:07:49      0:0 
323640.0     hydra_bst+       2048       16 1-03:32:34         11 1-06:13:44   00:07:46      0:0 
323640.1     hydra_bst+        128        1 1-07:22:58          0 1-07:22:58   00:07:46      0:0 
323640.2     hydra_bst+        128        1 1-07:23:21          0 1-07:23:21   00:07:46      0:0 
323640.3     hydra_bst+        128        1 1-07:21:48          0 1-07:21:48   00:07:46      0:0 
323640.4     hydra_bst+        128        1 1-07:22:01          0 1-07:22:01   00:07:46      0:0 
323640.5     hydra_bst+        128        1 1-07:22:11          0 1-07:22:11   00:07:46      0:0 
323640.6     hydra_bst+        128        1 1-07:26:02          0 1-07:26:02   00:07:46      0:0 
323640.7     hydra_bst+        128        1 1-07:21:20          0 1-07:21:20   00:07:46      0:0 
323640.8     hydra_bst+        128        1 1-07:24:09          0 1-07:24:09   00:07:46      0:0 
323640.9     hydra_bst+        128        1 1-07:25:36          0 1-07:25:36   00:07:46      0:0 
323640.10    hydra_bst+        128        1 1-07:23:36          0 1-07:23:36   00:07:46      0:0 
323640.11    hydra_bst+        128        1 1-07:23:49          0 1-07:23:49   00:07:46      0:0 
323640.12    hydra_bst+        128        1 1-07:19:57          0 1-07:19:57   00:07:46      0:0 
323640.13    hydra_bst+        128        1 1-07:19:59          0 1-07:19:59   00:07:46      0:0 
323640.14    hydra_bst+        128        1 1-07:24:35          0 1-07:24:35   00:07:46      0:0 
323640.15    hydra_bst+        128        1 1-03:36:07          0 1-03:36:07   00:07:46      0:0 
323640.16    hydra_bst+        128        1 1-07:25:04          0 1-07:25:04   00:07:46      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323640                                                                           
323640.batch      8645K          0      8645K        9              0          9 
323640.exte+       845K         12     859872        3             27          1 
323640.0       4125223K          1   4015014K       64              0         56 
323640.1       3975145K          0   3975145K       47              0         47 
323640.2       3977184K          0   3977184K       50              0         50 
323640.3       4015233K          0   4015233K       58              0         58 
323640.4       3963322K          0   3963322K       52              0         52 
323640.5       3959141K          0   3959141K       46              0         46 
323640.6       3990768K          0   3990768K       53              0         53 
323640.7       4019930K          0   4019930K       48              0         48 
323640.8       4024602K          0   4024602K       53              0         53 
323640.9       3933110K          0   3933110K       49              0         49 
323640.10      3967022K          0   3967022K       43              0         43 
323640.11      3971773K          0   3971773K       51              0         51 
323640.12      3958359K          0   3958359K       51              0         51 
323640.13      3982101K          0   3982101K       49              0         49 
323640.14      3985769K          0   3985769K       48              0         48 
323640.15      4012458K          0   4012458K       44              0         44 
323640.16      3991202K          0   3991202K       47              0         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323640                                                                                                
323640.batch       10.12M               0         10.12M        8.76M                0          8.76M 
323640.exte+        0.00M              31          0.00M            0               31              0 
323640.0         1714.12M               3       1686.54M       66.77M                0         66.76M 
323640.1         1686.05M               0       1686.05M       66.20M                0         66.20M 
323640.2         1688.06M               0       1688.06M       66.20M                0         66.20M 
323640.3         1679.42M               0       1679.42M       66.20M                0         66.20M 
323640.4         1697.27M               0       1697.27M       66.20M                0         66.20M 
323640.5         1682.66M               0       1682.66M       66.20M                0         66.20M 
323640.6         1678.88M               0       1678.88M       66.20M                0         66.20M 
323640.7         1680.69M               0       1680.69M       66.20M                0         66.20M 
323640.8         1687.71M               0       1687.71M       66.20M                0         66.20M 
323640.9         1709.97M               0       1709.97M       66.20M                0         66.20M 
323640.10        1681.51M               0       1681.51M       66.20M                0         66.20M 
323640.11        1689.10M               0       1689.10M       66.20M                0         66.20M 
323640.12        1691.34M               0       1691.34M       66.20M                0         66.20M 
323640.13        1678.39M               0       1678.39M       66.20M                0         66.20M 
323640.14        1682.75M               0       1682.75M       66.20M                0         66.20M 
323640.15        1276.14M               0       1276.14M       66.20M                0         66.20M 
323640.16        1687.85M               0       1687.85M       66.20M                0         66.20M 

Job 323640 completed at Tue Mar 29 16:15:59 CEST 2022
