Starting job 323644 on b[1114,1117,1134-1135,1137-1142,2139,3159,3177-3178,3186-3193,3216-3219,3222-3227] at Tue Mar 29 16:09:09 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j13p_j15n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323644           13p15n       4096                                             00:06:39      0:0 
323644.batch      batch        128        1   00:00:00          0   00:00:00   00:06:39      0:0 
323644.exte+     extern       4096       32   00:00:00         31   00:00:00   00:06:40      0:0 
323644.0     hydra_bst+       2048       16   20:55:25          4 1-00:39:51   00:06:37      0:0 
323644.1     hydra_bst+        128        1 1-01:57:20          0 1-01:57:20   00:06:36      0:0 
323644.2     hydra_bst+        128        1 1-01:54:38          0 1-01:54:38   00:06:36      0:0 
323644.3     hydra_bst+        128        1 1-01:55:38          0 1-01:55:38   00:06:36      0:0 
323644.4     hydra_bst+        128        1 1-01:53:49          0 1-01:53:49   00:06:36      0:0 
323644.5     hydra_bst+        128        1 1-01:54:25          0 1-01:54:25   00:06:36      0:0 
323644.6     hydra_bst+        128        1 1-01:53:34          0 1-01:53:34   00:06:36      0:0 
323644.7     hydra_bst+        128        1 1-01:50:23          0 1-01:50:23   00:06:36      0:0 
323644.8     hydra_bst+        128        1 1-01:54:32          0 1-01:54:32   00:06:36      0:0 
323644.9     hydra_bst+        128        1 1-01:56:09          0 1-01:56:09   00:06:36      0:0 
323644.10    hydra_bst+        128        1 1-01:53:32          0 1-01:53:32   00:06:36      0:0 
323644.11    hydra_bst+        128        1 1-01:38:59          0 1-01:38:59   00:06:36      0:0 
323644.12    hydra_bst+        128        1 1-01:50:22          0 1-01:50:22   00:06:36      0:0 
323644.13    hydra_bst+        128        1 1-01:53:47          0 1-01:53:47   00:06:36      0:0 
323644.14    hydra_bst+        128        1 1-01:56:34          0 1-01:56:34   00:06:36      0:0 
323644.15    hydra_bst+        128        1 1-01:58:38          0 1-01:58:38   00:06:36      0:0 
323644.16    hydra_bst+        128        1 1-01:50:08          0 1-01:50:08   00:06:36      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323644                                                                           
323644.batch      8523K          0      8523K        9              0          9 
323644.exte+       841K         26     834176        3             30          1 
323644.0       3629624K         14 3622279616       66              5         58 
323644.1       3543779K          0   3543779K       51              0         51 
323644.2       3535924K          0   3535924K       49              0         49 
323644.3       3474150K          0   3474150K       46              0         46 
323644.4       3501327K          0   3501327K       52              0         52 
323644.5       3538412K          0   3538412K       51              0         51 
323644.6       3616253K          0   3616253K       53              0         53 
323644.7       3592037K          0   3592037K       53              0         53 
323644.8       3563557K          0   3563557K       57              0         57 
323644.9       3514873K          0   3514873K       49              0         49 
323644.10      3555241K          0   3555241K       50              0         50 
323644.11      3504446K          0   3504446K       46              0         46 
323644.12      3459548K          0   3459548K       52              0         52 
323644.13      3539135K          0   3539135K       52              0         52 
323644.14      3552449K          0   3552449K       45              0         45 
323644.15      3531024K          0   3531024K       52              0         52 
323644.16      3501252K          0   3501252K       49              0         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323644                                                                                                
323644.batch        9.89M               0          9.89M        8.76M                0          8.76M 
323644.exte+        0.00M              31          0.00M            0               31              0 
323644.0         1276.55M               2       1262.99M       66.77M                0         66.76M 
323644.1         1266.77M               0       1266.77M       66.20M                0         66.20M 
323644.2         1257.72M               0       1257.72M       66.20M                0         66.20M 
323644.3         1263.44M               0       1263.44M       66.20M                0         66.20M 
323644.4         1267.53M               0       1267.53M       66.20M                0         66.20M 
323644.5         1270.95M               0       1270.95M       66.20M                0         66.20M 
323644.6         1258.82M               0       1258.82M       66.20M                0         66.20M 
323644.7         1264.71M               0       1264.71M       66.20M                0         66.20M 
323644.8         1264.52M               0       1264.52M       66.20M                0         66.20M 
323644.9         1256.45M               0       1256.45M       66.20M                0         66.20M 
323644.10        1255.99M               0       1255.99M       66.20M                0         66.20M 
323644.11         930.32M               0        930.32M       66.20M                0         66.20M 
323644.12        1257.23M               0       1257.23M       66.20M                0         66.20M 
323644.13        1257.85M               0       1257.85M       66.20M                0         66.20M 
323644.14        1264.54M               0       1264.54M       66.20M                0         66.20M 
323644.15        1295.33M               0       1295.33M       66.20M                0         66.20M 
323644.16        1264.80M               0       1264.80M       66.20M                0         66.20M 

Job 323644 completed at Tue Mar 29 16:15:49 CEST 2022
