Starting job 323649 on b[1101-1104,1136,2165-2167,2169-2182,3314-3317,3330-3333,3340-3341] at Tue Mar 29 16:10:09 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j15p_j13n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323649           15p13n       4096                                             00:10:54      0:0 
323649.batch      batch        128        1   00:00:00          0   00:00:00   00:10:54      0:0 
323649.exte+     extern       4096       32   00:00:00         11   00:00:00   00:10:54      0:0 
323649.0     hydra_bst+       2048       16 1-15:54:05          1 1-20:23:07   00:10:52      0:0 
323649.1     hydra_bst+        128        1 1-21:00:48          0 1-21:00:48   00:10:51      0:0 
323649.2     hydra_bst+        128        1 1-20:57:48          0 1-20:57:48   00:10:51      0:0 
323649.3     hydra_bst+        128        1 1-21:03:39          0 1-21:03:39   00:10:51      0:0 
323649.4     hydra_bst+        128        1 1-21:00:58          0 1-21:00:58   00:10:51      0:0 
323649.5     hydra_bst+        128        1 1-21:00:13          0 1-21:00:13   00:10:51      0:0 
323649.6     hydra_bst+        128        1 1-20:51:56          0 1-20:51:56   00:10:51      0:0 
323649.7     hydra_bst+        128        1 1-20:59:06          0 1-20:59:06   00:10:51      0:0 
323649.8     hydra_bst+        128        1 1-16:06:34          0 1-16:06:34   00:10:51      0:0 
323649.9     hydra_bst+        128        1 1-20:59:18          0 1-20:59:18   00:10:51      0:0 
323649.10    hydra_bst+        128        1 1-19:31:50          0 1-19:31:50   00:10:51      0:0 
323649.11    hydra_bst+        128        1 1-21:02:44          0 1-21:02:44   00:10:51      0:0 
323649.12    hydra_bst+        128        1 1-21:03:53          0 1-21:03:53   00:10:51      0:0 
323649.13    hydra_bst+        128        1 1-16:23:04          0 1-16:23:04   00:10:51      0:0 
323649.14    hydra_bst+        128        1 1-16:18:36          0 1-16:18:36   00:10:51      0:0 
323649.15    hydra_bst+        128        1 1-20:55:14          0 1-20:55:14   00:10:51      0:0 
323649.16    hydra_bst+        128        1 1-21:02:31          0 1-21:02:31   00:10:50      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323649                                                                           
323649.batch      8454K          0      8454K        9              0          9 
323649.exte+       855K         26     861952        3             16          1 
323649.0       4195171K         15 4260315328       66              8         60 
323649.1       4172367K          0   4172367K       51              0         51 
323649.2       4130800K          0   4130800K       54              0         54 
323649.3       4145027K          0   4145027K       43              0         43 
323649.4       4122180K          0   4122180K       52              0         52 
323649.5       4131729K          0   4131729K       60              0         60 
323649.6       4149164K          0   4149164K       49              0         49 
323649.7       4119984K          0   4119984K       53              0         53 
323649.8       4189840K          0   4189840K       54              0         54 
323649.9       4107768K          0   4107768K       56              0         56 
323649.10      4189567K          0   4189567K       58              0         58 
323649.11      4132174K          0   4132174K       42              0         42 
323649.12      4139823K          0   4139823K       55              0         55 
323649.13      4187948K          0   4187948K       43              0         43 
323649.14      4160327K          0   4160327K       55              0         55 
323649.15      4120653K          0   4120653K       50              0         50 
323649.16      4096694K          0   4096694K       52              0         52 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323649                                                                                                
323649.batch        9.74M               0          9.74M        8.76M                0          8.76M 
323649.exte+        0.00M              11          0.00M            0               11              0 
323649.0         1705.61M               3       1678.96M       66.77M                0         66.76M 
323649.1         1678.93M               0       1678.93M       66.20M                0         66.20M 
323649.2         1684.00M               0       1684.00M       66.20M                0         66.20M 
323649.3         1702.99M               0       1702.99M       66.20M                0         66.20M 
323649.4         1680.91M               0       1680.91M       66.20M                0         66.20M 
323649.5         1679.86M               0       1679.86M       66.20M                0         66.20M 
323649.6         1276.17M               0       1276.17M       66.20M                0         66.20M 
323649.7         1671.13M               0       1671.13M       66.20M                0         66.20M 
323649.8         1680.86M               0       1680.86M       66.20M                0         66.20M 
323649.9         1690.31M               0       1690.31M       66.20M                0         66.20M 
323649.10        1673.26M               0       1673.26M       66.20M                0         66.20M 
323649.11        1674.90M               0       1674.90M       66.20M                0         66.20M 
323649.12        1671.46M               0       1671.46M       66.20M                0         66.20M 
323649.13        1681.37M               0       1681.37M       66.20M                0         66.20M 
323649.14        1675.52M               0       1675.52M       66.20M                0         66.20M 
323649.15        1672.96M               0       1672.96M       66.20M                0         66.20M 
323649.16        1676.20M               0       1676.20M       66.20M                0         66.20M 

Job 323649 completed at Tue Mar 29 16:21:04 CEST 2022
