Starting job 323654 on b[1238-1241,1243-1245,2135-2138,2184-2194,4109-4110,5280-5285,5287,5290] at Tue Mar 29 16:19:41 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j17p_j15n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323654           17p15n       4096                                             00:06:10      0:0 
323654.batch      batch        128        1   00:00:00          0   00:00:00   00:06:10      0:0 
323654.exte+     extern       4096       32   00:00:00          4   00:00:00   00:06:10      0:0 
323654.0     hydra_bst+       2048       16   19:32:15          8   23:33:20   00:06:07      0:0 
323654.1     hydra_bst+        128        1 1-00:07:18          0 1-00:07:18   00:06:06      0:0 
323654.2     hydra_bst+        128        1 1-00:09:19          0 1-00:09:19   00:06:06      0:0 
323654.3     hydra_bst+        128        1 1-00:04:44          0 1-00:04:44   00:06:06      0:0 
323654.4     hydra_bst+        128        1 1-00:06:25          0 1-00:06:25   00:06:06      0:0 
323654.5     hydra_bst+        128        1 1-00:06:58          0 1-00:06:58   00:06:06      0:0 
323654.6     hydra_bst+        128        1   20:03:21          0   20:03:21   00:06:06      0:0 
323654.7     hydra_bst+        128        1   20:10:15          0   20:10:15   00:06:06      0:0 
323654.8     hydra_bst+        128        1 1-00:09:12          0 1-00:09:12   00:06:06      0:0 
323654.9     hydra_bst+        128        1 1-00:08:23          0 1-00:08:23   00:06:06      0:0 
323654.10    hydra_bst+        128        1   19:58:35          0   19:58:35   00:06:06      0:0 
323654.11    hydra_bst+        128        1 1-00:07:21          0 1-00:07:21   00:06:06      0:0 
323654.12    hydra_bst+        128        1 1-00:08:07          0 1-00:08:07   00:06:06      0:0 
323654.13    hydra_bst+        128        1 1-00:08:08          0 1-00:08:08   00:06:06      0:0 
323654.14    hydra_bst+        128        1 1-00:02:29          0 1-00:02:29   00:06:06      0:0 
323654.15    hydra_bst+        128        1 1-00:10:31          0 1-00:10:31   00:06:06      0:0 
323654.16    hydra_bst+        128        1 1-00:09:37          0 1-00:09:37   00:06:06      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323654                                                                           
323654.batch      8639K          0      8639K        9              0          9 
323654.exte+       845K         23     835392        3              3          1 
323654.0       3527994K          3 3568720832       69             15         56 
323654.1       3454756K          0   3454756K       45              0         45 
323654.2       3467802K          0   3467802K       51              0         51 
323654.3       3479231K          0   3479231K       43              0         43 
323654.4       3502874K          0   3502874K       51              0         51 
323654.5       3483290K          0   3483290K       50              0         50 
323654.6       3572509K          0   3572509K       53              0         53 
323654.7       3448948K          0   3448948K       50              0         50 
323654.8       3480542K          0   3480542K       58              0         58 
323654.9       3497285K          0   3497285K       54              0         54 
323654.10      3472742K          0   3472742K       59              0         59 
323654.11      3406001K          0   3406001K       41              0         41 
323654.12      3478270K          0   3478270K       57              0         57 
323654.13      3456035K          0   3456035K       44              0         44 
323654.14      3442643K          0   3442643K       36              0         36 
323654.15      3419617K          0   3419617K       51              0         51 
323654.16      3452380K          0   3452380K       53              0         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323654                                                                                                
323654.batch       10.06M               0         10.06M        8.76M                0          8.76M 
323654.exte+        0.00M               4          0.00M            0                4              0 
323654.0         1263.61M               2       1249.94M       66.77M                0         66.76M 
323654.1         1254.35M               0       1254.35M       66.20M                0         66.20M 
323654.2         1258.22M               0       1258.22M       66.20M                0         66.20M 
323654.3         1252.00M               0       1252.00M       66.20M                0         66.20M 
323654.4         1243.23M               0       1243.23M       66.20M                0         66.20M 
323654.5         1254.71M               0       1254.71M       66.20M                0         66.20M 
323654.6          930.32M               0        930.32M       66.20M                0         66.20M 
323654.7         1244.92M               0       1244.92M       66.20M                0         66.20M 
323654.8         1242.60M               0       1242.60M       66.20M                0         66.20M 
323654.9         1245.28M               0       1245.28M       66.20M                0         66.20M 
323654.10        1251.05M               0       1251.05M       66.20M                0         66.20M 
323654.11        1251.44M               0       1251.44M       66.20M                0         66.20M 
323654.12        1242.82M               0       1242.82M       66.20M                0         66.20M 
323654.13        1251.63M               0       1251.63M       66.20M                0         66.20M 
323654.14        1244.25M               0       1244.25M       66.20M                0         66.20M 
323654.15        1250.89M               0       1250.89M       66.20M                0         66.20M 
323654.16        1282.44M               0       1282.44M       66.20M                0         66.20M 

Job 323654 completed at Tue Mar 29 16:25:51 CEST 2022
