Starting job 323670 on b[2154,2165-2167,2169-2182,3314-3317,3330-3333,3340-3341,3383-3386] at Tue Mar 29 16:21:11 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j17p_j17n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323670           17p17n       4096                                             00:07:57      0:0 
323670.batch      batch        128        1   00:00:00          0   00:00:00   00:07:57      0:0 
323670.exte+     extern       4096       32   00:00:00         23   00:00:00   00:07:58      0:0 
323670.0     hydra_bst+       2048       16 1-03:54:15          6 1-07:11:14   00:07:54      0:0 
323670.1     hydra_bst+        128        1 1-07:26:13          0 1-07:26:13   00:07:54      0:0 
323670.2     hydra_bst+        128        1 1-07:19:23          0 1-07:19:23   00:07:54      0:0 
323670.3     hydra_bst+        128        1 1-07:26:22          0 1-07:26:22   00:07:54      0:0 
323670.4     hydra_bst+        128        1 1-07:25:09          0 1-07:25:09   00:07:54      0:0 
323670.5     hydra_bst+        128        1 1-07:23:49          0 1-07:23:49   00:07:54      0:0 
323670.6     hydra_bst+        128        1 1-07:24:56          0 1-07:24:56   00:07:54      0:0 
323670.7     hydra_bst+        128        1 1-07:24:39          0 1-07:24:39   00:07:54      0:0 
323670.8     hydra_bst+        128        1 1-07:25:07          0 1-07:25:07   00:07:54      0:0 
323670.9     hydra_bst+        128        1 1-07:27:16          0 1-07:27:16   00:07:54      0:0 
323670.10    hydra_bst+        128        1 1-07:26:54          0 1-07:26:54   00:07:54      0:0 
323670.11    hydra_bst+        128        1 1-06:28:36          0 1-06:28:36   00:07:54      0:0 
323670.12    hydra_bst+        128        1 1-07:27:22          0 1-07:27:22   00:07:54      0:0 
323670.13    hydra_bst+        128        1 1-07:24:57          0 1-07:24:57   00:07:54      0:0 
323670.14    hydra_bst+        128        1 1-03:52:26          0 1-03:52:26   00:07:54      0:0 
323670.15    hydra_bst+        128        1 1-07:28:05          0 1-07:28:05   00:07:54      0:0 
323670.16    hydra_bst+        128        1 1-07:26:40          0 1-07:26:40   00:07:54      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323670                                                                           
323670.batch      8456K          0      8456K        9              0          9 
323670.exte+       855K         22     838592        3             19          1 
323670.0       3065724K         15 3095200384       62              7         55 
323670.1       3042397K          0   3042397K       48              0         48 
323670.2       3036222K          0   3036222K       54              0         54 
323670.3       3061240K          0   3061240K       45              0         45 
323670.4       2985991K          0   2985991K       49              0         49 
323670.5       3029498K          0   3029498K       45              0         45 
323670.6       3024292K          0   3024292K       52              0         52 
323670.7       3011208K          0   3011208K       48              0         48 
323670.8       3006716K          0   3006716K       50              0         50 
323670.9       3036566K          0   3036566K       49              0         49 
323670.10      3070568K          0   3070568K       45              0         45 
323670.11      3009680K          0   3009680K       48              0         48 
323670.12      2976730K          0   2976730K       47              0         47 
323670.13      3022789K          0   3022789K       52              0         52 
323670.14      3016536K          0   3016536K       47              0         47 
323670.15      3000424K          0   3000424K       46              0         46 
323670.16      3005415K          0   3005415K       39              0         39 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323670                                                                                                
323670.batch        9.81M               0          9.81M        8.76M                0          8.76M 
323670.exte+        0.00M              23          0.00M            0               23              0 
323670.0          915.16M               2        897.00M       66.77M                0         66.76M 
323670.1          897.55M               0        897.55M       66.20M                0         66.20M 
323670.2          654.88M               0        654.88M       66.20M                0         66.20M 
323670.3          891.33M               0        891.33M       66.20M                0         66.20M 
323670.4          892.22M               0        892.22M       66.20M                0         66.20M 
323670.5          890.04M               0        890.04M       66.20M                0         66.20M 
323670.6          894.57M               0        894.57M       66.20M                0         66.20M 
323670.7          903.09M               0        903.09M       66.20M                0         66.20M 
323670.8          891.49M               0        891.49M       66.20M                0         66.20M 
323670.9          892.57M               0        892.57M       66.20M                0         66.20M 
323670.10         905.26M               0        905.26M       66.20M                0         66.20M 
323670.11         896.87M               0        896.87M       66.20M                0         66.20M 
323670.12         894.72M               0        894.72M       66.20M                0         66.20M 
323670.13         896.19M               0        896.19M       66.20M                0         66.20M 
323670.14         893.53M               0        893.53M       66.20M                0         66.20M 
323670.15         890.49M               0        890.49M       66.20M                0         66.20M 
323670.16         900.56M               0        900.56M       66.20M                0         66.20M 

Job 323670 completed at Tue Mar 29 16:29:09 CEST 2022
