Starting job 323674 on b[1159-1162,1209-1212,1238-1239,2125-2127,2135-2138,2387,2391-2393,3221-3226,3358,4107-4109,4134-4141,4215-4217,4219-4222,4224-4225,4234-4235,4241,4243-4245,4367-4369,4383-4384,5238-5241,5243] at Tue Mar 29 17:06:18 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j1n_j5n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323674             1n5n       8192                                             00:33:10      0:0 
323674.batch      batch        128        1   00:00:00          0   00:00:00   00:33:10      0:0 
323674.exte+     extern       8192       64   00:00:00         61   00:00:00   00:33:10      0:0 
323674.0     hydra_bst+       2048       16 4-05:09:29         10 5-06:59:44   00:33:08      0:0 
323674.1     hydra_bst+        384        3 5-11:48:41          2 5-12:02:52   00:33:08      0:0 
323674.2     hydra_bst+        384        3 4-09:33:05          1 5-02:24:04   00:33:08      0:0 
323674.3     hydra_bst+        384        3 4-10:23:47          2 4-19:16:27   00:33:08      0:0 
323674.4     hydra_bst+        384        3 4-06:31:39          0 5-02:10:02   00:33:08      0:0 
323674.5     hydra_bst+        384        3 5-11:52:53          0 5-12:04:57   00:33:08      0:0 
323674.6     hydra_bst+        384        3 5-11:49:57          1 5-11:56:50   00:33:08      0:0 
323674.7     hydra_bst+        384        3 5-11:50:56          2 5-11:56:38   00:33:08      0:0 
323674.8     hydra_bst+        384        3 4-08:35:19          1 5-02:52:53   00:33:08      0:0 
323674.9     hydra_bst+        384        3 4-09:13:31          1 5-03:00:58   00:33:08      0:0 
323674.10    hydra_bst+        384        3 4-12:54:51          2 5-04:19:15   00:33:08      0:0 
323674.11    hydra_bst+        384        3 5-11:56:28          1 5-12:01:42   00:33:08      0:0 
323674.12    hydra_bst+        384        3 5-11:53:23          0 5-12:02:01   00:33:08      0:0 
323674.13    hydra_bst+        384        3 5-11:49:52          2 5-11:59:32   00:33:08      0:0 
323674.14    hydra_bst+        384        3 5-11:54:24          1 5-11:57:22   00:33:08      0:0 
323674.15    hydra_bst+        384        3 5-11:50:20          1 5-11:55:44   00:33:08      0:0 
323674.16    hydra_bst+        384        3 5-11:42:18          2 5-11:57:40   00:33:08      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323674                                                                           
323674.batch      8958K          0      8958K        9              0          9 
323674.exte+       845K          8     848224        3             61          1 
323674.0       7207068K          5 7320804800       72              4         64 
323674.1       7164595K          1 7321569621       66              2         58 
323674.2       7177772K          2 7316336298       66              2         56 
323674.3       7150046K          0   7128665K       66              0         62 
323674.4       7205192K          1 7347071317       51              0         49 
323674.5       7119775K          2 7284451669       63              1         56 
323674.6       7184846K          0 7330989397       57              0         53 
323674.7       7159665K          1 7314513237       66              1         63 
323674.8       7182028K          1 7311310165       65              2         60 
323674.9       7174839K          2 7335254698       72              1         58 
323674.10      7175612K          2 7320180394       62              0         55 
323674.11      7186540K          2 7319878314       55              0         54 
323674.12      7172730K          1 7330647381       68              2         59 
323674.13      7142291K          0   7121333K       62              1         55 
323674.14      7194959K          2   7157205K       53              1         48 
323674.15      7163775K          1 7329590954       61              1         58 
323674.16      7220850K          2 7354726741       65              2         59 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323674                                                                                                
323674.batch       11.20M               0         11.20M       16.95M                0         16.95M 
323674.exte+        0.00M              61          0.00M            0               61              0 
323674.0         3867.78M               7       3773.00M       69.94M                0         69.93M 
323674.1         3800.26M               1       3773.47M       66.72M                2         66.72M 
323674.2         3753.17M               0       2811.93M       66.72M                0         66.72M 
323674.3         3793.95M               1       3777.01M       66.72M                1         66.72M 
323674.4         3741.70M               2       3737.43M       66.72M                1         66.72M 
323674.5         3781.09M               0       3754.60M       66.72M                1         66.72M 
323674.6         3775.30M               2       3759.19M       66.72M                0         66.72M 
323674.7         3796.22M               2       3763.57M       66.72M                2         66.72M 
323674.8         3848.38M               0       3813.97M       66.72M                1         66.72M 
323674.9         3765.70M               1       3746.42M       66.72M                1         66.72M 
323674.10        3802.97M               2       3774.53M       66.72M                1         66.72M 
323674.11        3744.09M               2       3739.25M       66.72M                2         66.72M 
323674.12        3746.64M               2       3738.37M       66.72M                1         66.72M 
323674.13        3803.35M               0       3775.81M       66.72M                0         66.72M 
323674.14        3771.28M               0       3751.05M       66.72M                0         66.72M 
323674.15        3746.23M               2       3737.97M       66.72M                0         66.72M 
323674.16        3759.73M               0       3741.51M       66.72M                2         66.72M 

Job 323674 completed at Tue Mar 29 17:39:28 CEST 2022
