Starting job 323678 on b[1111-1113,1119,1130-1133,1145,1224-1225,1230-1236,2202,3289-3296,3324-3325,3331-3332,3341,3344,3347-3356,3371-3374,3379-3380,3382-3385,3391,4201-4203,4205-4211] at Wed Mar 30 00:48:39 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j3n_j7n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323678             3n7n       8192                                             00:28:18      0:0 
323678.batch      batch        128        1   00:00:00          0   00:00:00   00:28:18      0:0 
323678.exte+     extern       8192       64   00:00:00         62   00:00:00   00:28:18      0:0 
323678.0     hydra_bst+       2048       16 4-03:32:18          1 4-17:30:31   00:28:16      0:0 
323678.1     hydra_bst+        384        3 4-19:31:03          0 4-19:33:56   00:28:16      0:0 
323678.2     hydra_bst+        384        3 4-03:50:24          1 4-14:19:36   00:28:16      0:0 
323678.3     hydra_bst+        384        3 4-09:25:17          2 4-16:13:50   00:28:16      0:0 
323678.4     hydra_bst+        384        3 4-19:35:00          2 4-19:35:22   00:28:16      0:0 
323678.5     hydra_bst+        384        3 4-18:40:31          2 4-19:15:50   00:28:16      0:0 
323678.6     hydra_bst+        384        3 4-19:31:56          0 4-19:34:00   00:28:16      0:0 
323678.7     hydra_bst+        384        3 4-19:33:25          0 4-19:35:47   00:28:16      0:0 
323678.8     hydra_bst+        384        3 4-19:23:06          2 4-19:30:02   00:28:16      0:0 
323678.9     hydra_bst+        384        3 4-19:36:53          1 4-19:37:28   00:28:16      0:0 
323678.10    hydra_bst+        384        3 4-12:04:15          0 4-17:04:27   00:28:16      0:0 
323678.11    hydra_bst+        384        3 4-11:45:39          1 4-16:55:26   00:28:16      0:0 
323678.12    hydra_bst+        384        3 4-19:30:54          1 4-19:36:55   00:28:16      0:0 
323678.13    hydra_bst+        384        3 4-19:25:06          0 4-19:30:47   00:28:16      0:0 
323678.14    hydra_bst+        384        3 4-19:31:18          2 4-19:32:05   00:28:16      0:0 
323678.15    hydra_bst+        384        3 4-11:45:35          1 4-16:57:59   00:28:16      0:0 
323678.16    hydra_bst+        384        3 4-19:27:59          1 4-19:32:55   00:28:15      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323678                                                                           
323678.batch      8730K          0      8730K        9              0          9 
323678.exte+       859K         48     861216        3             60          1 
323678.0       6848789K          6 6946772224       76              3         63 
323678.1       6778970K          2   6754328K       59              1         55 
323678.2       6774486K          0   6765630K       56              1         53 
323678.3       6864819K          0 6950362453       61              1         58 
323678.4       6782747K          1 6897042773       55              0         52 
323678.5       6824085K          2 6947989162       62              0         59 
323678.6       6832371K          1   6764329K       54              0         50 
323678.7       6781672K          0 6935930538       56              2         49 
323678.8       6782057K          1   6760056K       54              0         51 
323678.9       6762056K          2 6904382805       57              1         55 
323678.10      6782168K          2 6922501461       53              2         47 
323678.11      6801721K          2 6912990549       60              1         56 
323678.12      6786262K          2   6734708K       58              2         54 
323678.13      6781417K          2   6753437K       62              1         56 
323678.14      6781047K          0 6901516629       59              0         55 
323678.15      6841366K          1 6932863658       61              1         56 
323678.16      6736047K          1   6735290K       56              1         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323678                                                                                                
323678.batch       10.74M               0         10.74M       16.95M                0         16.95M 
323678.exte+        0.00M              62          0.00M            0               62              0 
323678.0         3585.08M               3       3485.95M       69.94M                0         69.93M 
323678.1         3544.32M               1       3504.87M       66.72M                1         66.72M 
323678.2         3475.01M               2       3471.19M       66.72M                2         66.72M 
323678.3         3498.60M               2       3470.92M       66.72M                1         66.72M 
323678.4         3587.63M               0       3548.59M       66.72M                0         66.72M 
323678.5         3452.98M               0       2558.97M       66.72M                0         66.72M 
323678.6         3471.58M               2       3456.21M       66.72M                2         66.72M 
323678.7         3461.99M               2       3456.15M       66.72M                1         66.72M 
323678.8         3469.33M               0       3456.65M       66.72M                1         66.72M 
323678.9         3530.55M               1       3493.04M       66.72M                0         66.72M 
323678.10        3468.23M               2       3462.23M       66.72M                0         66.72M 
323678.11        3533.76M               0       3498.43M       66.72M                0         66.72M 
323678.12        3468.35M               1       3461.35M       66.72M                2         66.72M 
323678.13        3482.59M               0       3468.48M       66.72M                1         66.72M 
323678.14        3468.74M               0       3458.07M       66.72M                2         66.72M 
323678.15        3477.86M               0       3455.81M       66.72M                0         66.72M 
323678.16        3518.82M               2       3494.53M       66.72M                0         66.72M 

Job 323678 completed at Wed Mar 30 01:16:58 CEST 2022
