Starting job 323683 on b[1105-1108,1141,2101,2146-2147,2158-2159,2184-2185,2194,2201-2202,2204,2221,2237-2238,2247-2248,2319,2333,2342-2343,2347,2359-2360,2369-2370,2384,2389-2390,2394-2395,3171,3175,3177-3178,3186,3255-3256,3258,3278-3279,3287-3288,3294-3295,4212-4214,4236,4248,4253-4255,4260,4270,4341,4343-4344,4347-4348] at Wed Mar 30 02:59:02 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j5n_j9n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323683             5n9n       8192                                             00:28:29      0:0 
323683.batch      batch        128        1   00:00:00          0   00:00:00   00:28:29      0:0 
323683.exte+     extern       8192       64   00:00:00         63   00:00:00   00:28:29      0:0 
323683.0     hydra_bst+       2048       16 4-04:18:58          3 4-16:38:44   00:28:24      0:0 
323683.1     hydra_bst+        384        3 4-07:23:36          0 4-14:39:14   00:28:23      0:0 
323683.2     hydra_bst+        384        3 4-05:03:53          2 4-13:50:08   00:28:23      0:0 
323683.3     hydra_bst+        384        3 3-23:57:31          1 4-12:08:19   00:28:23      0:0 
323683.4     hydra_bst+        384        3 4-18:08:49          0 4-18:11:26   00:28:23      0:0 
323683.5     hydra_bst+        384        3 4-18:10:23          1 4-18:17:19   00:28:23      0:0 
323683.6     hydra_bst+        384        3 4-04:07:33          1 4-06:53:36   00:28:23      0:0 
323683.7     hydra_bst+        384        3 4-06:28:57          1 4-14:18:12   00:28:23      0:0 
323683.8     hydra_bst+        384        3 4-18:08:34          2 4-18:15:08   00:28:23      0:0 
323683.9     hydra_bst+        384        3 4-16:46:01          2 4-17:48:54   00:28:23      0:0 
323683.10    hydra_bst+        384        3 4-07:12:25          1 4-14:28:08   00:28:23      0:0 
323683.11    hydra_bst+        384        3 4-06:59:46          1 4-14:29:29   00:28:23      0:0 
323683.12    hydra_bst+        384        3 4-18:07:33          2 4-18:10:49   00:28:23      0:0 
323683.13    hydra_bst+        384        3 4-18:10:04          0 4-18:13:59   00:28:23      0:0 
323683.14    hydra_bst+        384        3 4-18:13:31          0 4-18:18:27   00:28:23      0:0 
323683.15    hydra_bst+        384        3 4-09:05:54          2 4-15:08:07   00:28:23      0:0 
323683.16    hydra_bst+        384        3 4-08:37:52          1 4-15:01:11   00:28:23      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323683                                                                           
323683.batch      9049K          0      9049K        9              0          9 
323683.exte+       855K         26     817216        3             32          1 
323683.0       6319662K         13 6392844352       76              1         61 
323683.1       6270525K          0   6213012K       60              2         53 
323683.2       6269080K          0 6389123754       58              2         54 
323683.3       6235286K          0   6209000K       57              1         55 
323683.4       6292412K          0 6384706218       63              2         53 
323683.5       6230819K          2   6209793K       57              1         52 
323683.6       6277892K          2 6407902890       51              2         49 
323683.7       6330142K          0 6434401621       55              1         51 
323683.8       6207204K          2 6340084394       68              1         56 
323683.9       6323139K          1 6400699733       58              0         54 
323683.10      6272980K          1 6419410602       53              2         52 
323683.11      6264321K          0   6213091K       58              1         54 
323683.12      6219286K          1 6346261162       63              0         59 
323683.13      6272267K          2 6380953941       61              2         54 
323683.14      6260317K          0 6363052373       68              0         61 
323683.15      6294957K          2 6383128917       60              0         50 
323683.16      6253963K          1 6365651626       60              0         56 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323683                                                                                                
323683.batch       11.35M               0         11.35M       16.96M                0         16.96M 
323683.exte+        0.00M              63          0.00M            0               63              0 
323683.0         3161.02M               3       3095.25M       69.94M                0         69.93M 
323683.1         3131.74M               1       3102.27M       66.72M                2         66.72M 
323683.2         3110.34M               2       3085.77M       66.72M                2         66.72M 
323683.3         3088.80M               1       3076.40M       66.72M                2         66.72M 
323683.4         3087.81M               0       3073.62M       66.72M                1         66.72M 
323683.5         3088.98M               0       3075.71M       66.72M                0         66.72M 
323683.6         3134.08M               2       3100.13M       66.72M                0         66.72M 
323683.7         3067.95M               1       3064.03M       66.72M                2         66.72M 
323683.8         3068.96M               2       3065.08M       66.72M                0         66.72M 
323683.9         3079.31M               0       2280.45M       66.72M                1         66.72M 
323683.10        3086.51M               0       3071.07M       66.72M                2         66.72M 
323683.11        3112.52M               0       3089.95M       66.72M                2         66.72M 
323683.12        3200.62M               0       3126.54M       66.72M                0         66.72M 
323683.13        3107.69M               2       3088.81M       66.72M                0         66.72M 
323683.14        3162.69M               0       3140.86M       66.72M                1         66.72M 
323683.15        3078.58M               2          3.00G       66.72M                0         66.72M 
323683.16        3119.01M               1       3091.14M       66.72M                0         66.72M 

Job 323683 completed at Wed Mar 30 03:27:31 CEST 2022
