Starting job 323689 on b[1213,1223,1226,1228-1229,1257-1259,1338-1345,1347,2154,2160-2162,2164-2167,2169-2174,2178,2301,2304,2308,2345-2346,3110-3111,3113,3147-3148,3257,3277,4149,4171-4172,4181-4184,4258-4259,4269,4271,4355-4356,4365,4373,4392,5289-5290,5292,5294] at Wed Mar 30 03:02:33 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j7n_j7n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323689             7n7n       8192                                             00:58:06      0:0 
323689.batch      batch        128        1   00:00:00          0   00:00:00   00:58:06      0:0 
323689.exte+     extern       8192       64   00:00:00         60   00:00:00   00:58:06      0:0 
323689.0     hydra_bst+       2048       16 9-22:15:38          1 10-04:25:+   00:58:01      0:0 
323689.1     hydra_bst+        384        3 9-08:54:40          1 9-22:09:46   00:57:59      0:0 
323689.2     hydra_bst+        384        3 10-04:44:+          2 10-04:45:+   00:57:59      0:0 
323689.3     hydra_bst+        384        3 10-04:31:+          2 10-04:41:+   00:57:59      0:0 
323689.4     hydra_bst+        384        3 10-04:46:+          2 10-04:46:+   00:57:59      0:0 
323689.5     hydra_bst+        384        3 10-04:44:+          1 10-04:45:+   00:57:59      0:0 
323689.6     hydra_bst+        384        3 9-19:33:15          1 10-01:41:+   00:58:00      0:0 
323689.7     hydra_bst+        384        3 9-07:43:34          2 9-21:45:58   00:57:59      0:0 
323689.8     hydra_bst+        384        3 9-20:10:42          0 10-01:54:+   00:58:00      0:0 
323689.9     hydra_bst+        384        3 9-19:54:50          0 10-01:51:+   00:57:59      0:0 
323689.10    hydra_bst+        384        3 10-04:44:+          0 10-04:46:+   00:57:59      0:0 
323689.11    hydra_bst+        384        3 9-16:44:17          1 10-00:45:+   00:58:00      0:0 
323689.12    hydra_bst+        384        3 10-04:45:+          2 10-04:46:+   00:58:00      0:0 
323689.13    hydra_bst+        384        3 9-22:21:44          2 10-02:38:+   00:57:59      0:0 
323689.14    hydra_bst+        384        3 10-04:46:+          1 10-04:46:+   00:57:59      0:0 
323689.15    hydra_bst+        384        3 10-04:45:+          1 10-04:45:+   00:57:59      0:0 
323689.16    hydra_bst+        384        3 10-04:46:+          0 10-04:47:+   00:57:59      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323689                                                                           
323689.batch      8946K          0      8946K        9              0          9 
323689.exte+       853K         58     838096        2             59          1 
323689.0       6326820K         12 6417927488       84              9         23 
323689.1       6289718K          1 6406159018       65              2         63 
323689.2       6293081K          1 6427696810       63              2         61 
323689.3       6290841K          2 6432667306       69              1         68 
323689.4       6270599K          0 6397491882       75              2         64 
323689.5       6292125K          0   6277246K       65              2         60 
323689.6       6270256K          1 6395052373       65              1         64 
323689.7       6306366K          2 6441652906       86              0         70 
323689.8       6299793K          0 6408579413       73              1         63 
323689.9       6320235K          1 6433078954       62              0         57 
323689.10      6308350K          1 6422762837       71              2         62 
323689.11      6320944K          0 6441190058       71              1         63 
323689.12      6306489K          2 6398192981       69              1         61 
323689.13      6298285K          2   6272342K       72              0         58 
323689.14      6287242K          1   6259234K       66              0         62 
323689.15      6277652K          0   6259902K       71              1         69 
323689.16      6261281K          1 6393088682       74              1         66 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323689                                                                                                
323689.batch       21.03M               0         21.03M       25.88M                0         25.88M 
323689.exte+        0.00M              60          0.00M            0               60              0 
323689.0         3213.09M               3       3121.77M       88.69M                0         71.10M 
323689.1         3193.16M               1       3148.05M       66.72M                2         66.72M 
323689.2         3115.62M               0       3106.81M       66.72M                0         66.72M 
323689.3         3101.40M               0       2304.72M       66.72M                1         66.72M 
323689.4         3124.06M               0       3104.79M       66.72M                2         66.72M 
323689.5         3157.04M               0       3130.97M       66.72M                0         66.72M 
323689.6         3189.62M               1       3145.56M       66.72M                0         66.72M 
323689.7         3134.23M               0       3111.57M       66.72M                0         66.72M 
323689.8         3115.17M               1       3106.37M       66.72M                0         66.72M 
323689.9         3127.63M               2       3110.10M       66.72M                1         66.72M 
323689.10        3146.05M               2       3118.66M       66.72M                1         66.72M 
323689.11        3112.76M               2       3097.53M       66.72M                0         66.72M 
323689.12        3113.27M               2       3103.38M       66.72M                1         66.72M 
323689.13        3112.91M               2       3102.40M       66.72M                1         66.72M 
323689.14        3117.69M               0       3099.64M       66.72M                0         66.72M 
323689.15        3175.32M               2       3137.36M       66.72M                2         66.72M 
323689.16        3215.85M               0       3180.01M       66.72M                0         66.72M 

Job 323689 completed at Wed Mar 30 04:00:39 CEST 2022
