Starting job 323691 on b[1111-1113,1119,1130-1133,1145,1224-1225,1230-1231,3323-3325,3330-3356,3371-3374,3379-3380,3382-3385,3391,4201-4203,4205-4211] at Wed Mar 30 03:08:04 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j7n_j9n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323691             7n9n       8192                                             00:48:54      0:0 
323691.batch      batch        128        1   00:00:00          0   00:00:00   00:48:54      0:0 
323691.exte+     extern       8192       64   00:00:00         63   00:00:00   00:48:54      0:0 
323691.0     hydra_bst+       2048       16 8-02:51:03          2 8-10:34:07   00:48:51      0:0 
323691.1     hydra_bst+        384        3 8-11:04:35          2 8-11:06:54   00:48:51      0:0 
323691.2     hydra_bst+        384        3 8-11:00:55          0 8-11:03:15   00:48:51      0:0 
323691.3     hydra_bst+        384        3 8-02:12:36          0 8-08:10:20   00:48:51      0:0 
323691.4     hydra_bst+        384        3 8-11:00:44          0 8-11:06:35   00:48:51      0:0 
323691.5     hydra_bst+        384        3 8-10:11:37          2 8-10:49:15   00:48:51      0:0 
323691.6     hydra_bst+        384        3 8-11:00:23          2 8-11:06:10   00:48:51      0:0 
323691.7     hydra_bst+        384        3 8-10:56:32          2 8-11:02:15   00:48:51      0:0 
323691.8     hydra_bst+        384        3 8-11:00:23          1 8-11:05:34   00:48:51      0:0 
323691.9     hydra_bst+        384        3 8-10:58:57          1 8-11:07:07   00:48:51      0:0 
323691.10    hydra_bst+        384        3 8-11:07:54          0 8-11:10:30   00:48:51      0:0 
323691.11    hydra_bst+        384        3 8-00:04:37          1 8-07:27:49   00:48:51      0:0 
323691.12    hydra_bst+        384        3 8-10:50:18          1 8-10:58:23   00:48:51      0:0 
323691.13    hydra_bst+        384        3 7-22:31:44          2 8-06:56:39   00:48:51      0:0 
323691.14    hydra_bst+        384        3 8-11:00:57          2 8-11:05:57   00:48:51      0:0 
323691.15    hydra_bst+        384        3 8-02:43:34          1 8-08:13:37   00:48:51      0:0 
323691.16    hydra_bst+        384        3 8-10:58:39          1 8-11:05:13   00:48:51      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323691                                                                           
323691.batch      8642K          0      8642K        9              0          9 
323691.exte+       855K         48     859456        3             54          1 
323691.0       6223888K          5 6326316480       78              6         70 
323691.1       6171070K          2   6161843K       65              2         62 
323691.2       6205255K          2   6165732K       72              1         64 
323691.3       6227122K          0 6359157077       73              2         61 
323691.4       6209931K          2   6188006K       67              1         59 
323691.5       6214818K          0   6186262K       72              1         66 
323691.6       6184348K          0 6312686250       64              1         60 
323691.7       6193846K          1   6162349K       61              0         58 
323691.8       6152978K          0 6286532266       56              1         55 
323691.9       6256002K          2 6355859797       66              0         58 
323691.10      6238342K          0 6330089130       72              0         63 
323691.11      6173231K          0 6301576533       69              1         55 
323691.12      6226697K          2 6327574186       63              2         60 
323691.13      6189933K          1 6316371285       70              0         63 
323691.14      6210706K          2   6161177K       59              2         53 
323691.15      6225400K          0 6350607018       69              2         59 
323691.16      6212211K          1 6321699157       75              0         63 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323691                                                                                                
323691.batch       15.62M               0         15.62M       21.41M                0         21.41M 
323691.exte+        0.00M              63          0.00M            0               63              0 
323691.0         2976.19M               3       2887.58M       79.43M                0         70.52M 
323691.1         2943.33M               1       2908.99M       66.72M                1         66.72M 
323691.2         2891.76M               2       2876.45M       66.72M                2         66.72M 
323691.3         2965.91M               0       2940.36M       66.72M                1         66.72M 
323691.4         2899.29M               2       2879.82M       66.72M                0         66.72M 
323691.5         2871.22M               0       2117.89M       66.72M                1         66.72M 
323691.6         2871.34M               2       2862.56M       66.72M                2         66.72M 
323691.7         2889.58M               0       2878.87M       66.72M                1         66.72M 
323691.8         2875.78M               1       2871.14M       66.72M                2         66.72M 
323691.9         2874.48M               2       2868.55M       66.72M                2         66.72M 
323691.10        2884.36M               0       2874.13M       66.72M                1         66.72M 
323691.11        2968.24M               0       2914.00M       66.72M                2         66.72M 
323691.12        2885.12M               0       2867.88M       66.72M                0         66.72M 
323691.13        2934.90M               2       2901.08M       66.72M                0         66.72M 
323691.14        2874.68M               2       2866.93M       66.72M                2         66.72M 
323691.15        2894.09M               0       2873.74M       66.72M                2         66.72M 
323691.16        2933.84M               1       2898.32M       66.72M                0         66.72M 

Job 323691 completed at Wed Mar 30 03:56:58 CEST 2022
