Starting job 323694 on b[4317-4339,5149-5153,5155-5164,5171-5196] at Wed Mar 30 03:19:36 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j7n_j11n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323694            7n11n       8192                                             00:22:11      0:0 
323694.batch      batch        128        1   00:00:00          0   00:00:00   00:22:11      0:0 
323694.exte+     extern       8192       64   00:00:00         62   00:00:00   00:22:11      0:0 
323694.0     hydra_bst+       2048       16 3-18:38:39          4 3-18:42:11   00:22:07      0:0 
323694.1     hydra_bst+        384        3 3-18:43:02          2 3-18:43:45   00:22:06      0:0 
323694.2     hydra_bst+        384        3 3-18:44:26          0 3-18:45:32   00:22:06      0:0 
323694.3     hydra_bst+        384        3 3-18:44:07          1 3-18:44:13   00:22:06      0:0 
323694.4     hydra_bst+        384        3 3-18:44:08          0 3-18:44:44   00:22:06      0:0 
323694.5     hydra_bst+        384        3 3-18:42:31          1 3-18:44:08   00:22:06      0:0 
323694.6     hydra_bst+        384        3 3-18:41:46          1 3-18:44:09   00:22:06      0:0 
323694.7     hydra_bst+        384        3 3-18:44:04          1 3-18:44:25   00:22:06      0:0 
323694.8     hydra_bst+        384        3 3-18:43:56          1 3-18:45:07   00:22:06      0:0 
323694.9     hydra_bst+        384        3 3-18:42:43          1 3-18:44:35   00:22:06      0:0 
323694.10    hydra_bst+        384        3 3-18:46:50          0 3-18:47:12   00:22:06      0:0 
323694.11    hydra_bst+        384        3 3-18:45:02          2 3-18:45:27   00:22:06      0:0 
323694.12    hydra_bst+        384        3 3-18:44:55          0 3-18:45:51   00:22:06      0:0 
323694.13    hydra_bst+        384        3 3-12:35:24          2 3-14:39:53   00:22:06      0:0 
323694.14    hydra_bst+        384        3 3-18:27:43          2 3-18:38:35   00:22:06      0:0 
323694.15    hydra_bst+        384        3 3-13:00:03          1 3-16:50:31   00:22:06      0:0 
323694.16    hydra_bst+        384        3 3-18:45:19          0 3-18:46:47   00:22:06      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323694                                                                           
323694.batch      8405K          0      8405K        9              0          9 
323694.exte+       844K         28     858816        3             23          1 
323694.0       5928335K         10 6000020288       74              2         60 
323694.1       5590535K          2 5683321173       56              2         49 
323694.2       5628385K          0 5731870037       58              0         53 
323694.3       5623733K          1   5592527K       59              1         55 
323694.4       5639602K          2 5713593002       55              0         50 
323694.5       5614777K          0   5590320K       56              2         54 
323694.6       5613138K          1 5719997098       59              1         54 
323694.7       5629119K          2 5717477717       56              1         54 
323694.8       5569679K          0 5684044117       57              1         53 
323694.9       5585708K          2 5704774314       61              0         53 
323694.10      5570928K          1   5533134K       62              1         54 
323694.11      5579588K          2 5686224213       53              1         48 
323694.12      5612014K          1 5723245909       47              2         45 
323694.13      5714965K          2 5795870037       62              0         55 
323694.14      5602773K          1 5705711957       59              0         51 
323694.15      5645071K          2 5753817770       59              0         52 
323694.16      5610319K          0   5582171K       62              1         57 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323694                                                                                                
323694.batch       10.33M               0         10.33M       16.95M                0         16.95M 
323694.exte+        0.00M              62          0.00M            0               62              0 
323694.0         2707.61M               3       2639.81M       69.94M                0         69.93M 
323694.1         2692.40M               1       2657.14M       66.72M                1         66.72M 
323694.2         2627.99M               2       2624.77M       66.72M                0         66.72M 
323694.3         2662.38M               2       2635.64M       66.72M                2         66.72M 
323694.4         2726.78M               0       2686.17M       66.72M                2         66.72M 
323694.5         2638.68M               0       2626.61M       66.72M                0         66.72M 
323694.6         2675.34M               2       2647.94M       66.72M                0         66.72M 
323694.7         2633.08M               2       2619.31M       66.72M                1         66.72M 
323694.8         2701.87M               1       2658.81M       66.72M                2         66.72M 
323694.9         2631.71M               0       2621.48M       66.72M                2         66.72M 
323694.10        2687.68M               0       2660.72M       66.72M                2         66.72M 
323694.11        2630.32M               1       2624.38M       66.72M                2         66.72M 
323694.12        2644.50M               0       2626.72M       66.72M                2         66.72M 
323694.13        2631.41M               2       2622.88M       66.72M                2         66.72M 
323694.14        2617.77M               0       1913.66M       66.72M                2         66.72M 
323694.15        2643.59M               2       2627.26M       66.72M                2         66.72M 
323694.16        2634.26M               0       2625.25M       66.72M                1         66.72M 

Job 323694 completed at Wed Mar 30 03:41:47 CEST 2022
