Starting job 323697 on b[1137-1140,1201-1204,1232-1236,1329-1334,2101,2146-2147,2156-2157,2177,2179-2182,2249,2251,2253,2265,2267,2275,2292,3114,3132,3167-3169,3176,3192,3209,3211,3214-3216,3231-3232,3237,3305-3308,3319-3322,4265,4349,4352-4354] at Wed Mar 30 03:41:12 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j9n_j13n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323697            9n13n       8192                                             00:23:52      0:0 
323697.batch      batch        128        1   00:00:00          0   00:00:00   00:23:52      0:0 
323697.exte+     extern       8192       64   00:00:00         63   00:00:00   00:23:52      0:0 
323697.0     hydra_bst+       2048       16 3-13:57:38         13 3-22:41:08   00:23:50      0:0 
323697.1     hydra_bst+        384        3 4-00:37:24          1 4-00:40:57   00:23:48      0:0 
323697.2     hydra_bst+        384        3 3-12:14:49          1 3-17:41:59   00:23:48      0:0 
323697.3     hydra_bst+        384        3 4-00:32:31          2 4-00:40:53   00:23:48      0:0 
323697.4     hydra_bst+        384        3 3-14:50:38          1 3-18:35:11   00:23:48      0:0 
323697.5     hydra_bst+        384        3 4-00:33:44          1 4-00:36:43   00:23:48      0:0 
323697.6     hydra_bst+        384        3 3-16:07:33          1 3-20:39:05   00:23:48      0:0 
323697.7     hydra_bst+        384        3 4-00:37:17          1 4-00:42:14   00:23:48      0:0 
323697.8     hydra_bst+        384        3 4-00:28:13          1 4-00:37:22   00:23:48      0:0 
323697.9     hydra_bst+        384        3 4-00:39:27          2 4-00:41:56   00:23:48      0:0 
323697.10    hydra_bst+        384        3 4-00:26:32          0 4-00:36:27   00:23:48      0:0 
323697.11    hydra_bst+        384        3 4-00:35:50          1 4-00:45:52   00:23:48      0:0 
323697.12    hydra_bst+        384        3 4-00:39:05          0 4-00:45:05   00:23:48      0:0 
323697.13    hydra_bst+        384        3 3-13:17:34          1 3-17:42:41   00:23:48      0:0 
323697.14    hydra_bst+        384        3 3-16:00:04          1 3-21:43:54   00:23:48      0:0 
323697.15    hydra_bst+        384        3 4-00:32:18          2 4-00:38:21   00:23:48      0:0 
323697.16    hydra_bst+        384        3 4-00:36:54          2 4-00:43:15   00:23:48      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323697                                                                           
323697.batch      9103K          0      9103K        9              0          9 
323697.exte+       852K         45     859952        3             63          1 
323697.0       5166417K         13 5238592448       78              4         63 
323697.1       5158373K          0 5228119381       59              0         54 
323697.2       5163258K          0 5234108074       56              2         55 
323697.3       5120156K          1   5102453K       74              1         64 
323697.4       5097013K          2 5203581269       68              0         60 
323697.5       5164295K          1 5248148138       58              1         55 
323697.6       5138260K          0 5234681173       58              0         54 
323697.7       5120111K          2 5209635498       64              1         62 
323697.8       5115189K          2   5083023K       66              0         55 
323697.9       5194623K          1   5133293K       59              0         55 
323697.10      5092748K          2 5184601429       61              0         56 
323697.11      5163787K          0   5103167K       66              1         59 
323697.12      5108309K          1 5223258794       59              0         56 
323697.13      5086262K          0 5191925077       51              2         48 
323697.14      5161209K          1   5102091K       59              2         55 
323697.15      5113267K          0   5097112K       60              0         56 
323697.16      5129076K          2 5231197525       66              2         60 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323697                                                                                                
323697.batch       16.58M               0         16.58M       21.42M                0         21.42M 
323697.exte+        0.00M              63          0.00M            0               63              0 
323697.0         2237.22M               3       2163.99M       69.94M                0         69.93M 
323697.1         2198.09M               1       2172.94M       66.72M                1         66.72M 
323697.2         2158.57M               0       1531.92M       66.72M                2         66.72M 
323697.3         2262.48M               0       2212.48M       66.72M                2         66.72M 
323697.4         2239.66M               0       2206.67M       66.72M                0         66.72M 
323697.5         2174.62M               0       2159.64M       66.72M                0         66.72M 
323697.6         2166.98M               2       2154.44M       66.72M                1         66.72M 
323697.7         2151.55M               1       2147.49M       66.72M                2         66.72M 
323697.8         2193.85M               1       2167.08M       66.72M                2         66.72M 
323697.9         2156.68M               1       2150.70M       66.72M                0         66.72M 
323697.10        2169.78M               0       2155.87M       66.72M                2         66.72M 
323697.11        2159.37M               0       2149.25M       66.72M                2         66.72M 
323697.12        2180.71M               2       2163.76M       66.72M                0         66.72M 
323697.13        2153.98M               0       2146.08M       66.72M                1         66.72M 
323697.14        2199.89M               2       2174.09M       66.72M                2         66.72M 
323697.15        2157.70M               2       2147.73M       66.72M                2         66.72M 
323697.16        2146.72M               2       2142.93M       66.72M                2         66.72M 

Job 323697 completed at Wed Mar 30 04:05:03 CEST 2022
