Starting job 323698 on b[4317-4339,5149-5153,5155-5164,5171-5196] at Wed Mar 30 03:42:12 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j11n_j11n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323698           11n11n       8192                                             00:37:39      0:0 
323698.batch      batch        128        1   00:00:00          0   00:00:00   00:37:39      0:0 
323698.exte+     extern       8192       64   00:00:00         62   00:00:00   00:37:39      0:0 
323698.0     hydra_bst+       2048       16 6-05:56:39         12 6-12:20:05   00:37:36      0:0 
323698.1     hydra_bst+        384        3 6-06:51:27          1 6-11:33:58   00:37:35      0:0 
323698.2     hydra_bst+        384        3 6-07:47:26          2 6-11:53:03   00:37:35      0:0 
323698.3     hydra_bst+        384        3 6-07:24:33          1 6-11:44:46   00:37:35      0:0 
323698.4     hydra_bst+        384        3 6-13:54:30          1 6-13:55:45   00:37:35      0:0 
323698.5     hydra_bst+        384        3 6-13:55:45          0 6-13:56:17   00:37:35      0:0 
323698.6     hydra_bst+        384        3 6-13:54:42          1 6-13:55:51   00:37:35      0:0 
323698.7     hydra_bst+        384        3 6-08:02:54          2 6-11:57:40   00:37:35      0:0 
323698.8     hydra_bst+        384        3 6-08:09:56          0 6-12:00:10   00:37:35      0:0 
323698.9     hydra_bst+        384        3 6-08:37:02          0 6-12:09:16   00:37:35      0:0 
323698.10    hydra_bst+        384        3 6-05:38:37          0 6-09:05:04   00:37:35      0:0 
323698.11    hydra_bst+        384        3 6-13:55:41          1 6-13:56:18   00:37:35      0:0 
323698.12    hydra_bst+        384        3 6-13:55:08          0 6-13:56:18   00:37:35      0:0 
323698.13    hydra_bst+        384        3 6-08:32:15          0 6-12:09:15   00:37:35      0:0 
323698.14    hydra_bst+        384        3 6-13:54:56          1 6-13:55:48   00:37:35      0:0 
323698.15    hydra_bst+        384        3 6-13:55:20          1 6-13:56:01   00:37:35      0:0 
323698.16    hydra_bst+        384        3 6-08:44:58          0 6-12:11:35   00:37:35      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323698                                                                           
323698.batch      8663K          0      8663K        9              0          9 
323698.exte+       844K         28     824912        3             44          1 
323698.0       4908332K          8 4960422720       76             13         67 
323698.1       4879798K          1 4973138602       65              0         58 
323698.2       4877412K          1 4961505621       66              2         61 
323698.3       4976284K          2 5016890026       57              2         50 
323698.4       4873056K          2   4856232K       63              0         53 
323698.5       4853138K          2 4946548394       69              1         64 
323698.6       4895250K          1 4984482474       55              2         52 
323698.7       4840697K          2 4944093866       58              0         57 
323698.8       4869790K          2 4945344853       53              0         53 
323698.9       4854093K          0   4809872K       60              1         56 
323698.10      4831849K          2 4928048469       69              0         60 
323698.11      4889479K          1 4976877909       70              1         62 
323698.12      4894354K          1 4980045141       68              1         66 
323698.13      4860989K          1 4951402154       63              0         53 
323698.14      4865773K          2 4954103125       61              1         54 
323698.15      4897409K          2 4984393386       65              2         59 
323698.16      4906469K          0 4996906325       60              1         55 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323698                                                                                                
323698.batch       14.98M               0         14.98M       21.41M                0         21.41M 
323698.exte+        0.00M              62          0.00M            0               62              0 
323698.0         2200.47M               1       2154.29M       79.05M                0         70.50M 
323698.1         2187.40M               1       2161.99M       66.72M                1         66.72M 
323698.2         2146.59M               1       2142.97M       66.72M                2         66.72M 
323698.3         2233.57M               0       2188.14M       66.72M                2         66.72M 
323698.4         2171.04M               2       2154.26M       66.72M                0         66.72M 
323698.5         2145.29M               1       2137.41M       66.72M                2         66.72M 
323698.6         2145.25M               2       2138.11M       66.72M                1         66.72M 
323698.7         2133.47M               1       1518.34M       66.72M                1         66.72M 
323698.8         2144.69M               1       2137.67M       66.72M                0         66.72M 
323698.9         2152.05M               0       2139.91M       66.72M                1         66.72M 
323698.10        2155.25M               2       2140.16M       66.72M                2         66.72M 
323698.11        2174.48M               2       2148.43M       66.72M                2         66.72M 
323698.12        2149.09M               2       2136.85M       66.72M                1         66.72M 
323698.13        2214.16M               0       2186.27M       66.72M                1         66.72M 
323698.14        2209.89M               1       2167.85M       66.72M                1         66.72M 
323698.15        2160.77M               0       2144.41M       66.72M                0         66.72M 
323698.16        2151.83M               1       2139.08M       66.72M                0         66.72M 

Job 323698 completed at Wed Mar 30 04:19:51 CEST 2022
