Starting job 323702 on b[1111-1112,2154,2160-2162,2164-2167,2169-2174,2178,3323-3325,3330-3356,3379-3380,3382-3385,3391,4201-4203,4205-4211] at Wed Mar 30 04:00:46 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j11n_j15n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323702           11n15n       8192                                             00:20:21      0:0 
323702.batch      batch        128        1   00:00:00          0   00:00:00   00:20:21      0:0 
323702.exte+     extern       8192       64   00:00:00         60   00:00:00   00:20:21      0:0 
323702.0     hydra_bst+       2048       16 3-03:13:54          7 3-09:53:14   00:20:18      0:0 
323702.1     hydra_bst+        384        3 3-02:19:05          2 3-05:12:23   00:20:18      0:0 
323702.2     hydra_bst+        384        3 3-01:58:45          2 3-05:03:07   00:20:18      0:0 
323702.3     hydra_bst+        384        3 3-10:13:57          0 3-10:18:53   00:20:18      0:0 
323702.4     hydra_bst+        384        3 3-03:01:15          0 3-06:57:49   00:20:18      0:0 
323702.5     hydra_bst+        384        3 3-10:14:42          1 3-10:20:11   00:20:18      0:0 
323702.6     hydra_bst+        384        3 3-10:18:14          2 3-10:23:37   00:20:18      0:0 
323702.7     hydra_bst+        384        3 3-10:23:19          1 3-10:26:01   00:20:18      0:0 
323702.8     hydra_bst+        384        3 3-03:40:30          2 3-08:11:53   00:20:18      0:0 
323702.9     hydra_bst+        384        3 3-10:20:54          2 3-10:26:01   00:20:18      0:0 
323702.10    hydra_bst+        384        3 3-10:23:30          2 3-10:25:04   00:20:18      0:0 
323702.11    hydra_bst+        384        3 3-10:17:04          2 3-10:24:41   00:20:18      0:0 
323702.12    hydra_bst+        384        3 3-10:22:53          1 3-10:23:27   00:20:18      0:0 
323702.13    hydra_bst+        384        3 3-10:22:47          1 3-10:23:13   00:20:18      0:0 
323702.14    hydra_bst+        384        3 3-10:22:01          0 3-10:25:07   00:20:18      0:0 
323702.15    hydra_bst+        384        3 3-10:15:27          0 3-10:23:07   00:20:18      0:0 
323702.16    hydra_bst+        384        3 3-10:22:52          2 3-10:25:42   00:20:18      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323702                                                                           
323702.batch      8646K          0      8646K        9              0          9 
323702.exte+       857K         20     860432        3             60          1 
323702.0       4431770K         10 4484750528       73             13         62 
323702.1       4480855K          0   4427097K       58              1         50 
323702.2       4456818K          1 4534984362       65              0         56 
323702.3       4480286K          1 4546389333       54              2         51 
323702.4       4467528K          2   4415673K       48              1         46 
323702.5       4473726K          2   4378372K       61              1         54 
323702.6       4491274K          2 4529011370       65              1         58 
323702.7       4435318K          0   4415386K       61              1         57 
323702.8       4442852K          1 4512827050       54              2         45 
323702.9       4425082K          2 4528481621       57              2         54 
323702.10      4477870K          0   4425856K       68              1         62 
323702.11      4347739K          1 4433964714       56              2         52 
323702.12      4433461K          0 4514217301       57              1         52 
323702.13      4432004K          0 4518365525       59              2         54 
323702.14      4409058K          0   4396371K       66              0         56 
323702.15      4422910K          1 4489582933       58              2         53 
323702.16      4392729K          0   4380882K       63              1         55 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323702                                                                                                
323702.batch       10.59M               0         10.59M       16.95M                0         16.95M 
323702.exte+        0.00M              60          0.00M            0               60              0 
323702.0         1733.11M               3       1703.50M       69.94M                0         69.93M 
323702.1         1722.15M               1       1709.34M       66.72M                1         66.72M 
323702.2         1692.21M               0       1168.68M       66.72M                0         66.72M 
323702.3         1696.35M               2       1689.60M       66.72M                2         66.72M 
323702.4         1772.07M               0       1728.76M       66.72M                1         66.72M 
323702.5         1737.27M               1       1714.61M       66.72M                2         66.72M 
323702.6         1715.46M               0       1703.98M       66.72M                1         66.72M 
323702.7         1699.83M               0       1694.62M       66.72M                1         66.72M 
323702.8         1707.08M               2       1695.92M       66.72M                1         66.72M 
323702.9         1698.89M               2       1691.52M       66.72M                2         66.72M 
323702.10        1692.82M               1       1690.69M       66.72M                1         66.72M 
323702.11        1706.71M               1       1694.50M       66.72M                0         66.72M 
323702.12        1721.95M               2       1709.43M       66.72M                1         66.72M 
323702.13        1759.04M               0       1736.05M       66.72M                1         66.72M 
323702.14        1708.80M               0       1696.08M       66.72M                0         66.72M 
323702.15        1699.31M               1       1692.23M       66.72M                2         66.72M 
323702.16        1722.85M               0       1708.40M       66.72M                0         66.72M 

Job 323702 completed at Wed Mar 30 04:21:08 CEST 2022
