Starting job 323703 on b[1113,1119,1130-1133,1145,1213,1223-1226,1228-1231,1338-1345,1347,2301,2304,2308-2312,2320-2323,2331-2332,2345-2346,4149,4355-4357,4362-4365,4373,4392,5253-5254,5259-5263,5268,5270-5271,5289-5290,5292,5294] at Wed Mar 30 04:01:47 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j13n_j13n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323703           13n13n       8192                                             00:32:40      0:0 
323703.batch      batch        128        1   00:00:00          0   00:00:00   00:32:40      0:0 
323703.exte+     extern       8192       64   00:00:00         60   00:00:00   00:32:40      0:0 
323703.0     hydra_bst+       2048       16 5-08:36:35         10 5-13:47:04   00:32:38      0:0 
323703.1     hydra_bst+        384        3 5-15:48:25          1 5-15:52:34   00:32:38      0:0 
323703.2     hydra_bst+        384        3 5-15:44:54          1 5-15:50:16   00:32:38      0:0 
323703.3     hydra_bst+        384        3 5-15:51:28          2 5-15:55:52   00:32:38      0:0 
323703.4     hydra_bst+        384        3 5-15:46:28          1 5-15:47:45   00:32:38      0:0 
323703.5     hydra_bst+        384        3 5-15:35:52          0 5-15:52:35   00:32:38      0:0 
323703.6     hydra_bst+        384        3 5-15:47:34          2 5-15:52:26   00:32:38      0:0 
323703.7     hydra_bst+        384        3 5-15:57:35          1 5-16:01:48   00:32:38      0:0 
323703.8     hydra_bst+        384        3 5-14:52:09          2 5-15:31:21   00:32:38      0:0 
323703.9     hydra_bst+        384        3 5-09:17:16          1 5-13:43:19   00:32:38      0:0 
323703.10    hydra_bst+        384        3 5-08:27:22          2 5-13:26:19   00:32:38      0:0 
323703.11    hydra_bst+        384        3 5-04:12:35          1 5-11:52:46   00:32:38      0:0 
323703.12    hydra_bst+        384        3 5-15:47:36          0 5-15:53:21   00:32:38      0:0 
323703.13    hydra_bst+        384        3 5-15:40:49          0 5-15:48:55   00:32:38      0:0 
323703.14    hydra_bst+        384        3 5-08:51:13          2 5-13:32:56   00:32:38      0:0 
323703.15    hydra_bst+        384        3 5-15:48:20          0 5-15:56:15   00:32:38      0:0 
323703.16    hydra_bst+        384        3 5-15:46:48          1 5-15:52:10   00:32:38      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323703                                                                           
323703.batch      8815K          0      8815K        9              0          9 
323703.exte+       853K         57     800320        3             59          1 
323703.0       4413339K         13 4452862336       75              8         64 
323703.1       4339998K          0   4333123K       71              2         60 
323703.2       4339659K          0 4410381653       59              0         54 
323703.3       4378635K          1 4446628522       63              0         53 
323703.4       4401460K          0 4466537130       64              2         59 
323703.5       4364124K          2 4445827754       60              0         54 
323703.6       4435526K          2 4481803605       66              0         55 
323703.7       4388477K          0 4442725717       64              2         60 
323703.8       4388957K          2 4462318933       62              0         60 
323703.9       4344852K          0 4411154090       65              0         58 
323703.10      4371899K          1 4467212629       59              1         57 
323703.11      4386495K          2 4441532757       65              2         55 
323703.12      4389589K          2   4361169K       64              1         59 
323703.13      4331576K          0 4413734570       62              0         59 
323703.14      4384704K          0   4349954K       66              0         61 
323703.15      4349932K          2   4328175K       68              2         59 
323703.16      4386687K          1 4458832554       57              2         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323703                                                                                                
323703.batch       16.00M               0         16.00M       21.42M                0         21.42M 
323703.exte+        0.00M              60          0.00M            0               60              0 
323703.0         1735.49M               3       1676.21M       79.51M                0         70.53M 
323703.1         1704.34M               1       1677.04M       66.72M                1         66.72M 
323703.2         1680.95M               1       1665.63M       66.72M                1         66.72M 
323703.3         1664.71M               2       1659.36M       66.72M                2         66.72M 
323703.4         1682.43M               0       1668.43M       66.72M                1         66.72M 
323703.5         1665.10M               1       1661.01M       66.72M                0         66.72M 
323703.6         1681.30M               2       1666.89M       66.72M                1         66.72M 
323703.7         1679.37M               2       1667.26M       66.72M                0         66.72M 
323703.8         1676.68M               0       1133.94M       66.72M                2         66.72M 
323703.9         1709.39M               2       1686.99M       66.72M                2         66.72M 
323703.10        1746.31M               0       1729.34M       66.72M                1         66.72M 
323703.11        1706.95M               2       1685.17M       66.72M                0         66.72M 
323703.12        1676.08M               0       1669.97M       66.72M                2         66.72M 
323703.13        1763.18M               0       1713.02M       66.72M                0         66.72M 
323703.14        1712.12M               1       1684.80M       66.72M                1         66.72M 
323703.15        1679.94M               0       1664.33M       66.72M                0         66.72M 
323703.16        1663.15M               1       1657.93M       66.72M                1         66.72M 

Job 323703 completed at Wed Mar 30 04:34:28 CEST 2022
