Starting job 323708 on b[1105-1108,1136,1141,1315,1335-1337,1348,2158-2159,2176,2184-2185,2194,2201-2202,2204,2221,2237-2238,2247-2248,2319,2333,2342-2343,2359-2360,2369-2370,2384,2389-2390,2394-2395,3255-3256,3258,3278-3279,3287-3288,3294-3295,4253-4255,4260,4265,4267-4268,4270,4308,4312,4314-4315,4341,4343-4345,4347] at Wed Mar 30 04:10:49 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j15n_j15n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323708           15n15n       8192                                             00:26:23      0:0 
323708.batch      batch        128        1   00:00:00          0   00:00:00   00:26:23      0:0 
323708.exte+     extern       8192       64   00:00:00         60   00:00:00   00:26:23      0:0 
323708.0     hydra_bst+       2048       16 4-07:31:17         12 4-12:23:44   00:26:21      0:0 
323708.1     hydra_bst+        384        3 4-07:56:12          0 4-11:24:55   00:26:21      0:0 
323708.2     hydra_bst+        384        3 4-08:09:14          1 4-11:31:33   00:26:21      0:0 
323708.3     hydra_bst+        384        3 4-13:05:02          2 4-13:07:38   00:26:21      0:0 
323708.4     hydra_bst+        384        3 4-13:04:54          1 4-13:05:49   00:26:21      0:0 
323708.5     hydra_bst+        384        3 4-13:06:37          2 4-13:06:53   00:26:21      0:0 
323708.6     hydra_bst+        384        3 4-12:57:40          2 4-13:07:38   00:26:21      0:0 
323708.7     hydra_bst+        384        3 4-07:30:59          2 4-11:19:28   00:26:21      0:0 
323708.8     hydra_bst+        384        3 4-13:04:59          2 4-13:08:50   00:26:21      0:0 
323708.9     hydra_bst+        384        3 4-12:08:03          2 4-12:44:24   00:26:21      0:0 
323708.10    hydra_bst+        384        3 4-13:01:11          0 4-13:02:22   00:26:21      0:0 
323708.11    hydra_bst+        384        3 4-13:04:19          1 4-13:09:39   00:26:21      0:0 
323708.12    hydra_bst+        384        3 4-13:01:21          1 4-13:05:50   00:26:21      0:0 
323708.13    hydra_bst+        384        3 4-08:03:59          1 4-11:26:18   00:26:21      0:0 
323708.14    hydra_bst+        384        3 4-13:00:08          1 4-13:09:20   00:26:21      0:0 
323708.15    hydra_bst+        384        3 4-13:01:44          0 4-13:05:46   00:26:21      0:0 
323708.16    hydra_bst+        384        3 4-07:49:13          2 4-11:22:19   00:26:21      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323708                                                                           
323708.batch      8981K          0      8981K        9              0          9 
323708.exte+       853K         29     850688        3              9          1 
323708.0       3732137K          7 3794190528       80              3         64 
323708.1       3732212K          1   3699325K       56              2         53 
323708.2       3736851K          2 3790805333       64              0         60 
323708.3       3722147K          0 3795695274       53              0         52 
323708.4       3731386K          1   3695577K       54              0         51 
323708.5       3717009K          1   3698809K       70              0         61 
323708.6       3720999K          2   3692921K       63              2         57 
323708.7       3721521K          2 3798471338       61              2         59 
323708.8       3753351K          0 3802607957       58              0         52 
323708.9       3724360K          1 3788131669       68              1         61 
323708.10      3720812K          2   3692247K       60              2         58 
323708.11      3719546K          2 3778955946       57              0         53 
323708.12      3700296K          1   3685190K       58              1         53 
323708.13      3694891K          0 3773381290       60              2         58 
323708.14      3738822K          2 3819565397       58              0         55 
323708.15      3720293K          2 3780223317       63              2         58 
323708.16      3736143K          2 3792530090       61              1         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323708                                                                                                
323708.batch       15.97M               0         15.97M       21.42M                0         21.42M 
323708.exte+        0.00M              60          0.00M            0               60              0 
323708.0         1267.03M              12       1249.02M       79.17M                0         70.50M 
323708.1         1261.95M               2       1252.38M       66.72M                2         66.72M 
323708.2         1254.63M               2       1247.41M       66.72M                2         66.72M 
323708.3         1272.50M               1       1259.23M       66.72M                1         66.72M 
323708.4         1306.32M               0       1265.14M       66.72M                2         66.72M 
323708.5         1272.31M               0       1260.19M       66.72M                2         66.72M 
323708.6         1240.92M               0       1239.30M       66.72M                1         66.72M 
323708.7         1257.26M               1       1245.58M       66.72M                1         66.72M 
323708.8         1248.23M               2       1240.59M       66.72M                1         66.72M 
323708.9         1250.24M               0        814.77M       66.72M                1         66.72M 
323708.10        1240.09M               1       1238.06M       66.72M                0         66.72M 
323708.11        1251.86M               0       1241.99M       66.72M                2         66.72M 
323708.12        1248.99M               1       1242.70M       66.72M                1         66.72M 
323708.13        1261.25M               0       1247.97M       66.72M                2         66.72M 
323708.14        1263.41M               2       1257.02M       66.72M                2         66.72M 
323708.15        1299.54M               0       1281.47M       66.72M                1         66.72M 
323708.16        1304.98M               0       1264.15M       66.72M                0         66.72M 

Job 323708 completed at Wed Mar 30 04:37:13 CEST 2022
