Starting job 323711 on b[4317-4339,5149-5153,5155-5164,5171-5196] at Wed Mar 30 04:20:21 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j15n_j17n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323711           15n17n       8192                                             00:20:36      0:0 
323711.batch      batch        128        1   00:00:00          0   00:00:00   00:20:36      0:0 
323711.exte+     extern       8192       64   00:00:00         60   00:00:00   00:20:36      0:0 
323711.0     hydra_bst+       2048       16 3-05:14:30          1 3-12:16:02   00:20:33      0:0 
323711.1     hydra_bst+        384        3 3-05:17:21          1 3-07:51:50   00:20:33      0:0 
323711.2     hydra_bst+        384        3 3-05:17:18          0 3-10:16:27   00:20:33      0:0 
323711.3     hydra_bst+        384        3 3-05:35:00          2 3-10:20:15   00:20:33      0:0 
323711.4     hydra_bst+        384        3 3-12:46:57          1 3-12:49:14   00:20:33      0:0 
323711.5     hydra_bst+        384        3 3-05:35:22          1 3-10:24:46   00:20:33      0:0 
323711.6     hydra_bst+        384        3 3-05:53:58          2 3-10:31:17   00:20:33      0:0 
323711.7     hydra_bst+        384        3 3-12:47:49          2 3-12:48:12   00:20:33      0:0 
323711.8     hydra_bst+        384        3 3-12:41:23          1 3-12:46:47   00:20:33      0:0 
323711.9     hydra_bst+        384        3 3-12:43:12          0 3-12:45:08   00:20:33      0:0 
323711.10    hydra_bst+        384        3 3-12:43:14          0 3-12:45:03   00:20:33      0:0 
323711.11    hydra_bst+        384        3 3-12:40:23          2 3-12:46:17   00:20:33      0:0 
323711.12    hydra_bst+        384        3 3-05:02:53          1 3-07:39:02   00:20:33      0:0 
323711.13    hydra_bst+        384        3 3-04:32:41          2 3-09:59:35   00:20:33      0:0 
323711.14    hydra_bst+        384        3 3-05:22:39          1 3-10:21:37   00:20:33      0:0 
323711.15    hydra_bst+        384        3 3-12:45:45          0 3-12:49:47   00:20:33      0:0 
323711.16    hydra_bst+        384        3 3-12:45:33          2 3-12:46:17   00:20:33      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323711                                                                           
323711.batch      8397K          0      8397K        9              0          9 
323711.exte+       847K          7     847312        3             23          1 
323711.0       3624624K         12 3669978752       76             12         62 
323711.1       3566688K          1 3631279786       50              0         48 
323711.2       3576137K          2 3642668373       60              1         52 
323711.3       3606154K          0 3664203093       62              1         56 
323711.4       3556768K          1   3554894K       61              0         56 
323711.5       3607555K          2 3679896917       54              0         46 
323711.6       3666639K          0 3705935189       60              2         56 
323711.7       3634071K          2   3591983K       62              2         59 
323711.8       3587348K          0   3552316K       53              0         49 
323711.9       3581403K          2 3644296533       63              0         57 
323711.10      3589214K          0 3652552021       64              2         59 
323711.11      3652626K          2 3689616725       57              2         53 
323711.12      3607537K          1 3665732266       59              1         52 
323711.13      3570726K          0   3556351K       64              0         53 
323711.14      3627179K          2   3583952K       54              2         51 
323711.15      3554735K          1 3621028522       62              0         55 
323711.16      3639552K          1 3682105002       57              1         52 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323711                                                                                                
323711.batch       15.13M               0         15.13M       21.41M                0         21.41M 
323711.exte+        0.00M              60          0.00M            0               60              0 
323711.0         1101.12M               3       1074.40M       79.20M                0         70.51M 
323711.1         1086.94M               1       1078.12M       66.72M                2         66.72M 
323711.2         1074.49M               0       1068.24M       66.72M                1         66.72M 
323711.3         1070.07M               0        674.41M       66.72M                1         66.72M 
323711.4         1116.41M               0       1090.89M       66.72M                2         66.72M 
323711.5         1082.93M               0       1073.70M       66.72M                0         66.72M 
323711.6         1073.57M               2       1066.17M       66.72M                2         66.72M 
323711.7         1100.07M               2       1083.40M       66.72M                1         66.72M 
323711.8         1088.37M               1       1081.71M       66.72M                0         66.72M 
323711.9         1067.92M               1       1065.95M       66.72M                1         66.72M 
323711.10        1067.47M               2       1064.49M       66.72M                1         66.72M 
323711.11        1069.27M               1       1066.54M       66.72M                2         66.72M 
323711.12        1090.94M               1       1078.95M       66.72M                2         66.72M 
323711.13        1113.09M               1       1102.09M       66.72M                2         66.72M 
323711.14        1079.06M               1       1069.42M       66.72M                2         66.72M 
323711.15        1080.09M               2       1073.65M       66.72M                0         66.72M 
323711.16        1115.12M               0       1083.95M       66.72M                2         66.72M 

Job 323711 completed at Wed Mar 30 04:40:58 CEST 2022
