Starting job 311615 on b[1109,1114-1117,1127-1133,1153-1163,3150-3152,3280-3284,3286-3288,3290,3292-3296,4249-4252,4269-4272,4279-4282,5223-5228,5240-5244,5248] at Tue Mar 15 11:19:39 CET 2022

start running log_Zn64_gs8_j10p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311615               5p       8192                                             00:02:47      0:0 
311615.batch      batch        128        1   00:00:00          0   00:00:00   00:02:47      0:0 
311615.exte+     extern       8192       64   00:00:00         60   00:00:00   00:02:47      0:0 
311615.0     hydra_bst+       2048       16   07:09:03          3   10:09:17   00:02:45      0:0 
311615.1     hydra_bst+        384        3   10:09:48          2   10:29:56   00:02:44      0:0 
311615.2     hydra_bst+        384        3   10:41:11          1   10:41:13   00:02:44      0:0 
311615.3     hydra_bst+        384        3   10:40:02          2   10:40:14   00:02:44      0:0 
311615.4     hydra_bst+        384        3   10:40:14          1   10:40:15   00:02:44      0:0 
311615.5     hydra_bst+        384        3   10:40:13          1   10:40:17   00:02:44      0:0 
311615.6     hydra_bst+        384        3   10:40:12          1   10:40:17   00:02:44      0:0 
311615.7     hydra_bst+        384        3   07:39:04          0   09:39:45   00:02:44      0:0 
311615.8     hydra_bst+        384        3   10:40:00          2   10:40:07   00:02:44      0:0 
311615.9     hydra_bst+        384        3   10:41:17          0   10:41:21   00:02:44      0:0 
311615.10    hydra_bst+        384        3   10:40:57          2   10:41:15   00:02:44      0:0 
311615.11    hydra_bst+        384        3   10:40:06          0   10:40:14   00:02:44      0:0 
311615.12    hydra_bst+        384        3   10:39:55          2   10:40:08   00:02:44      0:0 
311615.13    hydra_bst+        384        3   07:43:40          1   08:45:41   00:02:44      0:0 
311615.14    hydra_bst+        384        3   10:40:03          1   10:40:11   00:02:44      0:0 
311615.15    hydra_bst+        384        3   10:40:16          1   10:40:21   00:02:44      0:0 
311615.16    hydra_bst+        384        3   08:07:28          0   09:50:30   00:02:44      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311615                                                                           
311615.batch      8753K          0      8753K       11              0         11 
311615.exte+       845K         18     834336        3             63          1 
311615.0       2572925K          0 2341370496       65              4         56 
311615.1       2498633K          0 2519502165       53              1         47 
311615.2       2546208K          0   2404687K       47              2         46 
311615.3       2641948K          2 2536900949       48              0         46 
311615.4       2829021K          2 2656437589       48              1         43 
311615.5       2557153K          1   2427975K       55              1         48 
311615.6       2641597K          0   2605648K       50              0         46 
311615.7       2582920K          1   2493813K       53              1         48 
311615.8       2566744K          1 2624698026       47              0         45 
311615.9       2887309K          2 2588638890       50              1         47 
311615.10      2569043K          0   2483921K       44              0         42 
311615.11      2740193K          1   2627526K       53              1         49 
311615.12      2565420K          0 2509423957       52              2         46 
311615.13      2784603K          1 2713180842       54              2         48 
311615.14      2565515K          0 2532081322       48              0         46 
311615.15      2771108K          0   2598016K       50              2         43 
311615.16      2327745K          2 2318417237       46              1         42 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311615                                                                                                
311615.batch       11.85M               0         11.85M       18.04M                0         18.04M 
311615.exte+        0.00M              60          0.00M            0               60              0 
311615.0           47.82M               0         46.85M      102.22M               11         93.43M 
311615.1           45.25M               0         45.22M       99.95M                2         96.14M 
311615.2           45.17M               1         45.17M       66.72M                2         66.72M 
311615.3           45.18M               0         45.17M       95.78M                2         94.85M 
311615.4           45.21M               2         45.21M      103.45M                2         99.43M 
311615.5           45.21M               0         45.21M      100.28M                1         98.29M 
311615.6           45.21M               2         45.21M       97.03M                1         95.91M 
311615.7           45.18M               0         45.18M      103.73M                1         98.95M 
311615.8           45.21M               1         45.19M       94.64M                0         93.61M 
311615.9           45.17M               1         45.17M       66.72M                2         66.72M 
311615.10          45.17M               0         45.17M       66.72M                0         66.72M 
311615.11          45.25M               2         45.25M      113.07M                1        104.43M 
311615.12          45.18M               0         45.18M       92.96M                1         92.50M 
311615.13          45.21M               0         45.21M       98.38M                1         96.62M 
311615.14          45.21M               0         45.21M      102.18M                0         97.68M 
311615.15          45.22M               0         45.22M       96.14M                0         93.77M 
311615.16          45.21M               1         45.20M      104.77M                2        103.65M 

Job 311615 completed at Tue Mar 15 11:22:27 CET 2022
