Starting job 311616 on b[1109,1114-1117,1127-1133,1153-1163,3150-3152,3280-3284,3286-3288,3290,3292-3296,4249-4252,4269-4272,4279-4282,5223-5228,5240-5244,5248] at Tue Mar 15 11:22:36 CET 2022

start running log_Zn64_gs8_j12n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311616               6n       8192                                             00:45:56      0:0 
311616.batch      batch        128        1   00:00:01          0   00:00:01   00:45:56      0:0 
311616.exte+     extern       8192       64   00:00:00         63   00:00:00   00:45:56      0:0 
311616.0     hydra_bst+       2048       16 4-17:54:23         11 7-16:19:29   00:45:54      0:0 
311616.1     hydra_bst+        384        3 4-23:03:16          0 6-20:02:18   00:45:54      0:0 
311616.2     hydra_bst+        384        3 5-01:59:55          2 6-01:51:51   00:45:53      0:0 
311616.3     hydra_bst+        384        3 5-00:55:37          0 6-22:21:47   00:45:53      0:0 
311616.4     hydra_bst+        384        3 7-21:05:02          1 7-21:05:44   00:45:53      0:0 
311616.5     hydra_bst+        384        3 7-21:06:03          1 7-21:06:59   00:45:53      0:0 
311616.6     hydra_bst+        384        3 4-23:59:59          0 6-22:03:04   00:45:53      0:0 
311616.7     hydra_bst+        384        3 7-21:06:17          1 7-21:07:41   00:45:53      0:0 
311616.8     hydra_bst+        384        3 7-21:08:25          0 7-21:11:06   00:45:53      0:0 
311616.9     hydra_bst+        384        3 5-04:08:13          1 6-23:27:43   00:45:53      0:0 
311616.10    hydra_bst+        384        3 7-21:06:53          2 7-21:07:43   00:45:53      0:0 
311616.11    hydra_bst+        384        3 7-21:03:42          1 7-21:05:26   00:45:53      0:0 
311616.12    hydra_bst+        384        3 7-20:44:48          0 7-20:55:10   00:45:53      0:0 
311616.13    hydra_bst+        384        3 7-21:05:18          1 7-21:06:25   00:45:53      0:0 
311616.14    hydra_bst+        384        3 5-01:34:58          2 6-22:35:44   00:45:53      0:0 
311616.15    hydra_bst+        384        3 7-21:02:29          1 7-21:05:00   00:45:53      0:0 
311616.16    hydra_bst+        384        3 7-21:06:05          1 7-21:06:14   00:45:53      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311616                                                                           
311616.batch      8761K          0      8761K       11              0         11 
311616.exte+       843K         34     856208        3             63          1 
311616.0      13569369K          3 137578804+       72             12         65 
311616.1      13649065K          2 139141451+       57              1         53 
311616.2      13463852K          2 137530426+       55              2         52 
311616.3      13498669K          0 137652995+       60              1         51 
311616.4      13412932K          2 136536763+       58              0         52 
311616.5      13517579K          2  13443076K       54              2         51 
311616.6      13509629K          1  13419573K       53              0         46 
311616.7      13532569K          1 138259042+       57              0         50 
311616.8      13455706K          0 137445696+       63              1         62 
311616.9      13544001K          2 137969087+       58              0         55 
311616.10     13432078K          2  13387689K       61              1         55 
311616.11     13615765K          2  13515737K       57              2         53 
311616.12     13503962K          0  13470838K       61              2         56 
311616.13     13605929K          0 138007381+       58              1         55 
311616.14     13503025K          2 137990792+       59              1         58 
311616.15     13448507K          1 137479120+       60              2         54 
311616.16     13577588K          2 137294574+       59              2         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311616                                                                                                
311616.batch       15.57M               0         15.57M       21.70M                0         21.70M 
311616.exte+        0.00M              63          0.00M            0               63              0 
311616.0           52.49M               0         48.17M     2054.63M               14       1961.02M 
311616.1           46.26M               1         46.25M     2077.50M                1       2018.13M 
311616.2           46.30M               0         46.29M     1993.08M                0       1955.20M 
311616.3           46.30M               2         46.30M     1983.47M                1       1968.01M 
311616.4           46.31M               2         46.30M     2065.48M                1       2013.49M 
311616.5           46.29M               1         46.28M     1980.36M                1       1951.30M 
311616.6           46.36M               2         46.35M     1982.25M                1       1954.13M 
311616.7           46.32M               2         46.31M     1980.08M                0       1954.08M 
311616.8           46.30M               0         46.29M     1932.90M                0        930.46M 
311616.9           46.30M               2         46.30M     1979.71M                1       1964.22M 
311616.10          46.28M               1         46.28M     2038.59M                2       2037.00M 
311616.11          46.33M               1         46.32M     1946.44M                2       1939.32M 
311616.12          46.29M               2         46.29M     1990.74M                1       1959.28M 
311616.13          46.34M               0         46.33M     2008.38M                0       1969.22M 
311616.14          46.30M               2         46.30M     1966.67M                0       1950.15M 
311616.15          46.33M               0         46.32M     2011.34M                1       1966.05M 
311616.16          46.33M               2         46.33M     2008.83M                1       1988.53M 

Job 311616 completed at Tue Mar 15 12:08:33 CET 2022
