Starting job 311618 on b[1109,1114-1117,1127-1133,1153-1163,3280-3284,3286-3288,3290,3292-3296,3318-3320,4249-4252,4269-4272,4279-4282,5223-5228,5240-5244,5248] at Tue Mar 15 12:08:40 CET 2022

start running log_Zn64_gs8_j12p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311618               6p       8192                                             00:02:48      0:0 
311618.batch      batch        128        1   00:00:00          0   00:00:00   00:02:48      0:0 
311618.exte+     extern       8192       64   00:00:00         63   00:00:00   00:02:49      0:0 
311618.0     hydra_bst+       2048       16   07:50:54          3   10:02:49   00:02:46      0:0 
311618.1     hydra_bst+        384        3   10:21:44          2   10:42:05   00:02:45      0:0 
311618.2     hydra_bst+        384        3   10:51:53          1   10:52:13   00:02:45      0:0 
311618.3     hydra_bst+        384        3   10:51:57          1   10:52:17   00:02:45      0:0 
311618.4     hydra_bst+        384        3   10:52:13          2   10:52:32   00:02:45      0:0 
311618.5     hydra_bst+        384        3   10:52:15          0   10:52:29   00:02:45      0:0 
311618.6     hydra_bst+        384        3   10:52:25          1   10:52:27   00:02:45      0:0 
311618.7     hydra_bst+        384        3   10:52:24          0   10:52:33   00:02:45      0:0 
311618.8     hydra_bst+        384        3   10:52:11          0   10:52:28   00:02:45      0:0 
311618.9     hydra_bst+        384        3   08:47:45          0   10:11:04   00:02:45      0:0 
311618.10    hydra_bst+        384        3   08:33:04          1   10:06:06   00:02:45      0:0 
311618.11    hydra_bst+        384        3   08:16:22          0   10:00:19   00:02:45      0:0 
311618.12    hydra_bst+        384        3   08:03:52          1   09:56:23   00:02:45      0:0 
311618.13    hydra_bst+        384        3   08:19:10          1   10:01:32   00:02:45      0:0 
311618.14    hydra_bst+        384        3   10:52:17          0   10:52:32   00:02:45      0:0 
311618.15    hydra_bst+        384        3   08:12:31          2   09:11:40   00:02:45      0:0 
311618.16    hydra_bst+        384        3   08:28:22          0   10:04:19   00:02:45      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311618                                                                           
311618.batch      8685K          0      8685K       11              0         11 
311618.exte+       844K          1     857760        3             63          1 
311618.0       2526410K          0 2254731712       70              2         57 
311618.1       2468143K          0 2503685802       52              1         46 
311618.2       2514987K          2 2443633322       48              1         44 
311618.3       2487727K          0 2353073834       52              0         46 
311618.4       2660192K          0 2660862634       58              2         51 
311618.5       2677720K          0   2607420K       54              0         51 
311618.6       2654604K          2   2410870K       57              2         53 
311618.7       2502499K          2 2446763349       53              2         50 
311618.8       2587524K          1 2547113301       52              2         51 
311618.9       2179823K          2   2159249K       55              2         49 
311618.10      2489146K          0 2523367082       50              1         46 
311618.11      2674015K          2 2669565610       46              0         43 
311618.12      2662568K          1   2588164K       46              0         44 
311618.13      2851440K          1   2779560K       52              1         48 
311618.14      2645723K          1   2609431K       52              2         48 
311618.15      2847927K          2 2840568490       53              2         47 
311618.16      2960371K          1   2670362K       52              0         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311618                                                                                                
311618.batch       11.73M               0         11.73M       18.05M                0         18.05M 
311618.exte+        0.00M              63          0.00M            0               63              0 
311618.0           47.83M               0         46.85M       86.05M                2         80.92M 
311618.1           45.24M               0         45.21M       84.49M                2         82.72M 
311618.2           45.21M               1         45.21M       84.38M                2         82.57M 
311618.3           45.17M               2         45.17M       81.95M                1         81.02M 
311618.4           45.17M               1         45.17M       66.72M                2         66.72M 
311618.5           45.22M               1         45.21M       89.52M                1         86.94M 
311618.6           45.17M               1         45.17M       83.63M                2         81.36M 
311618.7           45.21M               0         45.19M       86.75M                1         84.22M 
311618.8           45.17M               0         45.17M       80.37M                0         74.64M 
311618.9           45.19M               0         45.18M       83.43M                0         82.30M 
311618.10          45.17M               2         45.17M       66.72M                2         66.72M 
311618.11          45.18M               1         45.18M       87.15M                1         85.44M 
311618.12          45.17M               0         45.17M       66.72M                2         66.72M 
311618.13          45.19M               0         45.19M       81.10M                1         80.95M 
311618.14          45.20M               0         45.18M       84.42M                0         81.83M 
311618.15          45.18M               1         45.17M       86.08M                0         83.03M 
311618.16          45.22M               1         45.21M       83.02M                1         82.03M 

Job 311618 completed at Tue Mar 15 12:11:29 CET 2022
