Starting job 311620 on b[1109,1114-1117,1127-1133,1153-1154,3280-3284,3286-3288,3290,3292-3296,4249-4252,4269-4272,4279-4282,4337-4348,5223-5228,5240-5244,5248] at Tue Mar 15 12:11:40 CET 2022

start running log_Zn64_gs8_j14p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311620               7p       8192                                             00:02:28      0:0 
311620.batch      batch        128        1   00:00:00          0   00:00:00   00:02:28      0:0 
311620.exte+     extern       8192       64   00:00:00         61   00:00:00   00:02:28      0:0 
311620.0     hydra_bst+       2048       16   05:54:46         14   08:00:14   00:02:25      0:0 
311620.1     hydra_bst+        384        3   04:54:12          0   06:13:59   00:02:24      0:0 
311620.2     hydra_bst+        384        3   06:04:29          1   06:55:27   00:02:24      0:0 
311620.3     hydra_bst+        384        3   05:38:20          1   07:34:35   00:02:24      0:0 
311620.4     hydra_bst+        384        3   08:31:11          1   08:33:05   00:02:24      0:0 
311620.5     hydra_bst+        384        3   08:34:21          1   08:34:30   00:02:24      0:0 
311620.6     hydra_bst+        384        3   08:34:00          1   08:34:06   00:02:24      0:0 
311620.7     hydra_bst+        384        3   08:34:33          1   08:34:44   00:02:24      0:0 
311620.8     hydra_bst+        384        3   06:18:16          0   07:48:33   00:02:24      0:0 
311620.9     hydra_bst+        384        3   08:32:38          1   08:33:31   00:02:24      0:0 
311620.10    hydra_bst+        384        3   06:16:54          0   07:47:43   00:02:24      0:0 
311620.11    hydra_bst+        384        3   08:32:40          1   08:32:53   00:02:24      0:0 
311620.12    hydra_bst+        384        3   06:08:46          2   07:45:14   00:02:24      0:0 
311620.13    hydra_bst+        384        3   05:50:38          2   07:38:13   00:02:24      0:0 
311620.14    hydra_bst+        384        3   08:32:26          0   08:33:48   00:02:24      0:0 
311620.15    hydra_bst+        384        3   08:32:52          1   08:33:37   00:02:24      0:0 
311620.16    hydra_bst+        384        3   08:31:49          1   08:32:45   00:02:24      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311620                                                                           
311620.batch      8765K          0      8765K       11              0         11 
311620.exte+       845K         58     846288        3             63          1 
311620.0       2504041K          0 2287816384       66             12         55 
311620.1       2337568K          2 2384112981       53              2         48 
311620.2       2539772K          1   2371963K       48              2         42 
311620.3       2327215K          2   2246067K       53              1         48 
311620.4       2388240K          1 2382554794       46              1         42 
311620.5       2483519K          2 2408321365       53              0         49 
311620.6       2545653K          0 2489893546       47              2         43 
311620.7       2472167K          1   2328074K       52              2         47 
311620.8       2604408K          1   2482641K       52              2         45 
311620.9       2646876K          2 2443266389       50              1         45 
311620.10      2360.50M          0 2418228565       50              2         49 
311620.11      2094597K          1   2085742K       56              1         47 
311620.12      2095167K          1 2137305429       52              2         45 
311620.13      2086204K          1 2132139349       58              0         49 
311620.14      2096436K          0   2089184K       53              2         51 
311620.15      2088347K          2 2137739946       50              0         46 
311620.16      2091477K          0 2139316906       50              2         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311620                                                                                                
311620.batch       11.84M               0         11.84M       18.03M                0         18.03M 
311620.exte+        0.00M              61          0.00M            0               61              0 
311620.0           47.80M               0         46.87M       95.67M               10         85.98M 
311620.1           45.20M               0         45.18M       90.36M                2         87.18M 
311620.2           45.17M               2         45.17M       66.72M                0         66.72M 
311620.3           45.17M               1         45.17M       92.18M                1         88.04M 
311620.4           45.17M               0         45.17M       90.25M                0         85.95M 
311620.5           45.18M               2         45.18M       66.72M                2         66.72M 
311620.6           45.17M               1         45.17M       86.86M                2         84.98M 
311620.7           45.17M               0         45.17M       66.72M                1         66.72M 
311620.8           45.20M               1         45.19M       97.91M                0         93.66M 
311620.9           45.20M               1         45.19M       88.58M                2         86.52M 
311620.10          45.18M               1         45.18M       89.59M                2         86.49M 
311620.11          45.21M               0         45.20M       88.17M                0         86.26M 
311620.12          45.18M               1         45.18M       85.70M                0         84.84M 
311620.13          45.18M               1         45.18M       88.20M                2         86.29M 
311620.14          45.17M               2         45.17M       80.46M                0         71.30M 
311620.15          45.18M               0         45.18M       90.48M                0         87.25M 
311620.16          45.17M               2         45.17M       94.99M                1         88.87M 

Job 311620 completed at Tue Mar 15 12:14:09 CET 2022
