Starting job 311778 on b[2102-2104,2113-2115,2131-2133,2351,2364,2368,2373,2375,2392,2394,2396,3149-3152,3165-3168,3309-3310,3312,3358-3359,3366-3369,3382-3394,3396,4349-4352,4361-4366,4368-4373] at Tue Mar 15 17:17:18 CET 2022

start running log_Zn64_gs8_tr_j0p_j2p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311778             0p2p       8192                                             00:04:49      0:0 
311778.batch      batch        128        1   00:00:00          0   00:00:00   00:04:49      0:0 
311778.exte+     extern       8192       64   00:00:00         60   00:00:00   00:04:49      0:0 
311778.0     hydra_bst+       2048       16   14:59:33         13   17:55:10   00:04:47      0:0 
311778.1     hydra_bst+        384        3   18:09:21          0   18:09:48   00:04:46      0:0 
311778.2     hydra_bst+        384        3   15:07:47          2   17:11:21   00:04:46      0:0 
311778.3     hydra_bst+        384        3   18:03:59          2   18:04:21   00:04:46      0:0 
311778.4     hydra_bst+        384        3   15:24:30          1   17:15:03   00:04:46      0:0 
311778.5     hydra_bst+        384        3   18:09:21          1   18:09:46   00:04:46      0:0 
311778.6     hydra_bst+        384        3   18:11:04          2   18:11:33   00:04:46      0:0 
311778.7     hydra_bst+        384        3   18:05:39          2   18:05:53   00:04:46      0:0 
311778.8     hydra_bst+        384        3   18:12:49          1   18:13:17   00:04:46      0:0 
311778.9     hydra_bst+        384        3   15:16:35          1   17:13:26   00:04:46      0:0 
311778.10    hydra_bst+        384        3   15:11:42          1   17:11:18   00:04:46      0:0 
311778.11    hydra_bst+        384        3   17:30:00          1   17:57:13   00:04:46      0:0 
311778.12    hydra_bst+        384        3   18:09:30          2   18:10:15   00:04:46      0:0 
311778.13    hydra_bst+        384        3   18:09:28          2   18:10:36   00:04:46      0:0 
311778.14    hydra_bst+        384        3   18:09:52          1   18:10:27   00:04:46      0:0 
311778.15    hydra_bst+        384        3   18:09:11          0   18:10:01   00:04:46      0:0 
311778.16    hydra_bst+        384        3   18:05:15          1   18:05:31   00:04:46      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311778                                                                           
311778.batch      8871K          0      8871K       11              0         11 
311778.exte+       853K         27     836272        3             34          1 
311778.0       1946061K          5 1968591744       65              2         55 
311778.1       1920455K          0 1960842922       58              0         50 
311778.2       1910264K          1 1950484138       55              2         52 
311778.3       1923834K          2   1920399K       45              0         44 
311778.4       1925887K          2 1966901589       53              0         46 
311778.5       1932454K          2 1968757077       48              1         44 
311778.6       1923435K          2 1968371029       52              0         48 
311778.7       1915104K          2 1956661589       55              0         48 
311778.8       1919656K          2   1909631K       52              2         45 
311778.9       1927948K          2 1967703722       48              0         44 
311778.10      1928350K          0 1967782229       53              1         50 
311778.11      1932746K          1 1967197525       55              0         50 
311778.12      1923314K          1 1963763029       52              1         48 
311778.13      1921654K          1 1963794773       51              1         48 
311778.14      1932160K          2 1960104618       53              2         49 
311778.15      1909125K          2 1952922965       50              1         48 
311778.16      1926799K          2 1966167381       55              2         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311778                                                                                                
311778.batch       10.63M               0         10.63M       16.95M                0         16.95M 
311778.exte+        0.00M              60          0.00M            0               60              0 
311778.0          201.39M              11        157.46M       69.94M                0         69.93M 
311778.1          193.43M               2        178.77M       66.72M                1         66.72M 
311778.2          233.49M               1        197.69M       66.72M                2         66.72M 
311778.3           55.09M               0         46.74M       66.72M                0         66.72M 
311778.4          173.03M               0        165.80M       66.72M                2         66.72M 
311778.5          196.24M               2        187.24M       66.72M                1         66.72M 
311778.6          186.92M               0        174.39M       66.72M                0         66.72M 
311778.7           42.57M               1         42.57M       66.72M                0         66.72M 
311778.8          164.32M               0        160.17M       66.72M                0         66.72M 
311778.9          170.00M               0        165.58M       66.72M                0         66.72M 
311778.10         180.58M               1        170.23M       66.72M                0         66.72M 
311778.11         156.78M               2        155.69M       66.72M                0         66.72M 
311778.12         180.64M               2        174.67M       66.72M                2         66.72M 
311778.13         192.10M               1        182.39M       66.72M                1         66.72M 
311778.14         181.81M               1        176.33M       66.72M                2         66.72M 
311778.15         196.35M               1        187.97M       66.72M                1         66.72M 
311778.16          42.57M               2         42.57M       66.72M                0         66.72M 

Job 311778 completed at Tue Mar 15 17:22:08 CET 2022
