Starting job 311797 on b[1368,1374-1375,1377-1379,1381,1384-1385,1387-1388,1392-1393,3101-3104,3111-3112,3114,3116,3134,3136-3137,3140,3143-3145,3148-3152,3157-3168,4311-4312,4337-4348,4366,4368-4371] at Tue Mar 15 18:40:32 CET 2022

start running log_Zn64_gs8_tr_j0p_j4p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311797             0p4p       8192                                             00:03:41      0:0 
311797.batch      batch        128        1   00:00:00          0   00:00:00   00:03:41      0:0 
311797.exte+     extern       8192       64   00:00:00         61   00:00:00   00:03:41      0:0 
311797.0     hydra_bst+       2048       16   10:28:34          1   13:01:36   00:03:38      0:0 
311797.1     hydra_bst+        384        3   13:23:23          1   13:23:40   00:03:37      0:0 
311797.2     hydra_bst+        384        3   10:49:28          1   11:48:29   00:03:37      0:0 
311797.3     hydra_bst+        384        3   13:25:30          1   13:25:55   00:03:37      0:0 
311797.4     hydra_bst+        384        3   13:25:09          2   13:25:44   00:03:37      0:0 
311797.5     hydra_bst+        384        3   13:23:54          0   13:24:49   00:03:37      0:0 
311797.6     hydra_bst+        384        3   13:25:27          0   13:26:08   00:03:37      0:0 
311797.7     hydra_bst+        384        3   13:25:21          1   13:25:53   00:03:37      0:0 
311797.8     hydra_bst+        384        3   13:21:21          2   13:21:29   00:03:37      0:0 
311797.9     hydra_bst+        384        3   13:26:01          1   13:26:14   00:03:37      0:0 
311797.10    hydra_bst+        384        3   10:47:52          2   12:33:03   00:03:37      0:0 
311797.11    hydra_bst+        384        3   10:32:46          1   12:25:29   00:03:37      0:0 
311797.12    hydra_bst+        384        3   11:06:10          0   12:39:03   00:03:37      0:0 
311797.13    hydra_bst+        384        3   13:25:34          1   13:25:58   00:03:37      0:0 
311797.14    hydra_bst+        384        3   13:21:06          0   13:21:43   00:03:37      0:0 
311797.15    hydra_bst+        384        3   13:23:59          2   13:25:00   00:03:37      0:0 
311797.16    hydra_bst+        384        3   10:32:44          2   12:27:59   00:03:37      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311797                                                                           
311797.batch      8863K          0      8863K       11              0         11 
311797.exte+       849K         17    827.50K        3             32          1 
311797.0       1929112K          7 1957490624       62              2         54 
311797.1       1915126K          2   1905820K       51              1         44 
311797.2       1916312K          2   1907250K       47              0         44 
311797.3       1922756K          2   1911172K       49              1         48 
311797.4       1909660K          2 1950724437       53              2         50 
311797.5       1910156K          1 1948921514       57              0         49 
311797.6       1913686K          2 1953599829       46              0         40 
311797.7       1912968K          0   1906473K       45              0         43 
311797.8       1919910K          0 1963986602       49              2         47 
311797.9       1909565K          2 1952843093       52              1         46 
311797.10      1906677K          2 1943408298       54              0         46 
311797.11      1918543K          1 1956301482       54              2         50 
311797.12      1905742K          2 1939606186       56              1         51 
311797.13      1909378K          1   1905062K       41              2         40 
311797.14      1903410K          2 1947869866       60              1         52 
311797.15      1917980K          2 1961406122       48              0         47 
311797.16      1917431K          1 1959792298       56              1         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311797                                                                                                
311797.batch       10.59M               0         10.59M       16.95M                0         16.95M 
311797.exte+        0.00M              61          0.00M            0               61              0 
311797.0          197.23M              11        152.84M       69.94M                0         69.93M 
311797.1          190.49M               2        175.41M       66.72M                1         66.72M 
311797.2          193.49M               1        184.79M       66.72M                0         66.72M 
311797.3          183.61M               0        171.66M       66.72M                0         66.72M 
311797.4          175.73M               2        173.14M       66.72M                1         66.72M 
311797.5          158.23M               0        156.08M       66.72M                1         66.72M 
311797.6          177.44M               2        173.44M       66.72M                1         66.72M 
311797.7          192.26M               1        186.36M       66.72M                2         66.72M 
311797.8           42.57M               2         42.57M       66.72M                2         66.72M 
311797.9          166.54M               0        162.03M       66.72M                0         66.72M 
311797.10         153.71M               2        152.45M       66.72M                2         66.72M 
311797.11          42.57M               2         42.57M       66.72M                0         66.72M 
311797.12         228.98M               1        193.04M       66.72M                1         66.72M 
311797.13         172.60M               1        164.52M       66.72M                2         66.72M 
311797.14          42.57M               0         42.57M       66.72M                2         66.72M 
311797.15         190.94M               1        176.98M       66.72M                0         66.72M 
311797.16         167.59M               0        161.71M       66.72M                2         66.72M 

Job 311797 completed at Tue Mar 15 18:44:13 CET 2022
