Starting job 311798 on b[1368,1374-1375,1377-1379,1381,1384-1385,1387-1388,1392-1393,3101-3104,3111-3112,3114,3116,3134,3136-3137,3140,3143-3145,3148-3152,3157-3168,4311-4312,4337-4348,4366,4368-4371] at Tue Mar 15 18:47:11 CET 2022

start running log_Zn64_gs8_tr_j0p_j2n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311798             0p2n       8192                                             00:30:31      0:0 
311798.batch      batch        128        1   00:00:00          0   00:00:00   00:30:31      0:0 
311798.exte+     extern       8192       64   00:00:00         62   00:00:00   00:30:31      0:0 
311798.0     hydra_bst+       2048       16 3-03:47:19          6 4-18:34:55   00:30:28      0:0 
311798.1     hydra_bst+        384        3 5-02:15:04          1 5-02:17:04   00:30:28      0:0 
311798.2     hydra_bst+        384        3 3-11:54:35          1 4-13:32:16   00:30:28      0:0 
311798.3     hydra_bst+        384        3 5-00:52:05          2 5-01:42:18   00:30:28      0:0 
311798.4     hydra_bst+        384        3 5-02:11:16          2 5-02:18:22   00:30:28      0:0 
311798.5     hydra_bst+        384        3 1-22:01:12          2 4-00:53:01   00:30:28      0:0 
311798.6     hydra_bst+        384        3 2-02:57:56          0 4-02:33:16   00:30:28      0:0 
311798.7     hydra_bst+        384        3 3-09:38:01          1 4-12:42:49   00:30:28      0:0 
311798.8     hydra_bst+        384        3 3-04:07:08          2 3-20:49:01   00:30:28      0:0 
311798.9     hydra_bst+        384        3 1-21:57:14          1 4-00:51:54   00:30:28      0:0 
311798.10    hydra_bst+        384        3 5-02:17:30          1 5-02:18:24   00:30:28      0:0 
311798.11    hydra_bst+        384        3 3-05:28:52          0 3-23:22:07   00:30:28      0:0 
311798.12    hydra_bst+        384        3 5-02:16:46          1 5-02:19:09   00:30:28      0:0 
311798.13    hydra_bst+        384        3 1-22:16:20          2 4-00:57:00   00:30:28      0:0 
311798.14    hydra_bst+        384        3 1-21:04:40          2 4-00:31:30   00:30:28      0:0 
311798.15    hydra_bst+        384        3 2-02:39:07          2 4-02:27:10   00:30:28      0:0 
311798.16    hydra_bst+        384        3 5-02:19:31          2 5-02:21:26   00:30:28      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311798                                                                           
311798.batch      8855K          0      8855K       11              0         11 
311798.exte+       851K         17     859392        3             32          1 
311798.0       7169999K          9 7099678.5+       76              4         63 
311798.1       7150624K          2   7132807K       57              0         54 
311798.2       7185057K          2 7325209941       61              2         56 
311798.3       7162193K          0 7299937621       60              0         57 
311798.4       7225041K          2 7331303765       60              2         55 
311798.5       7191839K          1 7287449258       63              1         54 
311798.6       7197416K          2   7191831K       67              1         57 
311798.7       7148180K          1   7125464K       62              0         60 
311798.8       7245651K          0   7169328K       56              0         55 
311798.9       7199950K          0 7303318869       64              2         59 
311798.10      7186599K          2   7146566K       67              0         57 
311798.11      7201843K          0   7173728K       63              0         57 
311798.12      7216947K          2 7328811349       55              0         49 
311798.13      7178791K          0   7116987K       64              0         58 
311798.14      7198851K          2   7146717K       64              1         62 
311798.15      7138817K          0 7276036437       54              0         51 
311798.16      7143027K          1 7281764010       64              0         61 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311798                                                                                                
311798.batch       15.47M               0         15.47M       21.42M                0         21.42M 
311798.exte+        0.00M              62          0.00M            0               62              0 
311798.0         4089.47M              14       3896.82M       69.94M                0         69.93M 
311798.1         4073.38M               1       3968.66M       66.72M                1         66.72M 
311798.2         4011.37M               1       3949.05M       66.72M                0         66.72M 
311798.3         3791.54M               0       2121.34M       66.72M                0         66.72M 
311798.4         4009.06M               2       3950.61M       66.72M                2         66.72M 
311798.5         3843.50M               1       3835.36M       66.72M                2         66.72M 
311798.6         3986.10M               1       3953.19M       66.72M                0         66.72M 
311798.7         4019.59M               1       3949.66M       66.72M                0         66.72M 
311798.8         3956.85M               1       3929.16M       66.72M                0         66.72M 
311798.9         4093.12M               1       4011.85M       66.72M                2         66.72M 
311798.10        4014.45M               1       3938.98M       66.72M                1         66.72M 
311798.11        3916.09M               0       3850.47M       66.72M                2         66.72M 
311798.12        3915.68M               0       3883.48M       66.72M                2         66.72M 
311798.13        3921.71M               0       3887.22M       66.72M                0         66.72M 
311798.14        3952.97M               1       3914.54M       66.72M                2         66.72M 
311798.15        3882.30M               0       3876.30M       66.72M                1         66.72M 
311798.16        3888.35M               1       3879.75M       66.72M                2         66.72M 

Job 311798 completed at Tue Mar 15 19:17:43 CET 2022
