Starting job 311810 on b[1117,1127-1133,2102-2104,2113-2115,2131-2133,2174-2181,3388-3394,3396,4372-4373,4379,4383-4384,4386,4390,4393,5120-5121,5123-5124,5126,5131-5133,5227-5228,5240-5244,5248,5250,5261,5263,5274-5277] at Tue Mar 15 19:14:23 CET 2022

start running log_Zn64_gs8_tr_j2p_j4p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311810         Zn64_gs8       8192                                             00:06:26      0:0 
311810.batch      batch        128        1   00:00:00          0   00:00:00   00:06:26      0:0 
311810.exte+     extern       8192       64   00:00:00         62   00:00:00   00:06:26      0:0 
311810.0     hydra_bst+       2048       16   22:56:08         13 1-01:13:35   00:06:23      0:0 
311810.1     hydra_bst+        384        3 1-01:35:35          2 1-01:35:45   00:06:23      0:0 
311810.2     hydra_bst+        384        3   23:13:19          2 1-00:48:31   00:06:23      0:0 
311810.3     hydra_bst+        384        3   23:14:10          2 1-00:48:46   00:06:23      0:0 
311810.4     hydra_bst+        384        3 1-01:35:21          1 1-01:36:10   00:06:23      0:0 
311810.5     hydra_bst+        384        3 1-01:35:53          0 1-01:36:10   00:06:23      0:0 
311810.6     hydra_bst+        384        3 1-01:35:55          0 1-01:36:11   00:06:23      0:0 
311810.7     hydra_bst+        384        3 1-01:33:53          1 1-01:33:59   00:06:23      0:0 
311810.8     hydra_bst+        384        3 1-01:36:34          1 1-01:36:43   00:06:23      0:0 
311810.9     hydra_bst+        384        3 1-01:36:11          0 1-01:36:33   00:06:23      0:0 
311810.10    hydra_bst+        384        3 1-01:35:54          2 1-01:36:04   00:06:23      0:0 
311810.11    hydra_bst+        384        3 1-01:33:54          2 1-01:34:03   00:06:23      0:0 
311810.12    hydra_bst+        384        3 1-01:36:08          0 1-01:36:18   00:06:23      0:0 
311810.13    hydra_bst+        384        3 1-01:36:16          2 1-01:36:24   00:06:23      0:0 
311810.14    hydra_bst+        384        3 1-01:34:07          2 1-01:34:14   00:06:23      0:0 
311810.15    hydra_bst+        384        3 1-01:36:22          2 1-01:36:29   00:06:23      0:0 
311810.16    hydra_bst+        384        3   23:09:39          0 1-00:47:34   00:06:23      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311810                                                                           
311810.batch      9099K          0      9099K       11              0         11 
311810.exte+       853K         21     845344        3             56          1 
311810.0       1942422K          3 1975032384       67             13         58 
311810.1       1929016K          1 1971877546       52              1         50 
311810.2       1939668K          2 1972029781       53              1         50 
311810.3       1927751K          0 1972380330       57              2         55 
311810.4       1932612K          0 1965144746       49              0         47 
311810.5       1932849K          2   1918206K       53              2         50 
311810.6       1930128K          1 1971862186       59              1         54 
311810.7       1940529K          2 1977423189       50              1         47 
311810.8       1922513K          0 1960318293       60              2         51 
311810.9       1926493K          0 1967108778       51              0         50 
311810.10      1921285K          1 1961448106       56              1         51 
311810.11      1922184K          1 1965943466       52              2         49 
311810.12      1920543K          0 1964112554       52              0         49 
311810.13      1913691K          2 1958459050       53              2         48 
311810.14      1945727K          2 1979196074       57              2         54 
311810.15      1916786K          0 1959903914       53              0         49 
311810.16      1936209K          1 1972714837       56              1         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311810                                                                                                
311810.batch       16.09M               0         16.09M       21.42M                0         21.42M 
311810.exte+        0.00M              62          0.00M            0               62              0 
311810.0          200.32M              11        153.29M       79.46M                0         70.52M 
311810.1          191.07M               2        171.48M       66.72M                2         66.72M 
311810.2          189.65M               2        180.55M       66.72M                2         66.72M 
311810.3          166.85M               0        158.79M       66.72M                0         66.72M 
311810.4          186.03M               0        171.31M       66.72M                1         66.72M 
311810.5          175.87M               1        173.44M       66.72M                2         66.72M 
311810.6          187.23M               1        177.02M       66.72M                2         66.72M 
311810.7           55.09M               0         46.74M       66.72M                0         66.72M 
311810.8          228.78M               1        191.43M       66.72M                1         66.72M 
311810.9          160.42M               0        155.56M       66.72M                0         66.72M 
311810.10         169.53M               1        163.42M       66.72M                0         66.72M 
311810.11          42.57M               2         42.57M       66.72M                2         66.72M 
311810.12         174.83M               2        168.53M       66.72M                1         66.72M 
311810.13         190.49M               1        178.41M       66.72M                1         66.72M 
311810.14          42.57M               2         42.57M       66.72M                2         66.72M 
311810.15         152.67M               2        151.14M       66.72M                2         66.72M 
311810.16         163.99M               0        159.93M       66.72M                0         66.72M 

Job 311810 completed at Tue Mar 15 19:20:49 CET 2022
