Starting job 311811 on b[1368,1374-1375,1377-1379,1381,1384-1385,1387-1388,1392-1393,3101-3104,3111-3112,3114,3116,3134,3136-3137,3140,3143-3145,3148-3152,3157-3168,4101-4103,4146-4147,4311-4312,4337-4348] at Tue Mar 15 19:17:48 CET 2022

start running log_Zn64_gs8_tr_j2p_j6p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311811         Zn64_gs8       8192                                             00:03:37      0:0 
311811.batch      batch        128        1   00:00:00          0   00:00:00   00:03:37      0:0 
311811.exte+     extern       8192       64   00:00:00         62   00:00:00   00:03:37      0:0 
311811.0     hydra_bst+       2048       16   11:07:42          6   13:38:08   00:03:35      0:0 
311811.1     hydra_bst+        384        3   13:50:39          1   13:51:04   00:03:33      0:0 
311811.2     hydra_bst+        384        3   13:50:26          1   13:51:33   00:03:33      0:0 
311811.3     hydra_bst+        384        3   10:45:28          0   11:48:05   00:03:33      0:0 
311811.4     hydra_bst+        384        3   13:51:41          1   13:52:17   00:03:33      0:0 
311811.5     hydra_bst+        384        3   10:49:12          2   11:58:00   00:03:33      0:0 
311811.6     hydra_bst+        384        3   13:50:40          0   13:51:29   00:03:33      0:0 
311811.7     hydra_bst+        384        3   13:46:59          2   13:47:16   00:03:33      0:0 
311811.8     hydra_bst+        384        3   11:12:02          0   12:06:59   00:03:33      0:0 
311811.9     hydra_bst+        384        3   13:50:50          1   13:51:30   00:03:33      0:0 
311811.10    hydra_bst+        384        3   10:44:21          2   12:49:33   00:03:33      0:0 
311811.11    hydra_bst+        384        3   13:47:22          2   13:47:34   00:03:33      0:0 
311811.12    hydra_bst+        384        3   10:41:49          2   11:49:16   00:03:33      0:0 
311811.13    hydra_bst+        384        3   13:51:26          1   13:52:05   00:03:33      0:0 
311811.14    hydra_bst+        384        3   10:45:22          1   12:49:32   00:03:33      0:0 
311811.15    hydra_bst+        384        3   10:47:30          1   11:58:52   00:03:33      0:0 
311811.16    hydra_bst+        384        3   13:52:26          0   13:53:22   00:03:33      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311811                                                                           
311811.batch      8867K          0      8867K       11              0         11 
311811.exte+       849K         17     858528        3             19          1 
311811.0       1907878K          5 1942228672       67             13         56 
311811.1       1893853K          0   1888918K       52              1         47 
311811.2       1886615K          2 1929130325       57              1         51 
311811.3       1895497K          2   1890753K       45              2         43 
311811.4       1913521K          0 1948428629       54              0         51 
311811.5       1911828K          0 1949143722       57              0         49 
311811.6       1900194K          1 1942099285       52              2         47 
311811.7       1891012K          1   1888214K       58              1         57 
311811.8       1905262K          2   1895369K       47              2         44 
311811.9       1890266K          1 1933701802       53              2         48 
311811.10      1894616K          0 1938491733       48              2         45 
311811.11      1906798K          0 1944795818       53              1         49 
311811.12      1901273K          1 1942390101       50              2         48 
311811.13      1905000K          1 1940769450       53              2         53 
311811.14      1895785K          0 1934326101       53              0         46 
311811.15      1899953K          0 1941232981       51              1         49 
311811.16      1901844K          0   1896172K       57              0         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311811                                                                                                
311811.batch       10.59M               0         10.59M       16.95M                0         16.95M 
311811.exte+        0.00M              62          0.00M            0               62              0 
311811.0          177.62M               4        145.63M       69.94M                0         69.93M 
311811.1          180.35M               2        165.62M       66.72M                1         66.72M 
311811.2          146.44M               2        145.73M       66.72M                2         66.72M 
311811.3          176.98M               1        174.57M       66.72M                2         66.72M 
311811.4          156.98M               2        153.80M       66.72M                0         66.72M 
311811.5          180.90M               1        169.59M       66.72M                2         66.72M 
311811.6          181.98M               1        173.91M       66.72M                0         66.72M 
311811.7           42.57M               1         42.57M       66.72M                2         66.72M 
311811.8          162.76M               1        160.56M       66.72M                1         66.72M 
311811.9          218.05M               1        189.16M       66.72M                0         66.72M 
311811.10         159.34M               0        152.28M       66.72M                1         66.72M 
311811.11          42.57M               0         42.57M       66.72M                1         66.72M 
311811.12          55.09M               0         46.75M       66.72M                0         66.72M 
311811.13         173.17M               0        160.94M       66.72M                2         66.72M 
311811.14         152.86M               0        149.50M       66.72M                0         66.72M 
311811.15         170.69M               1        162.58M       66.72M                1         66.72M 
311811.16         174.67M               1        168.16M       66.72M                1         66.72M 

Job 311811 completed at Tue Mar 15 19:21:25 CET 2022
