Starting job 311818 on b[1368,1374-1375,1377-1379,1381,1384-1385,1387-1388,1392-1393,2102-2104,2113-2115,2131-2133,2173-2175,3157-3168,4311-4312,4337-4348,4366,4368-4373,4379,4383-4384,4386,4390,4393] at Tue Mar 15 19:40:18 CET 2022

start running log_Zn64_gs8_tr_j2p_j0n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311818         Zn64_gs8       8192                                             00:30:20      0:0 
311818.batch      batch        128        1   00:00:00          0   00:00:00   00:30:20      0:0 
311818.exte+     extern       8192       64   00:00:00         22   00:00:00   00:30:20      0:0 
311818.0     hydra_bst+       2048       16 2-23:39:29          7 4-22:03:58   00:30:17      0:0 
311818.1     hydra_bst+        384        3 5-04:32:38          1 5-04:34:04   00:30:17      0:0 
311818.2     hydra_bst+        384        3 5-04:26:24          2 5-04:28:37   00:30:17      0:0 
311818.3     hydra_bst+        384        3 5-04:27:15          2 5-04:31:08   00:30:17      0:0 
311818.4     hydra_bst+        384        3 2-10:50:33          0 4-06:38:07   00:30:17      0:0 
311818.5     hydra_bst+        384        3 3-13:58:26          2 4-15:41:45   00:30:17      0:0 
311818.6     hydra_bst+        384        3 5-04:30:25          2 5-04:32:33   00:30:17      0:0 
311818.7     hydra_bst+        384        3 5-04:28:15          1 5-04:31:12   00:30:17      0:0 
311818.8     hydra_bst+        384        3 2-14:00:53          1 4-07:43:01   00:30:17      0:0 
311818.9     hydra_bst+        384        3 5-04:29:57          1 5-04:30:23   00:30:17      0:0 
311818.10    hydra_bst+        384        3 5-04:29:10          1 5-04:31:34   00:30:17      0:0 
311818.11    hydra_bst+        384        3 5-04:14:36          2 5-04:15:49   00:30:17      0:0 
311818.12    hydra_bst+        384        3 3-13:52:19          1 4-15:37:41   00:30:17      0:0 
311818.13    hydra_bst+        384        3 2-02:38:57          2 4-03:52:06   00:30:17      0:0 
311818.14    hydra_bst+        384        3 5-04:24:28          1 5-04:29:34   00:30:17      0:0 
311818.15    hydra_bst+        384        3 5-04:13:08          0 5-04:15:49   00:30:17      0:0 
311818.16    hydra_bst+        384        3 5-03:41:45          2 5-04:03:35   00:30:17      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311818                                                                           
311818.batch      8951K          0      8951K       11              0         11 
311818.exte+       845K         32     847088        3              3          1 
311818.0       7040090K          2 7135683776       72              2         64 
311818.1       6974890K          2   6949476K       62              0         55 
311818.2       6976028K          1   6953857K       63              0         60 
311818.3       6968887K          1 7108316501       61              2         52 
311818.4       7020744K          1   6981888K       60              1         55 
311818.5       6980584K          0   6967554K       62              1         57 
311818.6       6997040K          1 7140222634       57              0         53 
311818.7       6934940K          0   6906935K       62              0         53 
311818.8       6986321K          2 7108393301       64              2         57 
311818.9       7002492K          0   6965560K       61              2         59 
311818.10      7029645K          1 7155422890       60              1         57 
311818.11      6949225K          1 7103019690       63              0         60 
311818.12      6975014K          1   6944621K       57              2         53 
311818.13      7053890K          0 7139181909       68              0         58 
311818.14      7069407K          1   6979990K       58              2         53 
311818.15      7000686K          0 7098954410       63              0         56 
311818.16      7063325K          2   6988530K       59              1         56 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311818                                                                                                
311818.batch       10.74M               0         10.74M       16.95M                0         16.95M 
311818.exte+        0.00M              22          0.00M            0               22              0 
311818.0         4109.47M              14       3975.02M       69.94M                0         69.93M 
311818.1         4014.82M               1       3997.36M       66.72M                1         66.72M 
311818.2         3977.80M               0       3951.02M       66.72M                0         66.72M 
311818.3         4027.40M               1       3976.75M       66.72M                2         66.72M 
311818.4         3956.96M               0       3938.32M       66.72M                2         66.72M 
311818.5         3997.17M               1       3954.33M       66.72M                1         66.72M 
311818.6         4080.49M               2       4046.69M       66.72M                2         66.72M 
311818.7         4035.01M               2       4002.82M       66.72M                1         66.72M 
311818.8         4062.15M               1       4015.54M       66.72M                2         66.72M 
311818.9         4066.33M               0       4045.46M       66.72M                2         66.72M 
311818.10        3996.37M               1       3958.03M       66.72M                0         66.72M 
311818.11        3954.60M               0       3930.94M       66.72M                2         66.72M 
311818.12        4087.27M               1       3997.35M       66.72M                0         66.72M 
311818.13        4086.49M               2       4013.04M       66.72M                1         66.72M 
311818.14        3937.21M               2       3931.72M       66.72M                0         66.72M 
311818.15        3998.90M               0       3938.36M       66.72M                0         66.72M 
311818.16        3874.26M               0       2299.46M       66.72M                1         66.72M 

Job 311818 completed at Tue Mar 15 20:10:39 CET 2022
