Starting job 311820 on b[1368,1374-1375,1377-1379,1381,1384-1385,1387-1388,1392-1393,2102-2104,2113-2115,2131-2133,2301-2303,3157-3168,4311-4312,4337-4348,4366,4368-4373,4379,4383-4384,4386,4390,4393] at Tue Mar 15 20:10:49 CET 2022

start running log_Zn64_gs8_tr_j2p_j4n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311820         Zn64_gs8       8192                                             00:28:14      0:0 
311820.batch      batch        128        1   00:00:00          0   00:00:00   00:28:14      0:0 
311820.exte+     extern       8192       64   00:00:00         62   00:00:00   00:28:14      0:0 
311820.0     hydra_bst+       2048       16 2-16:17:32         11 4-12:27:25   00:28:11      0:0 
311820.1     hydra_bst+        384        3 2-18:26:56          1 3-14:49:26   00:28:10      0:0 
311820.2     hydra_bst+        384        3 4-20:10:16          2 4-20:10:34   00:28:10      0:0 
311820.3     hydra_bst+        384        3 2-21:24:04          0 3-16:05:50   00:28:10      0:0 
311820.4     hydra_bst+        384        3 4-20:02:26          0 4-20:07:59   00:28:10      0:0 
311820.5     hydra_bst+        384        3 2-22:13:11          0 4-04:50:41   00:28:10      0:0 
311820.6     hydra_bst+        384        3 2-16:11:29          2 4-02:48:42   00:28:10      0:0 
311820.7     hydra_bst+        384        3 2-03:27:40          1 3-22:37:14   00:28:10      0:0 
311820.8     hydra_bst+        384        3 2-12:58:37          1 3-11:23:36   00:28:10      0:0 
311820.9     hydra_bst+        384        3 4-20:09:31          0 4-20:11:11   00:28:10      0:0 
311820.10    hydra_bst+        384        3 2-19:19:16          1 4-03:53:54   00:28:10      0:0 
311820.11    hydra_bst+        384        3 2-12:08:09          2 4-01:27:16   00:28:10      0:0 
311820.12    hydra_bst+        384        3 3-00:01:49          1 3-18:08:25   00:28:10      0:0 
311820.13    hydra_bst+        384        3 2-22:40:56          2 3-14:20:12   00:28:10      0:0 
311820.14    hydra_bst+        384        3 4-20:02:44          1 4-20:05:13   00:28:10      0:0 
311820.15    hydra_bst+        384        3 1-21:09:26          1 3-20:27:56   00:28:10      0:0 
311820.16    hydra_bst+        384        3 2-10:42:54          0 3-09:44:15   00:28:10      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311820                                                                           
311820.batch      8951K          0      8951K       11              0         11 
311820.exte+       845K         32     857920        3              3          1 
311820.0       6715278K         13 6786810624       74             13         64 
311820.1       6630225K          1 6758370645       54              1         51 
311820.2       6664776K          1   6620346K       66              2         56 
311820.3       6732603K          1 6847806805       57              1         53 
311820.4       6582166K          0   6570909K       55              1         52 
311820.5       6665070K          1 6778330794       60              2         53 
311820.6       6642532K          2   6614175K       63              1         58 
311820.7       6682335K          2   6641601K       59              0         57 
311820.8       6688881K          0 6774213973       60              0         54 
311820.9       6637127K          0   6629708K       52              1         46 
311820.10      6687997K          1   6640280K       57              0         55 
311820.11      6634462K          0   6617731K       61              1         59 
311820.12      6650419K          0   6621767K       60              2         56 
311820.13      6715146K          2 6822147413       61              2         54 
311820.14      6653818K          0 6783241557       60              0         55 
311820.15      6735026K          1   6676099K       56              1         54 
311820.16      6636412K          1   6609921K       61              1         55 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311820                                                                                                
311820.batch       10.74M               0         10.74M       16.95M                0         16.95M 
311820.exte+        0.00M              62          0.00M            0               62              0 
311820.0         3776.83M               1       3682.36M       79.43M                0         70.52M 
311820.1         3827.24M               1       3778.28M       66.72M                2         66.72M 
311820.2         3701.57M               0       3691.47M       66.72M                2         66.72M 
311820.3         3702.36M               1       3683.72M       66.72M                0         66.72M 
311820.4         3805.97M               0       3776.09M       66.72M                0         66.72M 
311820.5         3756.89M               2       3744.43M       66.72M                1         66.72M 
311820.6         3725.54M               2       3686.23M       66.72M                2         66.72M 
311820.7         3729.21M               0       3675.08M       66.72M                2         66.72M 
311820.8         3750.67M               1       3714.95M       66.72M                0         66.72M 
311820.9         3739.03M               2       3705.78M       66.72M                1         66.72M 
311820.10        3760.74M               1       3729.23M       66.72M                0         66.72M 
311820.11        3811.48M               1       3753.26M       66.72M                1         66.72M 
311820.12        3653.46M               2       3635.07M       66.72M                2         66.72M 
311820.13        3663.67M               2       3658.38M       66.72M                2         66.72M 
311820.14        3708.59M               0       3631.87M       66.72M                1         66.72M 
311820.15        3711.54M               0       3681.60M       66.72M                1         66.72M 
311820.16        3585.88M               0       2015.70M       66.72M                2         66.72M 

Job 311820 completed at Tue Mar 15 20:39:02 CET 2022
