Starting job 311821 on b[1117,1127-1133,2173-2181,3134,3136-3137,3140,3143-3145,3148,3309-3310,3312-3313,3325-3328,3388-3394,3396,5120-5121,5123-5124,5126,5131-5133,5227-5228,5240-5244,5248,5250,5261,5263,5274-5277] at Tue Mar 15 20:11:19 CET 2022

start running log_Zn64_gs8_tr_j4p_j4p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311821         Zn64_gs8       8192                                             00:07:02      0:0 
311821.batch      batch        128        1   00:00:00          0   00:00:00   00:07:02      0:0 
311821.exte+     extern       8192       64   00:00:00         62   00:00:00   00:07:02      0:0 
311821.0     hydra_bst+       2048       16 1-02:11:43         13 1-03:50:50   00:06:59      0:0 
311821.1     hydra_bst+        384        3 1-02:16:25          0 1-03:02:12   00:06:59      0:0 
311821.2     hydra_bst+        384        3 1-04:13:40          1 1-04:14:04   00:06:59      0:0 
311821.3     hydra_bst+        384        3 1-04:12:48          2 1-04:12:53   00:06:59      0:0 
311821.4     hydra_bst+        384        3 1-02:38:25          2 1-03:42:04   00:06:59      0:0 
311821.5     hydra_bst+        384        3 1-02:14:49          0 1-03:33:29   00:06:59      0:0 
311821.6     hydra_bst+        384        3 1-04:12:47          0 1-04:12:52   00:06:59      0:0 
311821.7     hydra_bst+        384        3 1-02:10:32          1 1-02:12:38   00:06:59      0:0 
311821.8     hydra_bst+        384        3 1-02:13:42          2 1-03:33:35   00:06:59      0:0 
311821.9     hydra_bst+        384        3 1-04:13:44          1 1-04:14:07   00:06:59      0:0 
311821.10    hydra_bst+        384        3 1-02:12:07          1 1-03:33:16   00:06:59      0:0 
311821.11    hydra_bst+        384        3 1-04:13:37          1 1-04:13:47   00:06:59      0:0 
311821.12    hydra_bst+        384        3 1-02:16:44          0 1-03:35:14   00:06:59      0:0 
311821.13    hydra_bst+        384        3 1-04:13:29          0 1-04:13:59   00:06:59      0:0 
311821.14    hydra_bst+        384        3 1-02:11:23          2 1-03:33:04   00:06:59      0:0 
311821.15    hydra_bst+        384        3 1-04:13:18          1 1-04:13:42   00:06:59      0:0 
311821.16    hydra_bst+        384        3 1-02:14:16          0 1-03:34:08   00:06:59      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311821                                                                           
311821.batch      9103K          0      9103K       11              0         11 
311821.exte+       853K         27     859392        3             56          1 
311821.0       1934162K          3 1962207808       68              1         59 
311821.1       1901931K          0   1899627K       58              2         52 
311821.2       1931439K          1 1966868821       52              2         50 
311821.3       1902338K          2 1946317141       45              2         42 
311821.4       1907129K          2   1902182K       61              2         56 
311821.5       1920866K          2   1912734K       57              1         53 
311821.6       1916694K          2   1908659K       51              2         49 
311821.7       1922934K          0 1960617301       48              1         42 
311821.8       1914111K          1 1953078954       50              2         48 
311821.9       1913927K          0 1956123306       51              1         48 
311821.10      1926092K          1 1963221333       45              0         42 
311821.11      1917595K          0   1907926K       55              1         50 
311821.12      1920393K          0 1960643925       49              0         47 
311821.13      1914127K          1 1948743338       46              1         45 
311821.14      1914782K          1 1951227562       55              0         51 
311821.15      1926461K          1 1966544213       48              0         47 
311821.16      1908883K          1 1945877845       48              1         44 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311821                                                                                                
311821.batch       16.04M               0         16.04M       21.42M                0         21.42M 
311821.exte+        0.00M              62          0.00M            0               62              0 
311821.0          196.07M              11        148.59M       79.42M                0         70.52M 
311821.1          188.02M               2        168.02M       66.72M                1         66.72M 
311821.2          161.29M               0        154.58M       66.72M                0         66.72M 
311821.3           42.48M               0         42.48M       66.72M                1         66.72M 
311821.4          224.17M               1        186.69M       66.72M                0         66.72M 
311821.5           42.48M               0         42.48M       66.72M                2         66.72M 
311821.6           42.47M               0         42.47M       66.72M                0         66.72M 
311821.7          185.97M               1        171.52M       66.72M                2         66.72M 
311821.8          177.09M               2        170.16M       66.72M                0         66.72M 
311821.9          149.50M               2        147.80M       66.72M                1         66.72M 
311821.10         185.58M               1        178.01M       66.72M                0         66.72M 
311821.11         160.43M               0        156.28M       66.72M                1         66.72M 
311821.12         182.60M               0        168.46M       66.72M                1         66.72M 
311821.13         161.42M               1        157.60M       66.72M                1         66.72M 
311821.14         154.21M               0        151.36M       66.72M                1         66.72M 
311821.15         171.52M               2        167.20M       66.72M                1         66.72M 
311821.16         186.30M               1        176.70M       66.72M                2         66.72M 

Job 311821 completed at Tue Mar 15 20:18:20 CET 2022
