Starting job 311822 on b[1117,1127-1133,2173-2181,3134,3136-3137,3140,3143-3145,3148,3309-3310,3312-3313,3325-3328,3388-3394,3396,5120-5121,5123-5124,5126,5131-5133,5227-5228,5240-5244,5248,5250,5261,5263,5274-5277] at Tue Mar 15 20:18:39 CET 2022

start running log_Zn64_gs8_tr_j4p_j6p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311822         Zn64_gs8       8192                                             00:06:04      0:0 
311822.batch      batch        128        1   00:00:00          0   00:00:00   00:06:04      0:0 
311822.exte+     extern       8192       64   00:00:00         61   00:00:00   00:06:04      0:0 
311822.0     hydra_bst+       2048       16   20:50:09          1   23:32:08   00:06:02      0:0 
311822.1     hydra_bst+        384        3   21:06:39          1   22:03:56   00:06:01      0:0 
311822.2     hydra_bst+        384        3   23:59:14          0   23:59:34   00:06:01      0:0 
311822.3     hydra_bst+        384        3   23:59:15          2   23:59:31   00:06:01      0:0 
311822.4     hydra_bst+        384        3   23:58:29          1   23:58:42   00:06:01      0:0 
311822.5     hydra_bst+        384        3   21:02:24          0   22:02:07   00:06:01      0:0 
311822.6     hydra_bst+        384        3   23:58:19          1   23:58:52   00:06:01      0:0 
311822.7     hydra_bst+        384        3   23:58:40          2   23:58:52   00:06:01      0:0 
311822.8     hydra_bst+        384        3 1-00:00:29          1 1-00:00:40   00:06:01      0:0 
311822.9     hydra_bst+        384        3   20:19:23          1   22:40:47   00:06:01      0:0 
311822.10    hydra_bst+        384        3   23:58:26          2   23:58:54   00:06:01      0:0 
311822.11    hydra_bst+        384        3   23:59:44          0 1-00:00:03   00:06:01      0:0 
311822.12    hydra_bst+        384        3   23:51:32          0   23:51:39   00:06:01      0:0 
311822.13    hydra_bst+        384        3   23:51:27          2   23:51:32   00:06:01      0:0 
311822.14    hydra_bst+        384        3   23:59:19          0   23:59:46   00:06:01      0:0 
311822.15    hydra_bst+        384        3   23:59:30          2   23:59:55   00:06:01      0:0 
311822.16    hydra_bst+        384        3   23:58:32          0   23:58:55   00:06:01      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311822                                                                           
311822.batch      9099K          0      9099K       11              0         11 
311822.exte+       851K         27     848032        3             56          1 
311822.0       1923745K         11 1955527296       67             10         57 
311822.1       1900158K          1   1894924K       53              2         46 
311822.2       1919916K          2   1915877K       46              1         44 
311822.3       1905473K          2 1948100949       49              0         46 
311822.4       1909445K          2   1901544K       56              1         52 
311822.5       1913103K          2   1907685K       54              2         51 
311822.6       1906724K          2   1903831K       53              1         48 
311822.7       1916810K          2 1955967317       52              1         49 
311822.8       1907911K          0 1949201066       54              0         49 
311822.9       1910785K          0   1905526K       51              1         46 
311822.10      1899539K          1   1896672K       49              0         45 
311822.11      1909934K          1   1907878K       46              2         43 
311822.12      1923049K          2   1910408K       53              2         51 
311822.13      1907815K          0 1948298922       50              2         45 
311822.14      1917249K          2 1958688085       54              0         50 
311822.15      1912662K          1 1955712341       54              1         48 
311822.16      1909597K          1   1902560K       53              0         46 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311822                                                                                                
311822.batch       15.82M               0         15.82M       21.42M                0         21.42M 
311822.exte+        0.00M              61          0.00M            0               61              0 
311822.0          173.70M               2        141.35M       79.20M                0         70.51M 
311822.1          177.41M               2        162.25M       66.72M                2         66.72M 
311822.2          153.91M               0        148.19M       66.72M                0         66.72M 
311822.3          213.53M               1        184.51M       66.72M                0         66.72M 
311822.4          155.35M               2        154.84M       66.72M                0         66.72M 
311822.5          146.77M               0        145.42M       66.72M                2         66.72M 
311822.6          155.18M               2        150.27M       66.72M                2         66.72M 
311822.7          180.44M               1        171.46M       66.72M                0         66.72M 
311822.8          167.33M               1        164.98M       66.72M                1         66.72M 
311822.9           42.58M               2         42.58M       66.72M                0         66.72M 
311822.10         174.42M               0        172.98M       66.72M                2         66.72M 
311822.11         179.75M               1        164.21M       66.72M                1         66.72M 
311822.12          42.57M               0         42.57M       66.72M                2         66.72M 
311822.13          42.57M               2         42.57M       66.72M                1         66.72M 
311822.14         169.85M               0        158.20M       66.72M                1         66.72M 
311822.15         168.96M               1        161.36M       66.72M                0         66.72M 
311822.16         143.38M               2        142.49M       66.72M                1         66.72M 

Job 311822 completed at Tue Mar 15 20:24:43 CET 2022
