Starting job 311823 on b[1117,1127-1133,2173-2181,3134,3136-3137,3140,3143-3145,3148,3309-3310,3312-3313,3325-3328,3388-3394,3396,5120-5121,5123-5124,5126,5131-5133,5227-5228,5240-5244,5248,5250,5261,5263,5274-5277] at Tue Mar 15 20:24:49 CET 2022

start running log_Zn64_gs8_tr_j4p_j8p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311823         Zn64_gs8       8192                                             00:03:33      0:0 
311823.batch      batch        128        1   00:00:00          0   00:00:00   00:03:33      0:0 
311823.exte+     extern       8192       64   00:00:00         61   00:00:00   00:03:33      0:0 
311823.0     hydra_bst+       2048       16   10:27:15         15   13:13:11   00:03:31      0:0 
311823.1     hydra_bst+        384        3   12:57:00          0   12:57:44   00:03:29      0:0 
311823.2     hydra_bst+        384        3   12:58:49          0   12:59:28   00:03:29      0:0 
311823.3     hydra_bst+        384        3   10:21:21          1   12:06:29   00:03:29      0:0 
311823.4     hydra_bst+        384        3   09:57:18          2   10:58:25   00:03:29      0:0 
311823.5     hydra_bst+        384        3   12:59:11          0   12:59:37   00:03:29      0:0 
311823.6     hydra_bst+        384        3   12:59:59          1   13:01:39   00:03:30      0:0 
311823.7     hydra_bst+        384        3   12:59:29          0   12:59:37   00:03:29      0:0 
311823.8     hydra_bst+        384        3   12:53:58          0   12:57:37   00:03:30      0:0 
311823.9     hydra_bst+        384        3   12:59:21          2   13:01:20   00:03:30      0:0 
311823.10    hydra_bst+        384        3   13:04:14          1   13:04:31   00:03:30      0:0 
311823.11    hydra_bst+        384        3   12:58:04          1   13:00:12   00:03:30      0:0 
311823.12    hydra_bst+        384        3   12:59:33          1   13:00:00   00:03:29      0:0 
311823.13    hydra_bst+        384        3   09:40:35          0   11:49:47   00:03:29      0:0 
311823.14    hydra_bst+        384        3   12:54:26          1   12:54:29   00:03:29      0:0 
311823.15    hydra_bst+        384        3   12:59:30          1   13:00:09   00:03:29      0:0 
311823.16    hydra_bst+        384        3   12:58:44          0   13:01:03   00:03:30      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311823                                                                           
311823.batch      9099K          0      9099K       11              0         11 
311823.exte+       853K         27     859264        3             40          1 
311823.0       1885935K          5 1916550336       62             13         55 
311823.1       1862392K          2   1857879K       46              0         45 
311823.2       1865013K          2   1863258K       47              2         44 
311823.3       1867557K          2   1861780K       53              1         47 
311823.4       1869361K          1   1863831K       49              2         48 
311823.5       1875858K          1 1914416469       48              2         45 
311823.6       1867640K          1   1860160K       46              0         29 
311823.7       1869019K          1 1907516757       51              1         49 
311823.8       1863374K          0   1858541K       47              1         18 
311823.9       1874120K          2 1913472341       47              1         17 
311823.10      1876563K          0   1869999K       47              0          5 
311823.11      1866159K          1   1861501K       46              2         17 
311823.12      1869189K          0 1898865322       44              1         41 
311823.13      1898650K          2 1926622890       52              0         48 
311823.14      1881593K          1 1915357866       51              2         46 
311823.15      1869413K          1 1910705493       48              1         46 
311823.16      1864416K          1 1907522901       48              0         32 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311823                                                                                                
311823.batch       11.02M               0         11.02M       16.95M                0         16.95M 
311823.exte+        0.00M              61          0.00M            0               61              0 
311823.0          167.61M               4        134.34M       69.94M                0         69.93M 
311823.1          166.19M               2        151.39M       66.72M                2         66.72M 
311823.2          147.95M               0        141.56M       66.72M                0         66.72M 
311823.3          207.97M               1        175.02M       66.72M                1         66.72M 
311823.4          157.26M               1        153.02M       66.72M                1         66.72M 
311823.5          170.46M               1        156.43M       66.72M                0         66.72M 
311823.6          158.50M               1        111.66M       66.72M                2         47.56M 
311823.7          173.80M               0        166.55M       66.72M                0         66.72M 
311823.8           42.57M               2         18.97M       66.72M                0         28.41M 
311823.9          164.51M               0        105.41M       66.72M                2         47.56M 
311823.10         168.99M               2         21.41M       66.72M                1          9.25M 
311823.11         147.19M               2        101.91M       66.72M                1         47.56M 
311823.12         142.96M               0        140.47M       66.72M                0         66.72M 
311823.13          42.57M               1         42.57M       66.72M                0         66.72M 
311823.14          42.57M               1         42.57M       66.72M                0         66.72M 
311823.15         149.97M               1        145.35M       66.72M                1         66.72M 
311823.16         135.89M               2         96.64M       66.72M                0         47.56M 

Job 311823 completed at Tue Mar 15 20:28:23 CET 2022
