Starting job 311825 on b[2183-2184,2186-2188,2191,2193-2195,2316-2317,2333,2343-2344,2346,3150-3152,3169-3170,3172-3196,4158,4168-4170,4181-4182,4191,4193,4195,5108,5113-5114,5116-5117,5119,5136,5143,5146,5148] at Tue Mar 15 20:38:58 CET 2022

start running log_Zn64_gs8_tr_j4p_j4n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311825         Zn64_gs8       8192                                             00:28:09      0:0 
311825.batch      batch        128        1   00:00:00          0   00:00:00   00:28:09      0:0 
311825.exte+     extern       8192       64   00:00:00         63   00:00:00   00:28:09      0:0 
311825.0     hydra_bst+       2048       16 2-08:20:42         13 4-16:04:40   00:28:06      0:0 
311825.1     hydra_bst+        384        3 4-19:52:44          0 4-19:54:32   00:28:05      0:0 
311825.2     hydra_bst+        384        3 4-19:46:22          1 4-19:48:28   00:28:05      0:0 
311825.3     hydra_bst+        384        3 4-19:46:29          0 4-19:50:25   00:28:05      0:0 
311825.4     hydra_bst+        384        3 2-12:48:18          2 4-01:32:41   00:28:05      0:0 
311825.5     hydra_bst+        384        3 4-19:51:54          1 4-19:53:10   00:28:05      0:0 
311825.6     hydra_bst+        384        3 4-18:34:56          2 4-19:18:47   00:28:05      0:0 
311825.7     hydra_bst+        384        3 4-19:50:27          0 4-19:52:53   00:28:05      0:0 
311825.8     hydra_bst+        384        3 4-19:46:54          0 4-19:49:50   00:28:05      0:0 
311825.9     hydra_bst+        384        3 2-10:25:09          0 3-05:50:42   00:28:05      0:0 
311825.10    hydra_bst+        384        3 2-07:17:10          1 3-05:52:39   00:28:05      0:0 
311825.11    hydra_bst+        384        3 4-19:38:40          0 4-19:46:07   00:28:05      0:0 
311825.12    hydra_bst+        384        3 4-19:47:30          0 4-19:52:14   00:28:05      0:0 
311825.13    hydra_bst+        384        3 4-19:54:16          2 4-19:55:51   00:28:05      0:0 
311825.14    hydra_bst+        384        3 4-19:50:02          0 4-19:52:07   00:28:05      0:0 
311825.15    hydra_bst+        384        3 2-02:21:04          2 3-22:00:53   00:28:05      0:0 
311825.16    hydra_bst+        384        3 4-19:52:37          1 4-19:54:21   00:28:05      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311825                                                                           
311825.batch      8863K          0      8863K       11              0         11 
311825.exte+       855K         49     826304        3             13          1 
311825.0       6907746K          4 7022642752       69              3         61 
311825.1       6870736K          1   6853492K       53              2         51 
311825.2       6880765K          2 7033847466       55              0         53 
311825.3       6870806K          0   6861260K       61              1         58 
311825.4       6891666K          2 7017179818       52              0         48 
311825.5       6932218K          0   6868035K       56              1         52 
311825.6       6935969K          2 7058325162       59              2         54 
311825.7       6990407K          0 7099097429       58              2         55 
311825.8       6956727K          0   6909325K       60              0         55 
311825.9       6951886K          2   6896615K       55              2         51 
311825.10      6917689K          0 7045824853       60              1         58 
311825.11      6894116K          2   6851699K       66              1         59 
311825.12      6925926K          0 7032244565       52              2         51 
311825.13      6911307K          2 7058606762       66              0         56 
311825.14      6901878K          1 7046152533       64              0         54 
311825.15      6905453K          2   6891458K       55              0         51 
311825.16      6910338K          1 7062783317       49              2         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311825                                                                                                
311825.batch       10.63M               0         10.63M       16.95M                0         16.95M 
311825.exte+        0.00M              63          0.00M            0               63              0 
311825.0         3770.75M               1       3677.57M       69.94M                0         69.93M 
311825.1         3824.08M               1       3774.91M       66.72M                2         66.72M 
311825.2         3708.55M               0       3631.82M       66.72M                0         66.72M 
311825.3         3759.25M               1       3726.75M       66.72M                2         66.72M 
311825.4         3707.74M               0       3678.32M       66.72M                0         66.72M 
311825.5         3800.49M               0       3772.09M       66.72M                0         66.72M 
311825.6         3585.79M               0       2015.71M       66.72M                1         66.72M 
311825.7         3734.76M               2       3701.11M       66.72M                0         66.72M 
311825.8         3664.49M               0       3656.73M       66.72M                2         66.72M 
311825.9         3702.83M               0       3690.23M       66.72M                1         66.72M 
311825.10        3743.39M               1       3711.76M       66.72M                0         66.72M 
311825.11        3749.17M               2       3739.09M       66.72M                1         66.72M 
311825.12        3722.37M               2       3680.50M       66.72M                2         66.72M 
311825.13        3702.33M               1       3680.97M       66.72M                1         66.72M 
311825.14        3806.18M               1       3749.76M       66.72M                2         66.72M 
311825.15        3723.09M               0       3671.02M       66.72M                0         66.72M 
311825.16        3653.44M               2       3630.91M       66.72M                0         66.72M 

Job 311825 completed at Tue Mar 15 21:07:07 CET 2022
