Starting job 311827 on b[1117,1127-1133,2173-2181,2189,3132-3138,3140-3145,3148,3201,3240-3241,3243,3245-3249,3261,3280-3283,3285-3290,3309-3310,3312-3313,3325-3328,3388-3391] at Tue Mar 15 20:59:50 CET 2022

start running log_Zn64_gs8_tr_j6p_j6p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311827         Zn64_gs8       8192                                             00:06:56      0:0 
311827.batch      batch        128        1   00:00:00          0   00:00:00   00:06:56      0:0 
311827.exte+     extern       8192       64   00:00:00         61   00:00:00   00:06:56      0:0 
311827.0     hydra_bst+       2048       16 1-02:37:22         14 1-04:06:45   00:06:54      0:0 
311827.1     hydra_bst+        384        3 1-02:44:05          1 1-03:17:09   00:06:53      0:0 
311827.2     hydra_bst+        384        3 1-02:45:37          1 1-03:50:52   00:06:53      0:0 
311827.3     hydra_bst+        384        3 1-04:23:09          2 1-04:23:24   00:06:53      0:0 
311827.4     hydra_bst+        384        3 1-04:23:47          0 1-04:24:01   00:06:53      0:0 
311827.5     hydra_bst+        384        3 1-04:23:11          0 1-04:23:41   00:06:53      0:0 
311827.6     hydra_bst+        384        3 1-04:19:00          0 1-04:19:06   00:06:53      0:0 
311827.7     hydra_bst+        384        3 1-04:23:37          1 1-04:24:05   00:06:53      0:0 
311827.8     hydra_bst+        384        3 1-04:23:04          2 1-04:23:55   00:06:53      0:0 
311827.9     hydra_bst+        384        3 1-04:23:19          1 1-04:23:46   00:06:53      0:0 
311827.10    hydra_bst+        384        3 1-02:38:39          0 1-03:49:01   00:06:53      0:0 
311827.11    hydra_bst+        384        3 1-04:19:05          1 1-04:19:14   00:06:53      0:0 
311827.12    hydra_bst+        384        3 1-02:31:54          0 1-02:33:07   00:06:53      0:0 
311827.13    hydra_bst+        384        3 1-04:18:58          0 1-04:19:09   00:06:53      0:0 
311827.14    hydra_bst+        384        3 1-02:38:09          1 1-03:48:25   00:06:53      0:0 
311827.15    hydra_bst+        384        3 1-04:24:01          0 1-04:24:14   00:06:53      0:0 
311827.16    hydra_bst+        384        3 1-02:42:41          0 1-03:50:14   00:06:53      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311827                                                                           
311827.batch      9003K          0      9003K       11              0         11 
311827.exte+       853K         54     836352        3             62          1 
311827.0       1903699K          3 1933876032       64             15         57 
311827.1       1884058K          1   1877448K       57              2         52 
311827.2       1873167K          0   1871590K       52              1         47 
311827.3       1879338K          0 1917275818       54              1         50 
311827.4       1882813K          2   1880761K       51              2         46 
311827.5       1886816K          0 1922084181       62              2         52 
311827.6       1894260K          1 1933102421       51              2         46 
311827.7       1887715K          1 1927884458       50              1         48 
311827.8       1876454K          1 1917010602       52              0         49 
311827.9       1871304K          0 1911060138       54              2         52 
311827.10      1896446K          0   1891559K       54              2         52 
311827.11      1874626K          0   1871963K       48              1         43 
311827.12      1882521K          0   1878476K       48              0         45 
311827.13      1891175K          1 1921509034       53              1         52 
311827.14      1873321K          1 1914902869       47              2         45 
311827.15      1893416K          0   1888366K       58              1         50 
311827.16      1900790K          0 1931581098       55              1         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311827                                                                                                
311827.batch       15.89M               0         15.89M       21.42M                0         21.42M 
311827.exte+        0.00M              61          0.00M            0               61              0 
311827.0          168.48M               2        133.86M       79.42M                0         70.52M 
311827.1          166.60M               2        156.29M       66.72M                1         66.72M 
311827.2          146.29M               0        141.57M       66.72M                2         66.72M 
311827.3          202.70M               1        182.13M       66.72M                1         66.72M 
311827.4          175.09M               1        164.70M       66.72M                2         66.72M 
311827.5          155.51M               0        151.87M       66.72M                1         66.72M 
311827.6           42.48M               2         42.48M       66.72M                2         66.72M 
311827.7          166.30M               1        155.30M       66.72M                1         66.72M 
311827.8          166.03M               1        159.60M       66.72M                1         66.72M 
311827.9          137.05M               1        136.98M       66.72M                2         66.72M 
311827.10         151.93M               2        144.03M       66.72M                1         66.72M 
311827.11          42.48M               0         42.48M       66.72M                1         66.72M 
311827.12         141.69M               2        139.27M       66.72M                0         66.72M 
311827.13          42.47M               1         42.47M       66.72M                1         66.72M 
311827.14         179.78M               2        169.03M       66.72M                0         66.72M 
311827.15         173.34M               1        156.70M       66.72M                2         66.72M 
311827.16         156.89M               0        147.73M       66.72M                2         66.72M 

Job 311827 completed at Tue Mar 15 21:06:46 CET 2022
