Starting job 311829 on b[1117,1127-1133,2173-2181,2189,3101-3104,3111-3112,3114,3116,3132-3138,3140-3145,3148,3201,3240-3241,3243,3245-3249,3261,3280-3283,3285-3290,3309-3310,3312-3313] at Tue Mar 15 21:06:50 CET 2022

start running log_Zn64_gs8_tr_j6p_j10p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311829         Zn64_gs8       8192                                             00:03:16      0:0 
311829.batch      batch        128        1   00:00:00          0   00:00:00   00:03:16      0:0 
311829.exte+     extern       8192       64   00:00:00         63   00:00:00   00:03:16      0:0 
311829.0     hydra_bst+       2048       16   09:00:24         10   11:48:49   00:03:14      0:0 
311829.1     hydra_bst+        384        3   12:02:35          2   12:03:33   00:03:13      0:0 
311829.2     hydra_bst+        384        3   12:04:52          0   12:05:04   00:03:13      0:0 
311829.3     hydra_bst+        384        3   09:03:18          0   11:04:49   00:03:13      0:0 
311829.4     hydra_bst+        384        3   12:05:06          2   12:06:04   00:03:13      0:0 
311829.5     hydra_bst+        384        3   12:05:17          0   12:06:14   00:03:13      0:0 
311829.6     hydra_bst+        384        3   12:06:24          2   12:06:57   00:03:13      0:0 
311829.7     hydra_bst+        384        3   11:54:39          1   11:55:02   00:03:13      0:0 
311829.8     hydra_bst+        384        3   09:06:13          1   10:08:07   00:03:13      0:0 
311829.9     hydra_bst+        384        3   11:54:57          0   11:55:13   00:03:13      0:0 
311829.10    hydra_bst+        384        3   12:05:44          1   12:06:25   00:03:13      0:0 
311829.11    hydra_bst+        384        3   09:08:03          1   11:07:55   00:03:13      0:0 
311829.12    hydra_bst+        384        3   09:02:53          2   11:05:22   00:03:13      0:0 
311829.13    hydra_bst+        384        3   08:56:47          2   10:55:45   00:03:13      0:0 
311829.14    hydra_bst+        384        3   09:12:27          0   11:10:19   00:03:13      0:0 
311829.15    hydra_bst+        384        3   09:04:51          0   11:07:21   00:03:13      0:0 
311829.16    hydra_bst+        384        3   09:02:11          0   10:07:45   00:03:13      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311829                                                                           
311829.batch      8943K          0      8943K       11              0         11 
311829.exte+       853K         62     822544        3             63          1 
311829.0       1856389K          5 1883317568       69             15         57 
311829.1       1831750K          2 1873453397       57              0         50 
311829.2       1847436K          0 1883473237       53              1         48 
311829.3       1826650K          1 1866810709       58              0         55 
311829.4       1837437K          2 1873230165       57              1         55 
311829.5       1842285K          2 1874840234       49              1         48 
311829.6       1824433K          2   1822600K       51              1         46 
311829.7       1842219K          2   1831378K       46              1         41 
311829.8       1843726K          1   1836104K       50              2         47 
311829.9       1831898K          1 1869734570       55              2         46 
311829.10      1833344K          1   1826843K       55              1         45 
311829.11      1836695K          1   1835963K       47              1         44 
311829.12      1827933K          0 1868015274       58              1         50 
311829.13      1846082K          1 1879659178       51              2         49 
311829.14      1846045K          0 1884022101       48              1         46 
311829.15      1829790K          0   1826850K       54              2         51 
311829.16      1830276K          2 1870187861       57              1         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311829                                                                                                
311829.batch       10.72M               0         10.72M       16.95M                0         16.95M 
311829.exte+        0.00M              63          0.00M            0               63              0 
311829.0          148.41M               7        120.20M       69.94M                0         69.93M 
311829.1          147.27M               2        137.20M       66.72M                1         66.72M 
311829.2          131.97M               0        126.59M       66.72M                2         66.72M 
311829.3          181.74M               1        160.45M       66.72M                0         66.72M 
311829.4          135.05M               2        134.48M       66.72M                2         66.72M 
311829.5          148.68M               2        145.39M       66.72M                0         66.72M 
311829.6          157.07M               2        150.35M       66.72M                1         66.72M 
311829.7           42.57M               0         42.57M       66.72M                0         66.72M 
311829.8          134.33M               2        129.21M       66.72M                1         66.72M 
311829.9           42.57M               1         42.57M       66.72M                1         66.72M 
311829.10         147.14M               1        141.38M       66.72M                0         66.72M 
311829.11         144.96M               0        134.65M       66.72M                2         66.72M 
311829.12         123.28M               1        122.67M       66.72M                1         66.72M 
311829.13          42.58M               1         42.58M       66.72M                1         66.72M 
311829.14         144.83M               1        137.08M       66.72M                0         66.72M 
311829.15         127.14M               2        125.25M       66.72M                2         66.72M 
311829.16         155.17M               1        140.76M       66.72M                0         66.72M 

Job 311829 completed at Tue Mar 15 21:10:07 CET 2022
