Starting job 311830 on b[2301-2303,2314,2316-2317,2333,2343-2344,2346-2348,3150-3152,3166-3170,3172-3196,4158,5108,5113-5114,5116-5117,5119-5121,5123-5124,5126,5131-5133,5136,5143,5146,5148] at Tue Mar 15 21:07:20 CET 2022

start running log_Zn64_gs8_tr_j6p_j4n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311830         Zn64_gs8       8192                                             00:27:52      0:0 
311830.batch      batch        128        1   00:00:00          0   00:00:00   00:27:52      0:0 
311830.exte+     extern       8192       64   00:00:00         56   00:00:00   00:27:52      0:0 
311830.0     hydra_bst+       2048       16 4-18:41:11         11 4-19:14:10   00:27:50      0:0 
311830.1     hydra_bst+        384        3 4-18:44:32          1 4-18:45:58   00:27:49      0:0 
311830.2     hydra_bst+        384        3 4-18:43:47          0 4-18:48:16   00:27:49      0:0 
311830.3     hydra_bst+        384        3 4-18:44:27          1 4-18:45:37   00:27:49      0:0 
311830.4     hydra_bst+        384        3 4-18:45:23          0 4-18:45:45   00:27:49      0:0 
311830.5     hydra_bst+        384        3 4-18:37:06          1 4-18:39:08   00:27:49      0:0 
311830.6     hydra_bst+        384        3 2-22:41:01          2 4-04:02:40   00:27:49      0:0 
311830.7     hydra_bst+        384        3 4-18:42:45          2 4-18:44:27   00:27:49      0:0 
311830.8     hydra_bst+        384        3 4-18:41:55          0 4-18:45:26   00:27:49      0:0 
311830.9     hydra_bst+        384        3 4-18:43:14          0 4-18:45:24   00:27:49      0:0 
311830.10    hydra_bst+        384        3 4-18:40:27          1 4-18:47:03   00:27:49      0:0 
311830.11    hydra_bst+        384        3 4-18:40:02          1 4-18:42:00   00:27:49      0:0 
311830.12    hydra_bst+        384        3 4-18:50:55          0 4-18:52:34   00:27:49      0:0 
311830.13    hydra_bst+        384        3 4-17:32:42          2 4-18:12:04   00:27:49      0:0 
311830.14    hydra_bst+        384        3 3-13:09:39          0 4-08:53:33   00:27:49      0:0 
311830.15    hydra_bst+        384        3 4-18:44:01          2 4-18:46:24   00:27:49      0:0 
311830.16    hydra_bst+        384        3 3-10:23:53          2 4-07:58:42   00:27:49      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311830                                                                           
311830.batch      8715K          0      8715K       11              0         11 
311830.exte+       851K         46     827184        3             55          1 
311830.0       6695687K          9 6785040448       69              7         55 
311830.1       6735136K          0   6677245K       64              0         59 
311830.2       6678512K          1   6665331K       61              0         54 
311830.3       6664783K          2 6806907221       59              2         56 
311830.4       6703433K          1 6851119786       57              2         53 
311830.5       6675759K          2   6656050K       59              0         56 
311830.6       6749904K          2 6863327914       60              0         57 
311830.7       6714351K          2 6805156181       59              2         56 
311830.8       6672337K          1 6791592277       58              0         53 
311830.9       6644701K          1 6790357674       49              0         46 
311830.10      6719473K          0   6682138K       51              0         48 
311830.11      6645244K          2 6794581674       57              1         54 
311830.12      6700152K          1 6835672746       64              0         57 
311830.13      6668429K          2   6621491K       58              1         55 
311830.14      6705468K          1 6820370090       62              0         59 
311830.15      6739289K          1 6844067498       58              0         55 
311830.16      6696968K          2   6668794K       56              2         52 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311830                                                                                                
311830.batch       10.34M               0         10.34M       16.95M                0         16.95M 
311830.exte+        0.00M              56          0.00M            0               56              0 
311830.0         3766.37M              14       3443.39M       79.37M                0         66.41M 
311830.1         3823.48M               1       3769.07M       66.72M                1         66.72M 
311830.2         3737.52M               2       3698.91M       66.72M                1         66.72M 
311830.3         3793.11M               0       3765.60M       66.72M                1         66.72M 
311830.4         3742.17M               1       3706.50M       66.72M                0         66.72M 
311830.5         3708.63M               0       3631.85M       66.72M                0         66.72M 
311830.6         3719.30M               2       3677.64M       66.72M                1         66.72M 
311830.7         3702.50M               0       3672.89M       66.72M                0         66.72M 
311830.8         3801.71M               1       3743.61M       66.72M                2         66.72M 
311830.9         3666.70M               2       3652.91M       66.72M                0         66.72M 
311830.10        3754.04M               1       3720.20M       66.72M                0         66.72M 
311830.11        3653.45M               2       3630.93M       66.72M                1         66.72M 
311830.12        3690.70M               1       3670.63M       66.72M                2         66.72M 
311830.13        3585.83M               0       2015.75M       66.72M                1         66.72M 
311830.14        3742.05M               2       3731.74M       66.72M                0         66.72M 
311830.15        3705.06M               0       3684.43M       66.72M                2         66.72M 
311830.16        3715.58M               0       3665.02M       66.72M                1         66.72M 

Job 311830 completed at Tue Mar 15 21:35:13 CET 2022
