Starting job 311831 on b[1117,1127,2173-2181,2183-2184,2186-2189,2191,2193-2195,3101-3104,3111-3112,3114,3116,3132-3138,3140-3145,3148,3249,3261,3280-3283,3285-3290,4168-4171,4181-4182,4191,4193,4195] at Tue Mar 15 21:10:20 CET 2022

start running log_Zn64_gs8_tr_j6p_j6n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311831         Zn64_gs8       8192                                             00:25:56      0:0 
311831.batch      batch        128        1   00:00:00          0   00:00:00   00:25:56      0:0 
311831.exte+     extern       8192       64   00:00:00         62   00:00:00   00:25:56      0:0 
311831.0     hydra_bst+       2048       16 2-07:29:51         14 4-05:13:20   00:25:54      0:0 
311831.1     hydra_bst+        384        3 4-11:40:18          2 4-11:43:51   00:25:54      0:0 
311831.2     hydra_bst+        384        3 4-11:34:42          0 4-11:37:43   00:25:54      0:0 
311831.3     hydra_bst+        384        3 4-11:42:57          0 4-11:43:47   00:25:54      0:0 
311831.4     hydra_bst+        384        3 4-11:35:03          0 4-11:41:03   00:25:54      0:0 
311831.5     hydra_bst+        384        3 4-10:17:50          2 4-11:06:13   00:25:54      0:0 
311831.6     hydra_bst+        384        3 4-11:35:45          1 4-11:41:54   00:25:54      0:0 
311831.7     hydra_bst+        384        3 4-11:39:36          1 4-11:42:07   00:25:54      0:0 
311831.8     hydra_bst+        384        3 4-11:40:44          1 4-11:42:05   00:25:54      0:0 
311831.9     hydra_bst+        384        3 2-09:24:28          1 3-19:01:30   00:25:53      0:0 
311831.10    hydra_bst+        384        3 2-14:22:42          0 3-08:48:43   00:25:53      0:0 
311831.11    hydra_bst+        384        3 4-11:44:23          1 4-11:45:27   00:25:53      0:0 
311831.12    hydra_bst+        384        3 4-11:40:16          1 4-11:42:38   00:25:53      0:0 
311831.13    hydra_bst+        384        3 4-11:44:38          1 4-11:46:14   00:25:53      0:0 
311831.14    hydra_bst+        384        3 2-16:32:21          2 3-21:21:22   00:25:53      0:0 
311831.15    hydra_bst+        384        3 4-11:41:29          0 4-11:42:31   00:25:53      0:0 
311831.16    hydra_bst+        384        3 2-20:38:25          0 3-22:43:45   00:25:53      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311831                                                                           
311831.batch      8855K          0      8855K       11              0         11 
311831.exte+       852K         59     861152        3             63          1 
311831.0       6266365K         15 6353805184       69              5         61 
311831.1       6220344K          1   6154762K       53              2         50 
311831.2       6251989K          0 6386727594       61              0         53 
311831.3       6279971K          2 6374263125       65              2         56 
311831.4       6232284K          0   6199457K       52              2         49 
311831.5       6271165K          1 6355403434       57              0         52 
311831.6       6226370K          1 6344166741       57              0         54 
311831.7       6240815K          1   6207840K       61              0         54 
311831.8       6296417K          0   6194804K       67              2         60 
311831.9       6304237K          0 6394634581       53              1         47 
311831.10      6318452K          2 6439768746       55              1         52 
311831.11      6226189K          2   6212718K       59              0         52 
311831.12      6255590K          1   6231931K       57              1         55 
311831.13      6229985K          2 6348366506       53              0         50 
311831.14      6280700K          2 6375241386       52              2         48 
311831.15      6228506K          0 6338568874       56              2         55 
311831.16      6306396K          0   6239248K       53              1         46 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311831                                                                                                
311831.batch       10.57M               0         10.57M       16.95M                0         16.95M 
311831.exte+        0.00M              62          0.00M            0               62              0 
311831.0         3458.43M              14       3351.76M       69.94M                0         69.93M 
311831.1         3510.98M               1       3438.28M       66.72M                2         66.72M 
311831.2         3344.89M               0       3328.78M       66.72M                2         66.72M 
311831.3         3426.67M               1       3378.92M       66.72M                2         66.72M 
311831.4         3301.30M               0       3281.50M       66.72M                1         66.72M 
311831.5         3264.10M               0       1858.04M       66.72M                2         66.72M 
311831.6         3327.02M               1       3322.54M       66.72M                0         66.72M 
311831.7         3502.48M               0       3426.09M       66.72M                1         66.72M 
311831.8         3405.24M               0       3390.10M       66.72M                1         66.72M 
311831.9         3376.68M               0       3334.70M       66.72M                2         66.72M 
311831.10        3345.75M               2       3337.68M       66.72M                1         66.72M 
311831.11        3421.17M               2       3372.67M       66.72M                2         66.72M 
311831.12        3329.70M               2       3321.82M       66.72M                0         66.72M 
311831.13        3395.74M               1       3360.57M       66.72M                1         66.72M 
311831.14        3463.06M               2       3406.44M       66.72M                2         66.72M 
311831.15        3361.33M               1       3345.12M       66.72M                2         66.72M 
311831.16        3334.40M               0       3325.66M       66.72M                1         66.72M 

Job 311831 completed at Tue Mar 15 21:36:16 CET 2022
