Starting job 311832 on b[1352-1354,1368,1374-1375,1377-1379,1381-1382,1384-1390,1392-1393,1395,3149,3157-3165,4311-4312,4337-4348,4366,4368-4373,4376,4378-4379,4382-4384,4386,4390-4391,4393-4394,4396] at Tue Mar 15 21:11:50 CET 2022

start running log_Zn64_gs8_tr_j6p_j8n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311832         Zn64_gs8       8192                                             00:22:51      0:0 
311832.batch      batch        128        1   00:00:00          0   00:00:00   00:22:51      0:0 
311832.exte+     extern       8192       64   00:00:00         61   00:00:00   00:22:51      0:0 
311832.0     hydra_bst+       2048       16 2-18:57:03          3 3-20:26:07   00:22:48      0:0 
311832.1     hydra_bst+        384        3 3-22:12:15          2 3-22:12:36   00:22:48      0:0 
311832.2     hydra_bst+        384        3 3-22:10:13          0 3-22:12:13   00:22:47      0:0 
311832.3     hydra_bst+        384        3 3-22:11:48          0 3-22:13:43   00:22:47      0:0 
311832.4     hydra_bst+        384        3 3-22:09:41          1 3-22:10:10   00:22:47      0:0 
311832.5     hydra_bst+        384        3 3-03:42:49          2 3-16:03:04   00:22:47      0:0 
311832.6     hydra_bst+        384        3 3-22:12:04          1 3-22:14:42   00:22:47      0:0 
311832.7     hydra_bst+        384        3 3-22:06:14          1 3-22:07:47   00:22:47      0:0 
311832.8     hydra_bst+        384        3 3-22:12:55          2 3-22:13:52   00:22:47      0:0 
311832.9     hydra_bst+        384        3 3-22:08:50          1 3-22:11:17   00:22:47      0:0 
311832.10    hydra_bst+        384        3 3-22:11:17          1 3-22:14:21   00:22:47      0:0 
311832.11    hydra_bst+        384        3 3-22:11:46          1 3-22:13:27   00:22:47      0:0 
311832.12    hydra_bst+        384        3 2-17:07:33          2 3-12:29:45   00:22:47      0:0 
311832.13    hydra_bst+        384        3 3-22:07:13          0 3-22:10:40   00:22:47      0:0 
311832.14    hydra_bst+        384        3 2-23:56:32          1 3-14:33:15   00:22:47      0:0 
311832.15    hydra_bst+        384        3 3-22:05:40          1 3-22:08:52   00:22:47      0:0 
311832.16    hydra_bst+        384        3 3-22:10:17          1 3-22:12:30   00:22:47      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311832                                                                           
311832.batch      8836K          0      8836K       11              0         11 
311832.exte+       847K         29     847088        3              6          1 
311832.0       5736528K         11 5817082048       71              5         60 
311832.1       5689743K          2 5801136810       55              0         49 
311832.2       5728083K          1   5675122K       60              1         52 
311832.3       5686063K          1 5802728789       58              2         55 
311832.4       5718766K          0   5675374K       56              1         54 
311832.5       5706039K          2 5817364821       55              1         52 
311832.6       5680849K          0 5800116906       70              1         57 
311832.7       5712578K          0   5688648K       55              1         53 
311832.8       5700251K          1 5826608810       60              2         56 
311832.9       5683745K          0 5786494293       54              2         49 
311832.10      5692443K          2 5790055082       53              1         50 
311832.11      5680253K          1   5663415K       61              2         57 
311832.12      5663121K          1 5795444053       55              2         52 
311832.13      5730528K          2 5828406954       52              2         49 
311832.14      5695734K          0 5805530794       53              0         52 
311832.15      5740872K          2   5708416K       53              0         52 
311832.16      5661301K          0 5777641813       59              1         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311832                                                                                                
311832.batch       10.44M               0         10.44M       16.95M                0         16.95M 
311832.exte+        0.00M              61          0.00M            0               61              0 
311832.0         3114.12M              14       2937.24M       69.94M                0         69.93M 
311832.1         3063.97M               1       3016.59M       66.72M                2         66.72M 
311832.2         3029.46M               2       2988.60M       66.72M                2         66.72M 
311832.3         2969.86M               0       2925.97M       66.72M                2         66.72M 
311832.4         3024.71M               1       2979.89M       66.72M                0         66.72M 
311832.5         3013.86M               1       2979.27M       66.72M                1         66.72M 
311832.6         2933.77M               0       2920.98M       66.72M                0         66.72M 
311832.7         2928.23M               2       2902.70M       66.72M                1         66.72M 
311832.8         3036.88M               0       3022.67M       66.72M                1         66.72M 
311832.9         2949.84M               1       2923.01M       66.72M                2         66.72M 
311832.10        2923.97M               2       2916.15M       66.72M                1         66.72M 
311832.11        2948.49M               0       2929.00M       66.72M                1         66.72M 
311832.12        3054.66M               1       2981.30M       66.72M                1         66.72M 
311832.13        2935.42M               0       2919.59M       66.72M                1         66.72M 
311832.14        2848.08M               0       1513.83M       66.72M                1         66.72M 
311832.15        2946.15M               0       2895.21M       66.72M                0         66.72M 
311832.16        2970.71M               1       2957.17M       66.72M                1         66.72M 

Job 311832 completed at Tue Mar 15 21:34:42 CET 2022
