Starting job 311833 on b[1352-1354,1368,1374-1375,1377-1379,1381-1382,1384-1390,1392-1393,1395,3149,3157-3165,4311-4312,4337-4348,4366,4368-4373,4376,4378-4379,4382-4384,4386,4390-4391,4393-4394,4396] at Tue Mar 15 21:34:51 CET 2022

start running log_Zn64_gs8_tr_j8p_j8p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311833         Zn64_gs8       8192                                             00:06:16      0:0 
311833.batch      batch        128        1   00:00:00          0   00:00:00   00:06:16      0:0 
311833.exte+     extern       8192       64   00:00:00         60   00:00:00   00:06:17      0:0 
311833.0     hydra_bst+       2048       16 1-01:21:43          0 1-01:35:10   00:06:12      0:0 
311833.1     hydra_bst+        384        3 1-01:38:36          0 1-01:39:18   00:06:12      0:0 
311833.2     hydra_bst+        384        3   23:27:39          2 1-00:56:40   00:06:12      0:0 
311833.3     hydra_bst+        384        3 1-01:40:51          0 1-01:41:07   00:06:12      0:0 
311833.4     hydra_bst+        384        3 1-01:41:09          0 1-01:41:39   00:06:11      0:0 
311833.5     hydra_bst+        384        3 1-01:41:56          2 1-01:42:08   00:06:11      0:0 
311833.6     hydra_bst+        384        3 1-01:40:49          1 1-01:40:54   00:06:11      0:0 
311833.7     hydra_bst+        384        3 1-01:41:03          0 1-01:41:19   00:06:11      0:0 
311833.8     hydra_bst+        384        3 1-01:34:41          0 1-01:34:46   00:06:11      0:0 
311833.9     hydra_bst+        384        3 1-01:41:06          2 1-01:41:20   00:06:11      0:0 
311833.10    hydra_bst+        384        3 1-01:40:48          1 1-01:41:18   00:06:11      0:0 
311833.11    hydra_bst+        384        3   23:19:44          1 1-00:49:53   00:06:11      0:0 
311833.12    hydra_bst+        384        3 1-01:40:45          1 1-01:40:57   00:06:11      0:0 
311833.13    hydra_bst+        384        3   23:25:06          2 1-00:55:42   00:06:11      0:0 
311833.14    hydra_bst+        384        3 1-01:40:01          1 1-01:40:25   00:06:11      0:0 
311833.15    hydra_bst+        384        3   23:35:19          0 1-00:58:38   00:06:11      0:0 
311833.16    hydra_bst+        384        3   23:24:44          2 1-00:52:39   00:06:11      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311833                                                                           
311833.batch      8836K          0      8836K       11              0         11 
311833.exte+       848K          0     847248        3             53          1 
311833.0       1867511K         11 1854671.5+       67             12         58 
311833.1       1851673K          1 1892134570       57              0         50 
311833.2       1852703K          0   1843424K       55              0         50 
311833.3       1863192K          0 1899431594       54              2         49 
311833.4       1857526K          0   1851679K       49              0         46 
311833.5       1855826K          2 1887944362       52              2         48 
311833.6       1856552K          2   1853300K       52              1         48 
311833.7       1855550K          1   1848384K       59              2         51 
311833.8       1853137K          2 1887817045       54              1         49 
311833.9       1855213K          2   1844066K       49              2         45 
311833.10      1839532K          1 1878654293       51              2         49 
311833.11      1847363K          0 1886478677       47              2         47 
311833.12      1856725K          1   1851176K       53              0         49 
311833.13      1845949K          0   1840554K       53              1         50 
311833.14      1859410K          0 1901888853       55              2         47 
311833.15      1858098K          1 1893931690       58              2         57 
311833.16      1860626K          0   1852022K       49              0         45 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311833                                                                                                
311833.batch       15.12M               0         15.12M       21.42M                0         21.42M 
311833.exte+        0.00M              60          0.00M            0               60              0 
311833.0          152.28M               4        120.40M       79.08M                0         70.50M 
311833.1          144.17M               2        134.56M       66.72M                1         66.72M 
311833.2          132.57M               2        129.34M       66.72M                2         66.72M 
311833.3          154.73M               1        141.11M       66.72M                2         66.72M 
311833.4          152.30M               2        143.64M       66.72M                2         66.72M 
311833.5          191.56M               1        163.14M       66.72M                1         66.72M 
311833.6          134.42M               0        128.35M       66.72M                1         66.72M 
311833.7          146.21M               0        135.53M       66.72M                0         66.72M 
311833.8           42.48M               1         42.48M       66.72M                1         66.72M 
311833.9          138.31M               1        132.90M       66.72M                1         66.72M 
311833.10         166.81M               0        156.20M       66.72M                1         66.72M 
311833.11          42.48M               2         42.48M       66.72M                2         66.72M 
311833.12         149.11M               0        138.65M       66.72M                1         66.72M 
311833.13         148.35M               1        141.69M       66.72M                2         66.72M 
311833.14         135.94M               2        128.82M       66.72M                1         66.72M 
311833.15         124.04M               1        122.65M       66.72M                0         66.72M 
311833.16          42.48M               0         42.48M       66.72M                2         66.72M 

Job 311833 completed at Tue Mar 15 21:41:07 CET 2022
