Starting job 311834 on b[2301-2303,2314,2316-2317,2333,2343-2344,2346-2348,3150-3152,3166-3170,3172-3196,3309,5108,5113-5114,5116-5117,5119-5121,5123-5124,5126,5131-5133,5136,5143,5146,5148] at Tue Mar 15 21:35:20 CET 2022

start running log_Zn64_gs8_tr_j8p_j10p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311834         Zn64_gs8       8192                                             00:04:49      0:0 
311834.batch      batch        128        1   00:00:00          0   00:00:00   00:04:49      0:0 
311834.exte+     extern       8192       64   00:00:00         60   00:00:00   00:04:49      0:0 
311834.0     hydra_bst+       2048       16   15:54:38         15   17:57:34   00:04:47      0:0 
311834.1     hydra_bst+        384        3   18:53:59          0   18:54:09   00:04:46      0:0 
311834.2     hydra_bst+        384        3   16:00:34          0   17:57:11   00:04:46      0:0 
311834.3     hydra_bst+        384        3   18:54:01          1   18:54:16   00:04:46      0:0 
311834.4     hydra_bst+        384        3   16:05:58          1   17:58:18   00:04:46      0:0 
311834.5     hydra_bst+        384        3   18:55:11          1   18:55:22   00:04:46      0:0 
311834.6     hydra_bst+        384        3   15:56:13          1   16:54:35   00:04:46      0:0 
311834.7     hydra_bst+        384        3   15:53:16          2   17:51:47   00:04:46      0:0 
311834.8     hydra_bst+        384        3   18:55:42          0   18:56:00   00:04:46      0:0 
311834.9     hydra_bst+        384        3   16:04:47          1   17:59:00   00:04:46      0:0 
311834.10    hydra_bst+        384        3   18:50:43          2   18:50:55   00:04:46      0:0 
311834.11    hydra_bst+        384        3   18:55:20          2   18:55:34   00:04:46      0:0 
311834.12    hydra_bst+        384        3   16:03:06          0   17:57:31   00:04:46      0:0 
311834.13    hydra_bst+        384        3   16:03:41          1   17:01:57   00:04:46      0:0 
311834.14    hydra_bst+        384        3   18:55:12          2   18:55:37   00:04:46      0:0 
311834.15    hydra_bst+        384        3   18:55:45          2   18:55:57   00:04:46      0:0 
311834.16    hydra_bst+        384        3   18:55:22          1   18:55:30   00:04:46      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311834                                                                           
311834.batch      8703K          0      8703K       11              0         11 
311834.exte+       851K         46     826736        3             55          1 
311834.0       1840328K          1 1870787200       66              9         58 
311834.1       1830924K          0 1872330410       51              2         49 
311834.2       1828469K          0 1870239061       56              2         48 
311834.3       1847277K          0   1840366K       48              1         47 
311834.4       1827812K          2   1816655K       49              2         45 
311834.5       1821621K          0 1861458261       58              0         55 
311834.6       1830719K          0 1865112917       51              0         47 
311834.7       1833535K          0   1824693K       57              0         48 
311834.8       1837670K          0 1870062250       53              2         47 
311834.9       1814141K          1 1856118101       55              1         50 
311834.10      1836597K          1   1834440K       53              1         49 
311834.11      1833911K          0   1828719K       54              0         46 
311834.12      1832055K          2 1872580949       48              0         44 
311834.13      1819260K          2   1815091K       49              2         48 
311834.14      1821026K          1 1858697557       55              2         48 
311834.15      1838627K          2   1833537K       56              1         52 
311834.16      1839740K          0 1875379541       53              1         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311834                                                                                                
311834.batch       14.91M               0         14.91M       21.42M                0         21.42M 
311834.exte+        0.00M              60          0.00M            0               60              0 
311834.0          138.07M               7        113.78M       78.97M                0         70.49M 
311834.1          136.05M               2        126.33M       66.72M                1         66.72M 
311834.2          176.17M               1        150.95M       66.72M                1         66.72M 
311834.3          126.03M               0        119.97M       66.72M                1         66.72M 
311834.4          147.67M               0        143.93M       66.72M                1         66.72M 
311834.5          116.78M               1        115.50M       66.72M                1         66.72M 
311834.6           42.57M               1         42.57M       66.72M                0         66.72M 
311834.7           42.57M               1         42.57M       66.72M                2         66.72M 
311834.8          139.61M               0        128.54M       66.72M                0         66.72M 
311834.9          138.30M               1        132.42M       66.72M                0         66.72M 
311834.10          42.58M               1         42.58M       66.72M                1         66.72M 
311834.11         144.29M               2        134.87M       66.72M                0         66.72M 
311834.12         126.35M               2        121.62M       66.72M                2         66.72M 
311834.13         129.11M               1        125.00M       66.72M                0         66.72M 
311834.14         122.66M               0        120.27M       66.72M                2         66.72M 
311834.15         145.86M               1        132.97M       66.72M                1         66.72M 
311834.16         135.40M               0        128.75M       66.72M                1         66.72M 

Job 311834 completed at Tue Mar 15 21:40:10 CET 2022
