Starting job 311836 on b[2149,2158-2160,2173-2181,2183-2184,2186-2189,2191,2193-2195,3101-3104,3111-3112,3114,3116,3132-3138,3140-3145,3148,3249,3261,3280-3283,3285-3290,4158,4168-4171,4181-4182] at Tue Mar 15 21:39:20 CET 2022

start running log_Zn64_gs8_tr_j8p_j6n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311836         Zn64_gs8       8192                                             00:25:35      0:0 
311836.batch      batch        128        1   00:00:00          0   00:00:00   00:25:35      0:0 
311836.exte+     extern       8192       64   00:00:00         61   00:00:00   00:25:35      0:0 
311836.0     hydra_bst+       2048       16 2-19:29:13          6 4-07:22:01   00:25:32      0:0 
311836.1     hydra_bst+        384        3 2-16:06:57          0 3-20:06:46   00:25:31      0:0 
311836.2     hydra_bst+        384        3 2-20:44:02          2 3-21:32:33   00:25:31      0:0 
311836.3     hydra_bst+        384        3 4-10:05:28          2 4-10:08:07   00:25:31      0:0 
311836.4     hydra_bst+        384        3 2-18:34:57          2 3-20:55:14   00:25:31      0:0 
311836.5     hydra_bst+        384        3 4-10:02:16          0 4-10:07:35   00:25:31      0:0 
311836.6     hydra_bst+        384        3 2-02:00:43          0 3-15:24:17   00:25:31      0:0 
311836.7     hydra_bst+        384        3 4-10:05:35          1 4-10:07:26   00:25:31      0:0 
311836.8     hydra_bst+        384        3 2-10:06:02          0 3-18:06:12   00:25:31      0:0 
311836.9     hydra_bst+        384        3 2-01:37:29          2 3-02:12:16   00:25:31      0:0 
311836.10    hydra_bst+        384        3 4-10:00:33          1 4-10:03:27   00:25:31      0:0 
311836.11    hydra_bst+        384        3 4-10:04:24          0 4-10:07:49   00:25:31      0:0 
311836.12    hydra_bst+        384        3 4-10:09:09          2 4-10:11:08   00:25:31      0:0 
311836.13    hydra_bst+        384        3 2-11:50:31          1 3-18:45:28   00:25:31      0:0 
311836.14    hydra_bst+        384        3 4-10:05:18          2 4-10:06:26   00:25:31      0:0 
311836.15    hydra_bst+        384        3 4-10:07:00          1 4-10:08:24   00:25:31      0:0 
311836.16    hydra_bst+        384        3 2-20:37:18          0 3-21:33:32   00:25:31      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311836                                                                           
311836.batch      8833K          0      8833K       11              0         11 
311836.exte+       854K          1     826768        3             61          1 
311836.0       6440933K          2 6504441152       66             11         59 
311836.1       6407363K          2   6353115K       54              2         50 
311836.2       6400375K          0 6529778005       58              1         54 
311836.3       6376355K          0   6361333K       60              1         54 
311836.4       6451296K          0   6382749K       57              0         52 
311836.5       6410874K          2 6516884821       54              1         52 
311836.6       6463276K          1 6521247402       48              0         46 
311836.7       6399433K          2 6498196821       53              0         49 
311836.8       6397143K          1 6545898154       60              1         55 
311836.9       6479408K          2 6535294634       52              1         48 
311836.10      6372481K          0 6493278890       55              1         50 
311836.11      6332217K          2 6434741589       54              2         52 
311836.12      6386795K          2   6339299K       51              0         47 
311836.13      6425264K          1   6354783K       54              2         49 
311836.14      6401690K          0   6346153K       54              1         52 
311836.15      6373438K          1 6483824298       62              1         56 
311836.16      6412264K          1 6509662549       51              0         46 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311836                                                                                                
311836.batch       10.48M               0         10.48M       16.95M                0         16.95M 
311836.exte+        0.00M              61          0.00M            0               61              0 
311836.0         3458.31M              14       3344.99M       69.94M                0         69.93M 
311836.1         3499.12M               1       3427.34M       66.72M                2         66.72M 
311836.2         3264.02M               0       1857.92M       66.72M                0         66.72M 
311836.3         3301.15M               0       3281.36M       66.72M                0         66.72M 
311836.4         3345.71M               2       3337.61M       66.72M                1         66.72M 
311836.5         3337.24M               0       3321.51M       66.72M                1         66.72M 
311836.6         3321.20M               1       3316.48M       66.72M                2         66.72M 
311836.7         3413.15M               2       3365.03M       66.72M                2         66.72M 
311836.8         3372.84M               0       3329.78M       66.72M                0         66.72M 
311836.9         3333.65M               0       3319.14M       66.72M                1         66.72M 
311836.10        3496.41M               0       3419.41M       66.72M                1         66.72M 
311836.11        3349.63M               1       3336.81M       66.72M                2         66.72M 
311836.12        3320.07M               2       3312.42M       66.72M                2         66.72M 
311836.13        3386.92M               1       3351.62M       66.72M                0         66.72M 
311836.14        3421.17M               1       3369.44M       66.72M                0         66.72M 
311836.15        3457.11M               2       3398.75M       66.72M                2         66.72M 
311836.16        3395.90M               0       3379.59M       66.72M                1         66.72M 

Job 311836 completed at Tue Mar 15 22:04:55 CET 2022
