Starting job 311843 on b[2177-2181,2183-2184,2186-2189,2191,2193-2195,3101-3104,3111-3112,3114,3116,3132-3138,3140-3145,3148,3249,3261,3280-3283,3285-3290,4158,4168-4171,4181-4182,4191,4193,4195,5207,5227-5228,5240-5241] at Tue Mar 15 22:04:58 CET 2022

start running log_Zn64_gs8_tr_j10p_j10n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311843         Zn64_gs8       8192                                             00:20:31      0:0 
311843.batch      batch        128        1   00:00:00          0   00:00:00   00:20:31      0:0 
311843.exte+     extern       8192       64   00:00:00         61   00:00:00   00:20:31      0:0 
311843.0     hydra_bst+       2048       16 1-19:31:17          5 3-03:28:21   00:20:28      0:0 
311843.1     hydra_bst+        384        3 2-03:21:06          2 3-00:57:33   00:20:27      0:0 
311843.2     hydra_bst+        384        3 2-06:41:05          0 3-02:04:31   00:20:27      0:0 
311843.3     hydra_bst+        384        3 3-11:32:17          2 3-11:38:30   00:20:27      0:0 
311843.4     hydra_bst+        384        3 2-00:57:29          2 3-00:10:58   00:20:27      0:0 
311843.5     hydra_bst+        384        3 3-11:38:11          1 3-11:42:05   00:20:27      0:0 
311843.6     hydra_bst+        384        3 3-11:46:23          0 3-11:46:47   00:20:27      0:0 
311843.7     hydra_bst+        384        3 2-00:29:16          1 3-00:00:36   00:20:27      0:0 
311843.8     hydra_bst+        384        3 1-18:46:09          0 2-22:02:53   00:20:27      0:0 
311843.9     hydra_bst+        384        3 3-11:46:38          1 3-11:47:00   00:20:27      0:0 
311843.10    hydra_bst+        384        3 3-11:45:38          2 3-11:46:07   00:20:27      0:0 
311843.11    hydra_bst+        384        3 3-11:45:38          1 3-11:46:28   00:20:27      0:0 
311843.12    hydra_bst+        384        3 2-05:46:46          1 3-01:46:18   00:20:27      0:0 
311843.13    hydra_bst+        384        3 1-19:46:43          2 2-12:36:52   00:20:27      0:0 
311843.14    hydra_bst+        384        3 2-01:36:47          1 2-14:25:46   00:20:27      0:0 
311843.15    hydra_bst+        384        3 2-02:46:42          1 3-00:47:38   00:20:27      0:0 
311843.16    hydra_bst+        384        3 2-01:43:59          2 3-00:26:28   00:20:27      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311843                                                                           
311843.batch      8863K          0      8863K       11              0         11 
311843.exte+       850K         54     846384        3             62          1 
311843.0       5019488K          8 5091693824       68              8         62 
311843.1       5020228K          1 5110105429       51              1         48 
311843.2       4997166K          2   4989915K       63              1         55 
311843.3       5017076K          0   4966088K       59              2         50 
311843.4       4973947K          1   4953125K       64              1         55 
311843.5       4994125K          0 5102026069       58              0         55 
311843.6       5001068K          1 5108397397       60              0         57 
311843.7       4960177K          1 5058661717       59              0         55 
311843.8       5014769K          1   4977132K       63              2         56 
311843.9       4986612K          2 5098352981       61              0         58 
311843.10      5007474K          1   4962133K       53              0         49 
311843.11      4973800K          1 5076484778       61              0         54 
311843.12      5011037K          0 5095139669       50              1         49 
311843.13      4978291K          1 5081514325       50              1         48 
311843.14      5018093K          1 5106215253       62              0         53 
311843.15      5045680K          0 5093856597       66              0         53 
311843.16      5016651K          0 5109736789       55              2         48 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311843                                                                                                
311843.batch       10.63M               0         10.63M       16.95M                0         16.95M 
311843.exte+        0.00M              61          0.00M            0               61              0 
311843.0         2569.27M              14       2470.44M       69.94M                0         69.93M 
311843.1         2527.93M               1       2503.78M       66.72M                1         66.72M 
311843.2         2542.96M               1       2493.60M       66.72M                1         66.72M 
311843.3         2393.05M               0       1245.38M       66.72M                1         66.72M 
311843.4         2504.48M               1       2480.39M       66.72M                1         66.72M 
311843.5         2448.94M               2       2426.42M       66.72M                2         66.72M 
311843.6         2573.26M               1       2527.33M       66.72M                2         66.72M 
311843.7         2447.04M               0       2444.12M       66.72M                2         66.72M 
311843.8         2490.01M               0       2443.46M       66.72M                2         66.72M 
311843.9         2526.29M               1       2500.89M       66.72M                1         66.72M 
311843.10        2555.88M               0       2483.92M       66.72M                0         66.72M 
311843.11        2513.32M               1       2477.33M       66.72M                2         66.72M 
311843.12        2468.79M               0       2454.41M       66.72M                1         66.72M 
311843.13        2489.32M               1       2460.09M       66.72M                1         66.72M 
311843.14        2475.92M               0       2446.82M       66.72M                0         66.72M 
311843.15        2458.46M               0       2447.74M       66.72M                0         66.72M 
311843.16        2549.81M               2       2519.43M       66.72M                1         66.72M 

Job 311843 completed at Tue Mar 15 22:25:28 CET 2022
